gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891594767	29d56be4-2b76-4a05-887d-633a3c6a9a83	TAI230594	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.		TW	Hualien		PRESENT		7050ce20-c75e-11dd-87ef-b8a03c50a862	23.988056	121.615556							1995-01-21	21	1	1995	2949250	2949250	PRESERVED_SPECIMEN	TAI	TAI230594	94		T.C.Huang 黃增泉		CC_BY_NC_4_0	College of Life Science, National Taiwan University	T.C.Huang 黃增泉			2025-01-31T18:47:49.778Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
866265460	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC080930	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.	L.	MZ	Arredores de Lourenço Marques	Província de Maputo	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862	-25.966445	32.577741							1946-01		1	1946	2949250	2949250	PRESERVED_SPECIMEN	IICT	LISC	LISC080930	17327			CC_BY_NC_4_0		Pimenta, A.A.			2025-02-06T17:43:35.219Z		COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
866265164	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC080926	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.	L.	MZ	Marrupa, Estrada para Nungo, andados ca. de 20 km, nas margens do rio Messalo entre as Montanhas Nirenge e Mucumango.	Niassa	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862	-13.334286	37.527511							1981-02-20T00:00	20	2	1981	2949250	2949250	PRESERVED_SPECIMEN	IICT	LISC	LISC080926	663	Pinto Basto, M.F.		CC_BY_NC_4_0		Nuvunga, A.			2025-02-06T17:43:35.222Z		COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
866265128	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC080929	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.	L.	MZ	Urema floodplains, Gorongosa National Park.	Sofala	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862	-18.97851	34.53343							1971-02		2	1971	2949250	2949250	PRESERVED_SPECIMEN	IICT	LISC	LISC080929	2034			CC_BY_NC_4_0		Tinley, K. L.			2025-02-06T17:43:35.221Z		COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
813402620	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC066956	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.	L.	MZ	Nampula, estrada de Murrupula	Nampula	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862	-15.1293	38.895234							1936-01-28T00:00	28	1	1936	2949250	2949250	PRESERVED_SPECIMEN	IICT	LISC	LISC066956	959	Torre, A.R.		CC_BY_NC_4_0		Torre, A.R.			2025-02-06T17:43:40.868Z		COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
813362150	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC013859	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene indica L.	Aeschynomene indica L.	L.	AO	Handa	Huíla	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862									1966-02-10T00:00	10	2	1966	2949250	2949250	PRESERVED_SPECIMEN	IICT	LISC	LISC013859	865	Torre, A.R.		CC_BY_NC_4_0		Henriques, C.			2025-02-06T17:43:40.036Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5053270104	0bcbd3a8-f22e-4350-a19d-a94fe6ca9738	https://specieslink.net/guid/239/70212	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene viscidula Roxb. ex Willd.	Aeschynomene viscidula	Roxb. ex Willd.	BR		Goiás	PRESENT		b3422768-adc1-4be2-9f59-c1d7af724428	-16.607222	-49.266944			760.0	0.0			2014-02-20	20	2	2014	7504113	2949250	PRESERVED_SPECIMEN	UFG	UFG	70212	1129	Antunes, L.L.C.	2014-02-20T00:00:00	CC_BY_4_0	Herbário da Universidade Federal de Goiás	Antunes, L.L.C.; Souza, A.O.			2025-03-28T16:08:08.089Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5053270103	0bcbd3a8-f22e-4350-a19d-a94fe6ca9738	https://specieslink.net/guid/239/70213	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene viscidula Roxb. ex Willd.	Aeschynomene viscidula	Roxb. ex Willd.	BR		Goiás	PRESENT		b3422768-adc1-4be2-9f59-c1d7af724428	-16.607222	-49.266944			760.0	0.0			2014-02-20	20	2	2014	7504113	2949250	PRESERVED_SPECIMEN	UFG	UFG	70213	1130	Antunes, L.L.C.	2014-02-20T00:00:00	CC_BY_4_0	Herbário da Universidade Federal de Goiás	Antunes, L.L.C.; Souza, A.O.			2025-03-28T16:08:08.088Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5053270099	0bcbd3a8-f22e-4350-a19d-a94fe6ca9738	https://specieslink.net/guid/239/70215	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene viscidula Roxb. ex Willd.	Aeschynomene viscidula	Roxb. ex Willd.	BR		Goiás	PRESENT		b3422768-adc1-4be2-9f59-c1d7af724428	-16.607222	-49.266944			760.0	0.0			2014-02-20	20	2	2014	7504113	2949250	PRESERVED_SPECIMEN	UFG	UFG	70215	1128	Antunes, L.L.C.	2014-11-20T00:00:00	CC_BY_4_0	Herbário da Universidade Federal de Goiás	Antunes, L.L.C.; Souza, A.O.			2025-03-28T16:08:08.087Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5053270098	0bcbd3a8-f22e-4350-a19d-a94fe6ca9738	https://specieslink.net/guid/239/70216	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene indica		SPECIES	Aeschynomene viscidula Roxb. ex Willd.	Aeschynomene viscidula	Roxb. ex Willd.	BR		Goiás	PRESENT		b3422768-adc1-4be2-9f59-c1d7af724428	-16.607222	-49.266944			760.0	0.0			2014-02-20	20	2	2014	7504113	2949250	PRESERVED_SPECIMEN	UFG	UFG	70216	1127	Antunes, L.L.C.	2014-02-20T00:00:00	CC_BY_4_0	Herbário da Universidade Federal de Goiás	Antunes, L.L.C.; Souza, A.O.			2025-03-28T16:08:08.087Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
