"species","Year","JulianDay"
"Aeschynomene indica","1995",21
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1981",51
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1936",28
"Aeschynomene indica","1966",41
"Aeschynomene indica","2014",51
"Aeschynomene indica","2014",51
"Aeschynomene indica","2014",51
"Aeschynomene indica","2014",51
"Aeschynomene indica","2014",51
"Aeschynomene indica","2014",51
"Aeschynomene indica","1972",54
"Aeschynomene indica","1909",1
"Aeschynomene indica","1999",42
"Aeschynomene indica","1915",32
"Aeschynomene indica","1971",58
"Aeschynomene indica","1962",1
"Aeschynomene indica","1978",56
"Aeschynomene indica","1958",56
"Aeschynomene indica","1954",59
"Aeschynomene indica","1977",49
"Aeschynomene indica","1961",56
"Aeschynomene indica","1979",55
"Aeschynomene indica","1955",54
"Aeschynomene indica","1950",49
"Aeschynomene indica","1941",21
"Aeschynomene indica","1975",43
"Aeschynomene indica","1802",1
"Aeschynomene indica","1950",1
"Aeschynomene indica","1966",41
"Aeschynomene indica","1981",51
"Aeschynomene indica","1923",1
"Aeschynomene indica","1851",1
"Aeschynomene indica","1985",28
"Aeschynomene indica","1851",1
"Aeschynomene indica","1863",1
"Aeschynomene indica","1995",50
"Aeschynomene indica","1839",1
"Aeschynomene indica","1964",51
"Aeschynomene indica","1950",49
"Aeschynomene indica","1962",1
"Aeschynomene indica","1962",1
"Aeschynomene indica","1971",32
"Aeschynomene indica","1957",1
"Aeschynomene indica","1963",58
"Aeschynomene indica","1962",32
"Aeschynomene indica","1985",28
"Aeschynomene indica","1964",20
"Aeschynomene indica","1978",27
"Aeschynomene indica","1963",36
"Aeschynomene indica","1828",1
"Aeschynomene indica","2014",1
"Aeschynomene indica","1926",35
"Aeschynomene indica","1987",1
"Aeschynomene indica","1885",1
"Aeschynomene indica","1862",1
"Aeschynomene indica","1950",32
"Aeschynomene indica","1932",1
"Aeschynomene indica","1893",32
"Aeschynomene indica","1972",44
"Aeschynomene indica","1967",2
"Aeschynomene indica","1972",29
"Aeschynomene indica","1952",17
"Aeschynomene indica","1802",1
"Aeschynomene indica","1962",37
"Aeschynomene indica","1982",41
"Aeschynomene indica","1859",1
"Aeschynomene indica","1969",7
"Aeschynomene indica","1970",23
"Aeschynomene indica","1836",1
"Aeschynomene indica","1956",40
"Aeschynomene indica","1950",41
"Aeschynomene indica","1975",54
"Aeschynomene indica","1931",37
"Aeschynomene indica","1971",46
"Aeschynomene indica","1977",59
