"species","Year","JulianDay"
"Alafia barteri","1963",219
"Alafia barteri","1925",224
"Alafia barteri","1970",217
"Alafia barteri","1949",213
"Alafia barteri","1897",231
"Alafia barteri","1897",231
"Alafia barteri","1897",231
"Alafia barteri","1897",231
"Alafia barteri","1981",224
"Alafia barteri","1970",217
"Alafia barteri","1999",241
"Alafia barteri","1999",241
"Alafia barteri","1999",242
"Alafia barteri",NA,NA
"Alafia barteri","1970",217
"Alafia barteri",NA,NA
"Alafia barteri","1970",217
"Alafia barteri","1981",224
"Alafia barteri","1999",242
"Alafia barteri","2000",222
"Alafia barteri","1981",224
"Alafia barteri","1979",235
"Alafia barteri","1956",238
"Alafia barteri","1999",241
"Alafia barteri","1979",235
"Alafia barteri","1970",217
"Alafia barteri","1956",238
"Alafia barteri","1979",235
"Alafia barteri",NA,NA
"Alafia barteri","1948",233
"Alafia barteri","1999",242
"Alafia barteri","1999",241
"Alafia barteri","1970",217
"Alafia barteri","1953",213
"Alafia barteri",NA,NA
