species,Year,JulianDay,Location
Aeschynomene indica,1995,21,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1981,51,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1936,28,NA
Aeschynomene indica,1966,41,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,2014,51,NA
Aeschynomene indica,1972,54,NA
Aeschynomene indica,1909,1,NA
Aeschynomene indica,1999,42,NA
Aeschynomene indica,1915,32,NA
Aeschynomene indica,1971,58,NA
Aeschynomene indica,1962,1,NA
Aeschynomene indica,1978,56,NA
Aeschynomene indica,1958,56,NA
Aeschynomene indica,1954,59,NA
Aeschynomene indica,1977,49,NA
Aeschynomene indica,1961,56,NA
Aeschynomene indica,1979,55,NA
Aeschynomene indica,1955,54,NA
Aeschynomene indica,1950,49,NA
Aeschynomene indica,1941,21,NA
Aeschynomene indica,1975,43,NA
Aeschynomene indica,1802,1,NA
Aeschynomene indica,1950,1,NA
Aeschynomene indica,1966,41,NA
Aeschynomene indica,1981,51,NA
Aeschynomene indica,1923,1,NA
Aeschynomene indica,1851,1,NA
Aeschynomene indica,1985,28,NA
Aeschynomene indica,1851,1,NA
Aeschynomene indica,1863,1,NA
Aeschynomene indica,1995,50,NA
Aeschynomene indica,1839,1,NA
Aeschynomene indica,1964,51,NA
Aeschynomene indica,1950,49,NA
Aeschynomene indica,1962,1,NA
Aeschynomene indica,1962,1,NA
Aeschynomene indica,1971,32,NA
Aeschynomene indica,1957,1,NA
Aeschynomene indica,1963,58,NA
Aeschynomene indica,1962,32,NA
Aeschynomene indica,1985,28,NA
Aeschynomene indica,1964,20,NA
Aeschynomene indica,1978,27,NA
Aeschynomene indica,1963,36,NA
Aeschynomene indica,1828,1,NA
Aeschynomene indica,2014,1,NA
Aeschynomene indica,1926,35,NA
Aeschynomene indica,1987,1,NA
Aeschynomene indica,1885,1,NA
Aeschynomene indica,1862,1,NA
Aeschynomene indica,1950,32,NA
Aeschynomene indica,1932,1,NA
Aeschynomene indica,1893,32,NA
Aeschynomene indica,1972,44,NA
Aeschynomene indica,1967,2,NA
Aeschynomene indica,1972,29,NA
Aeschynomene indica,1952,17,NA
Aeschynomene indica,1802,1,NA
Aeschynomene indica,1962,37,NA
Aeschynomene indica,1982,41,NA
Aeschynomene indica,1859,1,NA
Aeschynomene indica,1969,7,NA
Aeschynomene indica,1970,23,NA
Aeschynomene indica,1836,1,NA
Aeschynomene indica,1956,40,NA
Aeschynomene indica,1950,41,NA
Aeschynomene indica,1975,54,NA
Aeschynomene indica,1931,37,NA
Aeschynomene indica,1971,46,NA
Aeschynomene indica,1977,59,NA
Aeschynomene indica,1981,56,NA
Aeschynomene indica,1978,1,NA
Aeschynomene indica,1970,19,NA
Aeschynomene indica,1934,1,NA
Aeschynomene indica,1981,1,NA
Aeschynomene indica,1964,42,NA
Aeschynomene indica,1930,2,NA
Aeschynomene indica,1902,1,NA
Aeschynomene indica,1949,1,NA
Aeschynomene indica,1970,19,NA
Aeschynomene indica,1862,1,NA
Aeschynomene indica,1978,1,NA
Aeschynomene indica,1968,21,NA
Aeschynomene indica,1967,20,NA
Aeschynomene indica,1968,23,NA
Aeschynomene indica,1887,32,NA
Aeschynomene indica,1956,40,NA
Aeschynomene indica,1838,1,NA
Aeschynomene indica,1926,58,NA
Aeschynomene indica,1938,1,NA
Aeschynomene indica,1802,1,NA
Aeschynomene indica,1926,58,NA
Aeschynomene indica,2018,21,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1950,37,NA
Aeschynomene indica,1985,50,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1978,56,NA
Aeschynomene indica,1949,55,NA
Aeschynomene indica,1875,1,NA
Aeschynomene indica,1954,56,NA
Aeschynomene indica,1956,38,NA
Aeschynomene indica,1955,19,NA
Aeschynomene indica,1956,49,NA
Aeschynomene indica,1974,8,NA
Aeschynomene indica,1959,35,NA
Aeschynomene indica,1969,7,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,2014,1,NA
Aeschynomene indica,1975,43,NA
Aeschynomene indica,1975,49,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1961,55,NA
Aeschynomene indica,1961,56,NA
Aeschynomene indica,1964,59,NA
Aeschynomene indica,1964,42,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1961,54,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1964,59,NA
Aeschynomene indica,1961,48,NA
Aeschynomene indica,2000,39,NA
Aeschynomene indica,1961,56,NA
Aeschynomene indica,1981,56,NA
Aeschynomene indica,1985,53,NA
Aeschynomene indica,1985,28,NA
Aeschynomene indica,1975,54,NA
Aeschynomene indica,1954,46,NA
Aeschynomene indica,1960,20,NA
Aeschynomene indica,1994,29,NA
Aeschynomene indica,1974,54,NA
Aeschynomene indica,1966,54,NA
Aeschynomene indica,1978,56,NA
Aeschynomene indica,1950,41,NA
Aeschynomene indica,1955,47,NA
Aeschynomene indica,2016,50,NA
Aeschynomene indica,2003,5,NA
Aeschynomene indica,1989,3,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1966,55,NA
Aeschynomene indica,1930,2,NA
Aeschynomene indica,2019,36,NA
Aeschynomene indica,1972,54,NA
Aeschynomene indica,2019,36,NA
Aeschynomene indica,1923,1,NA
Aeschynomene indica,1973,38,NA
Aeschynomene indica,2010,20,NA
