gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912303369	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000354657	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca	Schumach. & Thonn.	GH	near village		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	9.716667	0.3	2000.0						1958-03-20T00:00	20	3	1958	5407183	5407183	PRESERVED_SPECIMEN	K	Herbarium	K000354657	3130			CC_BY_4_0		Hepper, F.N.; Morton, J.K.			2025-04-03T22:42:41.562Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912303365	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000354658	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca	Schumach. & Thonn.	SN			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	14.666667	-17.433333	2000.0						1947-05-23T00:00	23	5	1947	5407183	5407183	PRESERVED_SPECIMEN	K	Herbarium	K000354658	5737			CC_BY_4_0		Baldwin, J.T., Jr.			2025-04-03T22:45:14.777Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912303361	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000354656	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca	Schumach. & Thonn.	GH			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	8.166667	-2.366667	2000.0						1953-03-23T00:00	23	3	1953	5407183	5407183	PRESERVED_SPECIMEN	K	Herbarium	K000354656	8595			CC_BY_4_0		Morton, J.K.			2025-04-03T22:42:42.178Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912303356	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000354655	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca	Schumach. & Thonn.	GH	near lagoon		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	8.216667	-0.65	2000.0						1964-04-11T00:00	11	4	1964	5407183	5407183	PRESERVED_SPECIMEN	K	Herbarium	K000354655	1243	H.		CC_BY_4_0		Hall, J.B.			2025-04-03T22:42:42.172Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4066523204	b2df52a4-6143-46d5-8727-f808d8e25feb	4706631-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca Schumach. & Thonn.		BJ	Dahomey, Afbodjedu = Avagbodji		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	6.5	2.55							1968-03-28	28	3	1968	5407183	5407183	PRESERVED_SPECIMEN	HNB		WAG0050081		Agoha R.C.		CC_BY_4_0		Eijnatten C.L.M. van			2025-02-06T22:15:51.743Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066472396	b2df52a4-6143-46d5-8727-f808d8e25feb	131883-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca P. Thonning		TG			PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	9.41	0.61							1974-03		3	1974	5407183	5407183	PRESERVED_SPECIMEN	TOGO		TOGO01873		Brunel J.-F.		CC_BY_4_0		Brunel J.-F.			2025-02-06T22:15:44.816Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4066471408	b2df52a4-6143-46d5-8727-f808d8e25feb	131882-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca P. Thonning		TG	Forêt classée de la Malfakassa		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	9.16	0.96							1974-03		3	1974	5407183	5407183	PRESERVED_SPECIMEN	TOGO		TOGO01872		Brunel J.-F.		CC_BY_4_0		Brunel J.-F.			2025-02-06T22:15:44.829Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2517803520	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1425909	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca Schumach. & Thonn.	Schumach. & Thonn.	GH	near Ori river on Zabzugu to Yedi Road.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1953-04-09	9	4	1953	5407183	5407183	PRESERVED_SPECIMEN		Botany	WAG.1425909	Morton, JK GC 9055	Morton JK		CC0_1_0	Naturalis Biodiversity Center	Morton JK			2025-02-06T18:17:50.735Z	StillImage	
2517768474	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1425910	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca Schumach. & Thonn.	Schumach. & Thonn.	GH	Anum	Eastern Region	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	6.5	0.2							1974-03-14	14	3	1974	5407183	5407183	PRESERVED_SPECIMEN		Botany	WAG.1425910	Hall, JB; Swaine, MD GC 47093			CC0_1_0	Naturalis Biodiversity Center	Hall JB; Swaine MD			2025-02-06T18:17:51.643Z	StillImage	
2517383754	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1425906	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glauca		SPECIES	Annona glauca Schumach. & Thonn.	Annona glauca Schumach. & Thonn.	Schumach. & Thonn.	BJ	Agbodjedu = Avagbodji.	Ouémé	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	6.5	2.55							1968-03-28	28	3	1968	5407183	5407183	PRESERVED_SPECIMEN		Botany	WAG.1425906	Eijnatten, CLM van 2274	Agoha RC		CC0_1_0	Naturalis Biodiversity Center	Eijnatten CLM van			2025-02-06T18:17:51.643Z	StillImage	
