"species","Year","JulianDay"
"Annona glauca","1958",79
"Annona glauca","1947",143
"Annona glauca","1953",82
"Annona glauca","1964",102
"Annona glauca","1968",88
"Annona glauca",NA,NA
"Annona glauca",NA,NA
"Annona glauca","1953",99
"Annona glauca","1974",73
"Annona glauca","1968",88
"Annona glauca","1953",99
"Annona glauca","1968",88
"Annona glauca","1899",74
"Annona glauca","1957",96
"Annona glauca","1953",99
"Annona glauca","1954",90
"Annona glauca","1953",99
"Annona glauca","1953",99
"Annona glauca","1954",90
"Annona glauca","1964",102
"Annona glauca","1956",99
"Annona glauca","1973",150
"Annona glauca","1953",82
"Annona glauca","1973",150
"Annona glauca","1956",99
"Annona glauca","1964",102
"Annona glauca","1958",79
"Annona glauca","1957",96
"Annona glauca","1967",88
"Annona glauca","1967",88
"Annona glauca",NA,NA
"Annona glauca","1967",88
"Annona glauca","1953",99
"Annona glauca","1956",99
"Annona glauca","1957",96
"Annona glauca","1958",79
"Annona glauca",NA,NA
"Annona glauca","1973",150
"Annona glauca","1953",99
"Annona glauca","1953",99
"Annona glauca","1974",73
"Annona glauca","1936",122
"Annona glauca","1953",82
"Annona glauca","1954",90
"Annona glauca","1957",96
"Annona glauca","1967",88
"Annona glauca","1974",73
"Annona glauca","1958",79
"Annona glauca","1958",79
"Annona glauca","2005",78
"Annona glauca","1973",150
"Annona glauca","1953",82
"Annona glauca","1953",99
"Annona glauca","1936",122
"Annona glauca","1954",90
"Annona glauca","1953",99
"Annona glauca",NA,NA
"Annona glauca",NA,NA
"Annona glauca","1964",102
"Annona glauca","1953",99
"Annona glauca","1936",122
"Annona glauca","1956",99
"Annona glauca","1958",79
"Annona glauca","1974",73
"Annona glauca","1974",73
"Annona glauca","1967",88
"Annona glauca","1973",150
"Annona glauca","1936",122
"Annona glauca",NA,NA
"Annona glauca","1967",88
"Annona glauca","1964",102
"Annona glauca","1974",73
"Annona glauca","1973",150
"Annona glauca","1964",102
"Annona glauca","1953",99
"Annona glauca","1936",122
"Annona glauca","1954",90
"Annona glauca","1954",90
"Annona glauca","1967",88
"Annona glauca","1953",82
"Annona glauca","1956",99
"Annona glauca","1954",90
"Annona glauca","1953",82
"Annona glauca","1957",96
"Annona glauca","1973",150
