gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912498457	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000627381	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii	Hepper	GH	Kanchina nr. Kpandai.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	8.470278	-0.011666	10000.0						1970-11-18T00:00	18	11	1970	2942582	2942582	PRESERVED_SPECIMEN	K	Herbarium	K000627381	42236			CC_BY_4_0		Hall, J.B.			2025-03-27T23:35:45.440Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912498452	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000627379	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii	Hepper	GH	By road N. of Banda, Wenchi area.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	8.159166	-2.356944	10000.0						1953-12-20T00:00	20	12	1953	2942582	2942582	PRESERVED_SPECIMEN	K	Herbarium	K000627379	25103			CC_BY_4_0		Morton, J.K.			2025-03-27T23:35:44.268Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912498420	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000627378	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii	Hepper	GH	Banda, Wenchi Area.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	8.15	-2.362777	5000.0						1954-12-13T00:00	13	12	1954	2942582	2942582	PRESERVED_SPECIMEN	K	Herbarium	K000627378	1079			CC_BY_4_0		Morton, J.K.			2025-03-27T23:35:44.345Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912208602	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000232528	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii	Hepper	GH	Gonja, Near Sorri Lake		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1953-12-16T00:00	16	12	1953	2942582	2942582	PRESERVED_SPECIMEN	K	Herbarium	K000232528	25033			CC_BY_4_0		Morton, J., K.	Holotype		2025-03-27T23:35:25.126Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412714322	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:103371110	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper	Hepper	GH	between Menji and Banda.	Brong-Ahafo	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	8.019167	-2.3675			350.0				1995-11-10	10	11	1995	2942582	2942582	PRESERVED_SPECIMEN	MO	Tropicos	103371110	2442		1995-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	C. C. H. Jongkind			2025-02-13T18:49:31.863Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4412713313	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:103371097	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper	Hepper	GH	Mole National Park. Along road from Park Headquarters to the town of Samole. Ca. 4.0 km NW of Samole. In dry savannah woodlands and adjacent streams. Soils ferrous, dry, loose, gravelly.	Northern	PRESENT	6	90fd6680-349f-11d8-aa2d-b8a03c50a862	9.25944	-1.86555			135.0	15.0			1995-11-30	30	11	1995	2942582	2942582	PRESERVED_SPECIMEN	MO	Tropicos	103371097	1857	D.K. Harder, VI/	1996-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Heidi H. Schmidt;et al.			2025-02-13T18:49:24.793Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4412711318	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:103371106	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper	Hepper	GH	2 miles SW of Salaga.		PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862									1953-09-26	26	9	1953	2942582	2942582	PRESERVED_SPECIMEN	MO	Tropicos	103371106	15816			CC_BY_4_0	Missouri Botanical Garden	D.W. Goodall			2025-02-13T18:49:24.432Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4061969361	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:989458	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper	Hepper	GH	Mole National Park. Along road from Park Headquarters to the town of Samole. Ca. 4.0 km NW of Samole. In dry savannah woodlands and adjacent streams. Soils ferrous, dry, loose, gravelly.	Northern	PRESENT	6	90fd6680-349f-11d8-aa2d-b8a03c50a862	9.25944	-1.86555			135.0	15.0			1995-11-30	30	11	1995	2942582	2942582	PRESERVED_SPECIMEN		Tropicos	989458	1857	D.K. Harder, VI/	1996-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Heidi H. Schmidt;et al.			2025-02-13T17:25:36.044Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
3708205132	d0963cee-1a29-47a2-b9bf-fb0e7690077c	461755850	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper		GH	Northern Mole National Park. Along road from Park Headguarters to the town of Samole. ca 4.0km NW of Samole. In dry savannah woodlands and adjecent streams. Soils ferrous, dry, loose, gravelly.		PRESENT		c5f7ef70-e233-11d9-a4d6-b8a03c50a862	9.259444	-1.865556							1995-11-30	30	11	1995	2942582	2942582	PRESERVED_SPECIMEN	PRE		PRE0921463-0	1857			CC_BY_4_0		Schmidt, HH			2025-03-28T14:10:48.831Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2517203386	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1010593	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria mortonii		SPECIES	Crotalaria mortonii Hepper	Crotalaria mortonii Hepper	Hepper	GH	between Menji and Banda.	Brong-Ahafo Region	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	8.03167	-2.37167							1995-11-10	10	11	1995	2942582	2942582	PRESERVED_SPECIMEN		Botany	WAG.1010593	Jongkind, CCH 2442			CC0_1_0	Naturalis Biodiversity Center	Jongkind CCH			2025-02-06T18:17:40.100Z	StillImage	
