"species","Year","JulianDay"
"Crotalaria mortonii","1970",322
"Crotalaria mortonii","1953",354
"Crotalaria mortonii","1954",347
"Crotalaria mortonii","1953",350
"Crotalaria mortonii","1995",314
"Crotalaria mortonii","1995",334
"Crotalaria mortonii","1953",269
"Crotalaria mortonii","1995",334
"Crotalaria mortonii","1995",334
"Crotalaria mortonii","1995",314
"Crotalaria mortonii","1995",334
"Crotalaria mortonii","1995",314
"Crotalaria mortonii","1953",350
"Crotalaria mortonii","1953",350
"Crotalaria mortonii","1970",322
"Crotalaria mortonii","1966",309
"Crotalaria mortonii","1953",350
"Crotalaria mortonii","1954",347
"Crotalaria mortonii","1995",314
"Crotalaria mortonii","1995",314
