gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912432126	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000522631	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	GQ	Pernando Po		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1860-06-01T00:00	1	6	1860	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000522631	417			CC_BY_4_0		Mann			2025-03-27T23:35:40.514Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912368561	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000437803	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.033333	9.283333			100.0				1993-07-30T00:00	30	7	1993	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000437803	20	Bos, J.J.		CC_BY_4_0		Hurst, J.			2025-03-27T23:35:33.232Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912367947	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000436240	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	CM	Bechati-Fossimondi-Besali forest.  Path leading from Fossimondi to Besali.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.641944	9.966111			1370.0				2005-04-28T00:00	28	4	2005	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000436240	2209	Tchiengue, B.		CC_BY_4_0		Tchiengue, B.			2025-03-27T23:35:33.804Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912337166	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000402311	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	GH	Forest Reserve on Bososo-Beguro Road		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1966-06-16T00:00	16	6	1966	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000402311	GC35431			CC_BY_4_0		Hossain, M.; Enti, A.A.			2025-03-27T23:35:34.345Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912337150	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000402313	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	GH	E. Akim		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1900-06-19T00:00	19	6	1900	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000402313	763	Bos, J.J.		CC_BY_4_0		Johnson			2025-03-27T23:35:34.115Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912337148	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000402316	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	NG	near Pillar 24 on Boje enclave East boundary and just outside reserve on the Ashoban path.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1946-05-19T00:00	19	5	1946	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000402316	FHI18754	Bos, J.J.		CC_BY_4_0		Jones, A.P.D.; Onchie, C.F.			2025-03-27T23:35:33.515Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912230860	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000255914	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	GQ			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1860-06-14T00:00	14	6	1860	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000255914	s.n.	Unknown		CC_BY_4_0		Mann	Type		2025-03-27T23:35:26.853Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912135715	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000086539	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	CM	Ndian; Gazetteer: Boa. Plot M30		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.433333	8.916667							1994-06-05T00:00	5	6	1994	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000086539	515	Cable, S.		CC_BY_4_0		Mbani, J.-M.			2025-03-27T23:35:19.700Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912094584	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000025670	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	CM	Path on to ridge between Daniel's saprophyte site and Kupe rock.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					1000.0				1996-05-30T00:00	30	5	1996	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000025670	2735	Cheek, M.		CC_BY_4_0		Cable, S.			2025-03-27T23:35:15.876Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912094580	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000025663	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	Dracaena phrynioides		SPECIES	Dracaena phrynioides Hook.	Dracaena phrynioides	Hook.	CM	Kupe village, main trail to Mount Kupe.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					1500.0				1996-07-17T00:00	17	7	1996	5304496	5304496	PRESERVED_SPECIMEN	K	Herbarium	K000025663	2839	Cheek, M.		CC_BY_4_0		Etuge, M.			2025-03-27T23:35:16.441Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
