"species","Year","JulianDay"
"Dracaena phrynioides","1860",153
"Dracaena phrynioides","1993",211
"Dracaena phrynioides","2005",118
"Dracaena phrynioides","1966",167
"Dracaena phrynioides","1900",170
"Dracaena phrynioides","1946",139
"Dracaena phrynioides","1860",166
"Dracaena phrynioides","1994",156
"Dracaena phrynioides","1996",151
"Dracaena phrynioides","1996",199
"Dracaena phrynioides","1996",148
"Dracaena phrynioides","1996",143
"Dracaena phrynioides","1996",144
"Dracaena phrynioides","1996",141
"Dracaena phrynioides","1992",191
"Dracaena phrynioides","1992",191
"Dracaena phrynioides","1992",191
"Dracaena phrynioides","1992",191
"Dracaena phrynioides","1974",137
"Dracaena phrynioides","1980",136
"Dracaena phrynioides","1965",192
"Dracaena phrynioides","1974",137
"Dracaena phrynioides","1965",192
"Dracaena phrynioides","1980",136
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","1983",172
"Dracaena phrynioides","2002",194
"Dracaena phrynioides","1965",195
"Dracaena phrynioides","1969",170
"Dracaena phrynioides","1972",123
"Dracaena phrynioides","1964",177
"Dracaena phrynioides","1953",108
"Dracaena phrynioides","1991",144
"Dracaena phrynioides","1990",175
"Dracaena phrynioides","2012",193
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","2012",193
"Dracaena phrynioides","2012",193
"Dracaena phrynioides","2012",193
"Dracaena phrynioides","2012",182
"Dracaena phrynioides","1999",190
"Dracaena phrynioides","2002",194
"Dracaena phrynioides","2000",97
"Dracaena phrynioides","1969",120
"Dracaena phrynioides","2013",97
"Dracaena phrynioides","1999",190
"Dracaena phrynioides","1999",208
"Dracaena phrynioides","1999",196
"Dracaena phrynioides","2000",98
"Dracaena phrynioides","1975",127
"Dracaena phrynioides","1972",123
"Dracaena phrynioides","1990",175
"Dracaena phrynioides","1999",187
"Dracaena phrynioides","2011",134
"Dracaena phrynioides","2011",134
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","2001",189
"Dracaena phrynioides","1974",137
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","1995",186
"Dracaena phrynioides","1971",150
"Dracaena phrynioides","2011",134
"Dracaena phrynioides",NA,NA
"Dracaena phrynioides","1955",175
"Dracaena phrynioides","1995",152
"Dracaena phrynioides","2003",204
"Dracaena phrynioides","1990",175
"Dracaena phrynioides","2000",208
"Dracaena phrynioides","2000",208
"Dracaena phrynioides","1964",177
"Dracaena phrynioides","1965",121
"Dracaena phrynioides","1953",108
"Dracaena phrynioides","2016",137
"Dracaena phrynioides","2016",137
"Dracaena phrynioides",NA,NA
"Dracaena phrynioides","1983",172
"Dracaena phrynioides","2012",193
"Dracaena phrynioides","2012",182
