gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912209341	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000233305	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	CI	de Doubie a Namouilis		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1907-03-28T00:00	28	3	1907	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K000233305	17961	Persoon, J.G.M.		CC_BY_4_0		Chevalier, A.	Isotype		2025-03-27T23:35:25.458Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000172323	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781929	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	LR	Krahn Bassa Forest		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1964-02-04T00:00	4	2	1964	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781929	328			CC_BY_4_0		Van Harten, A.M.			2025-03-27T23:36:35.178Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000169026	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781928	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	LR	Sinoe Basin.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1904-01-01T00:00	1	1	1904	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781928	15			CC_BY_4_0		Whyte, A.			2025-03-27T23:36:35.205Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000167741	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781927	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	LR	Sinoe Basin.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1904-03-13T00:00	13	3	1904	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781927	8			CC_BY_4_0		Whyte, A.			2025-03-27T23:36:35.739Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000166194	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781921	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	CI	81 km NNE of Sassandra, 5 km E of road to Lakota, near Goborko R.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					100.0				1959-03-17T00:00	17	3	1959	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781921	3092			CC_BY_4_0		Leeuwenberg, A.J.M.			2025-03-27T23:37:52.148Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000163491	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781933	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	CI	In vicinioribus Yapo-Nord, ad orientem oppidi, per semitas nemorosas, in silva, in apricis.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1962-03-15T00:00	15	3	1962	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781933	8702			CC_BY_4_0		Bernardi, L.			2025-03-27T23:36:51.961Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000162946	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781935	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	LR	Within 20 miles of Karka Town.; N. of Monrovia		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1904-01-01T00:00	1	1	1904	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781935	s.n.			CC_BY_4_0		Whyte, A.			2025-03-27T23:36:35.511Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000162945	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781920	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	CI	Soubre; P.N. de Taï, zone Est, secteur Soubré, groupe de transect [VDRL7.]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					210.0				2010-02-12T00:00	12	2	2010	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781920	MS229			CC_BY_4_0		Scouppe, M.; Salé, K.K.B.			2025-03-27T23:36:54.386Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000159219	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781924	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	LR			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1904-01-01T00:00	1	1	1904	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781924	9			CC_BY_4_0		Sim, D.			2025-03-27T23:36:51.961Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5000158269	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005781930	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha		SPECIES	Landolphia micrantha (A.Chev.) Pichon	Landolphia micrantha	(A.Chev.) Pichon	CI	Forêt du Yapo.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1964-03-11T00:00	11	3	1964	3616504	3616504	PRESERVED_SPECIMEN	K	Herbarium	K005781930	1002			CC_BY_4_0		Oldeman, R.A.A.			2025-03-27T23:37:52.148Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
