"species","Year","JulianDay"
"Landolphia micrantha","1907",87
"Landolphia micrantha","1964",35
"Landolphia micrantha","1904",1
"Landolphia micrantha","1904",73
"Landolphia micrantha","1959",76
"Landolphia micrantha","1962",74
"Landolphia micrantha","1904",1
"Landolphia micrantha","2010",43
"Landolphia micrantha","1904",1
"Landolphia micrantha","1964",71
"Landolphia micrantha","1962",50
"Landolphia micrantha","1979",78
"Landolphia micrantha","1964",42
"Landolphia micrantha","1976",48
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",8
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",8
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",8
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",47
"Landolphia micrantha","1974",73
"Landolphia micrantha","1970",21
"Landolphia micrantha","1979",78
"Landolphia micrantha","1973",40
"Landolphia micrantha","1973",40
"Landolphia micrantha","1973",20
"Landolphia micrantha","1976",48
"Landolphia micrantha","2020",41
"Landolphia micrantha","1960",364
"Landolphia micrantha",NA,NA
"Landolphia micrantha","1966",37
"Landolphia micrantha","1965",23
"Landolphia micrantha","1970",42
"Landolphia micrantha","1973",40
"Landolphia micrantha","1972",62
"Landolphia micrantha","1973",40
"Landolphia micrantha","1972",8
"Landolphia micrantha","1963",22
"Landolphia micrantha","1907",87
"Landolphia micrantha","1970",21
"Landolphia micrantha","1979",78
"Landolphia micrantha","1972",44
"Landolphia micrantha","1972",47
"Landolphia micrantha","1973",20
"Landolphia micrantha","1964",42
"Landolphia micrantha","1972",47
"Landolphia micrantha","1976",48
"Landolphia micrantha","1988",68
"Landolphia micrantha","1957",66
"Landolphia micrantha","1974",73
"Landolphia micrantha","1974",12
"Landolphia micrantha","1960",60
"Landolphia micrantha","2020",41
"Landolphia micrantha","2020",41
"Landolphia micrantha","2020",41
"Landolphia micrantha","2020",41
"Landolphia micrantha","1979",78
"Landolphia micrantha","1962",50
"Landolphia micrantha","1976",48
"Landolphia micrantha","2020",41
"Landolphia micrantha","1973",73
"Landolphia micrantha","1966",37
"Landolphia micrantha","1973",20
"Landolphia micrantha","1971",342
"Landolphia micrantha","1963",22
"Landolphia micrantha","1970",21
"Landolphia micrantha","1979",78
"Landolphia micrantha","1976",48
"Landolphia micrantha","1979",78
"Landolphia micrantha","1973",40
"Landolphia micrantha","2016",39
"Landolphia micrantha","1907",87
"Landolphia micrantha","1962",50
"Landolphia micrantha","1964",35
"Landolphia micrantha","1959",76
"Landolphia micrantha","1973",40
"Landolphia micrantha","1974",12
"Landolphia micrantha","1962",50
"Landolphia micrantha","1964",35
"Landolphia micrantha","1964",42
"Landolphia micrantha","1973",20
"Landolphia micrantha","1964",42
"Landolphia micrantha","1964",71
"Landolphia micrantha","2010",43
"Landolphia micrantha","1973",40
"Landolphia micrantha","1962",74
"Landolphia micrantha","1972",348
"Landolphia micrantha","2007",345
"Landolphia micrantha","1962",74
"Landolphia micrantha","1964",71
"Landolphia micrantha","1974",12
"Landolphia micrantha","1963",24
"Landolphia micrantha","1970",42
"Landolphia micrantha","1976",48
"Landolphia micrantha","1974",73
"Landolphia micrantha","1973",20
"Landolphia micrantha","1970",42
"Landolphia micrantha","1979",78
"Landolphia micrantha","1964",42
"Landolphia micrantha","1966",37
"Landolphia micrantha","1962",50
"Landolphia micrantha","1970",21
"Landolphia micrantha","1973",20
"Landolphia micrantha","1973",61
"Landolphia micrantha","1979",78
"Landolphia micrantha","1962",74
"Landolphia micrantha","1962",50
"Landolphia micrantha","2010",22
"Landolphia micrantha","1972",8
"Landolphia micrantha","1972",47
"Landolphia micrantha","1972",350
"Landolphia micrantha",NA,NA
"Landolphia micrantha","1973",61
"Landolphia micrantha","1972",348
"Landolphia micrantha","1973",76
"Landolphia micrantha","1969",5
"Landolphia micrantha","1972",8
"Landolphia micrantha","1974",12
"Landolphia micrantha","1979",78
"Landolphia micrantha","1963",24
"Landolphia micrantha","1988",68
"Landolphia micrantha","1963",22
"Landolphia micrantha","1962",75
"Landolphia micrantha","1988",68
"Landolphia micrantha","2010",43
"Landolphia micrantha","1970",21
"Landolphia micrantha","1973",20
"Landolphia micrantha","1976",48
"Landolphia micrantha","1979",78
"Landolphia micrantha","1973",40
"Landolphia micrantha","1964",42
"Landolphia micrantha","1962",50
"Landolphia micrantha","1970",21
"Landolphia micrantha","1959",76
"Landolphia micrantha","1973",40
"Landolphia micrantha","1976",48
"Landolphia micrantha","1973",20
"Landolphia micrantha","1960",60
"Landolphia micrantha","1907",87
"Landolphia micrantha","2007",345
"Landolphia micrantha","1979",78
