gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912575024	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000746153	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Bali Ngemba Forest Reserve.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.822222	10.080555			1350.0				2004-04-13T00:00	13	4	2004	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000746153	5426	Harvey, Y.B.		CC_BY_4_0		Etuge, M.			2025-03-27T23:35:49.375Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912292226	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000339847	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Mefou National Park, Ndanen 2.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.627778	11.578611			600.0				2004-03-25T00:00	25	3	2004	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000339847	5293			CC_BY_4_0		Etuge, M.			2025-03-27T23:35:30.029Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153232	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107620	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Hunters path from Kupe village to mountain top, running to S and parallel with Esense river (now dry). Towards village largely coffee farms with shade trees. Grid ref. from Magellan reading where path enters forest,		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.783333	9.683333			840.0				1995-01-24T00:00	24	1	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107620	7118	Kennedy, H.		CC_BY_4_0		Cheek, M.			2025-03-27T23:35:21.683Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153222	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107629	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Nyale forest and rock.Lat: 4.59.88 NLong :9.37.75EAlt : 720 m.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.0	9.633333			713.0				1998-02-15T00:00	15	2	1998	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107629	4182	Kennedy, H.		CC_BY_4_0		Etuge, M.			2025-03-27T23:35:21.487Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153216	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107621	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	South of Tape village towards mountain.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.833334	9.7			1000.0				1995-01-30T00:00	30	1	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107621	149	Kennedy, H.		CC_BY_4_0		Williams, S.			2025-03-27T23:37:27.426Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153214	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107619	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Trail north of Nyasoso		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.833334	9.683333			1000.0				1995-02-09T00:00	9	2	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107619	101	Kennedy, H.		CC_BY_4_0		Groves, M.			2025-03-27T23:35:21.268Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153213	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107628	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Rocky slopes and steep ground down to bottom of valley.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.983334	9.7			1200.0				1998-01-21T00:00	21	1	1998	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107628	4075	Kennedy, H.		CC_BY_4_0		Etuge, M.			2025-03-27T23:35:21.268Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153192	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107622	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Steep slope on hill next to Tape Village		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.833334	9.7			1100.0				1995-02-01T00:00	1	2	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107622	30	Kennedy, H.		CC_BY_4_0		Groves, M.			2025-03-27T23:35:21.584Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153185	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107625	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Forest trail above Kupe Village.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.75	9.683333			800.0				1995-01-17T00:00	17	1	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107625	278	Kennedy, H.		CC_BY_4_0		Lane, P.			2025-03-27T23:35:21.292Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912153178	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000107623	Plantae	Tracheophyta	Liliopsida	Zingiberales	Marantaceae	Marantochloa	Marantochloa leucantha		SPECIES	Marantochloa leucantha (K.Schum.) Milne-Redh.	Marantochloa leucantha	(K.Schum.) Milne-Redh.	CM	Esense river near farm of Philip Taza		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.766667	9.666667			700.0				1995-01-16T00:00	16	1	1995	2761169	2761169	PRESERVED_SPECIMEN	K	Herbarium	K000107623	6038	Kennedy, H.		CC_BY_4_0		Cheek, M.			2025-03-27T23:35:21.349Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
