"species","Year","JulianDay"
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","2004",85
"Marantochloa leucantha","1995",24
"Marantochloa leucantha","1998",46
"Marantochloa leucantha","1995",30
"Marantochloa leucantha","1995",40
"Marantochloa leucantha","1998",21
"Marantochloa leucantha","1995",32
"Marantochloa leucantha","1995",17
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1995",120
"Marantochloa leucantha","1994",109
"Marantochloa leucantha","1994",114
"Marantochloa leucantha","1992",98
"Marantochloa leucantha","1992",78
"Marantochloa leucantha","1953",86
"Marantochloa leucantha","1950",72
"Marantochloa leucantha","1933",15
"Marantochloa leucantha","2011",102
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1973",98
"Marantochloa leucantha","1973",103
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1974",49
"Marantochloa leucantha","2009",15
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","1973",98
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1974",49
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1973",103
"Marantochloa leucantha","1973",103
"Marantochloa leucantha","2009",15
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","1973",103
"Marantochloa leucantha","2009",15
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","2004",104
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","1973",98
"Marantochloa leucantha","1988",20
"Marantochloa leucantha","1988",20
"Marantochloa leucantha","2018",106
"Marantochloa leucantha","2018",106
"Marantochloa leucantha","2018",106
"Marantochloa leucantha","2018",106
"Marantochloa leucantha","1908",87
"Marantochloa leucantha","1890",35
"Marantochloa leucantha","2009",74
"Marantochloa leucantha","2009",74
"Marantochloa leucantha","2001",43
"Marantochloa leucantha","2001",76
"Marantochloa leucantha","2001",76
"Marantochloa leucantha","2001",76
"Marantochloa leucantha","1997",71
"Marantochloa leucantha","2022",56
"Marantochloa leucantha","2022",58
"Marantochloa leucantha","2022",61
"Marantochloa leucantha","1920",1
"Marantochloa leucantha","1964",22
"Marantochloa leucantha","1950",32
"Marantochloa leucantha","1950",72
"Marantochloa leucantha","1974",89
"Marantochloa leucantha","1893",1
"Marantochloa leucantha","1953",86
"Marantochloa leucantha","1960",32
"Marantochloa leucantha","1935",1
"Marantochloa leucantha","1948",11
"Marantochloa leucantha","1999",68
"Marantochloa leucantha","1932",92
"Marantochloa leucantha","1914",1
"Marantochloa leucantha","1996",113
"Marantochloa leucantha","1990",50
"Marantochloa leucantha","1993",108
"Marantochloa leucantha","1986",28
"Marantochloa leucantha","1961",30
"Marantochloa leucantha","1970",99
"Marantochloa leucantha","1964",18
"Marantochloa leucantha","1962",57
"Marantochloa leucantha",NA,NA
