gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912325341	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000386667	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	BF	on road to Bitou		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	11.75	-0.35			300.0				1996-08-26T00:00	26	8	1996	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K000386667	5290	Lewis, G.P.; Lock, J.M.		CC_BY_4_0		Madsen, J.E.			2025-04-15T15:22:45.528Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912234337	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000263050	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	LR			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1841-07-01T00:00	1	7	1841	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K000263050	5	Nuno Sousa Costa		CC_BY_4_0		Vogel, T.	OriginalMaterial		2025-04-15T15:19:59.657Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912234299	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000263051	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	LR			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1841-07-01T00:00	1	7	1841	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K000263051	56	Sousa Costa, N.		CC_BY_4_0		Vogel, T.	OriginalMaterial		2025-04-15T15:19:59.523Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4993525365	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:104056116	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta P. Beauv.	P. Beauv.	BJ	Guessou Sud.	Borgou	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	10.046583	2.655167			581.0	205.0			1999-07-19	19	7	1999	2975724	2975724	PRESERVED_SPECIMEN	MO	Tropicos	104056116	6903	Maesen, L.J.G. van der	2000-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	P. Houngnon			2025-02-13T18:49:37.660Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4993459005	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104056113	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta P. Beauv.	P. Beauv.	BJ	Guessou Sud.	Borgou	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	10.046583	2.655167			581.0	205.0			1999-07-19	19	7	1999	2975724	2975724	PRESERVED_SPECIMEN	WAG	Tropicos	104056113	6903	Maesen, L.J.G. van der	2000-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	P. Houngnon			2025-02-13T17:30:50.394Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993398460	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104056114	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta P. Beauv.	P. Beauv.	BJ	Guessou Sud.	Borgou	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	10.046583	2.655167			581.0	205.0			1999-07-19	19	7	1999	2975724	2975724	PRESERVED_SPECIMEN	BENIN	Tropicos	104056114	6903	Maesen, L.J.G. van der	2000-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	P. Houngnon			2025-02-13T17:30:50.143Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993386080	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104056115	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta P. Beauv.	P. Beauv.	BJ	Guessou Sud.	Borgou	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	10.046583	2.655167			581.0	205.0			1999-07-19	19	7	1999	2975724	2975724	PRESERVED_SPECIMEN	BR	Tropicos	104056115	6903	Maesen, L.J.G. van der	2000-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	P. Houngnon			2025-02-13T17:30:50.158Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;AMBIGUOUS_INSTITUTION
4954089602	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K003031772	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	MG	Mcolté o Olupezouz (Mbjuuqe)		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1961-08-04T00:00	4	8	1961	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K003031772	3289			CC_BY_4_0		Jacqueline; Peltier, M.			2025-04-15T15:21:43.568Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4954088076	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K003031177	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	LR	Montserrado Co: Monrovia; Common along beach		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1947-06-07T00:00	7	6	1947	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K003031177	5942			CC_BY_4_0		Baldwin, J.T.			2025-04-15T15:22:56.456Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4954085969	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K003031175	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Stylosanthes	Stylosanthes erecta		SPECIES	Stylosanthes erecta P.Beauv.	Stylosanthes erecta	P.Beauv.	LR	Sinkor		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1952-06-29T00:00	29	6	1952	2975724	2975724	PRESERVED_SPECIMEN	K	Herbarium	K003031175	1359			CC_BY_4_0		Barker, A.J.D.			2025-04-15T15:23:17.482Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
