"species","Year","JulianDay"
"Stylosanthes erecta","1996",239
"Stylosanthes erecta","1841",182
"Stylosanthes erecta","1841",182
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1961",216
"Stylosanthes erecta","1947",158
"Stylosanthes erecta","1952",181
"Stylosanthes erecta","1965",168
"Stylosanthes erecta","1952",227
"Stylosanthes erecta","1952",238
"Stylosanthes erecta","1957",152
"Stylosanthes erecta","1947",158
"Stylosanthes erecta","1952",209
"Stylosanthes erecta","1927",152
"Stylosanthes erecta","1968",209
"Stylosanthes erecta","1966",160
"Stylosanthes erecta","1956",214
"Stylosanthes erecta","1957",218
"Stylosanthes erecta","1879",182
"Stylosanthes erecta","1979",182
"Stylosanthes erecta","1955",182
"Stylosanthes erecta","2011",198
"Stylosanthes erecta","1997",241
"Stylosanthes erecta","1997",243
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","1875",214
"Stylosanthes erecta","1907",235
"Stylosanthes erecta","1902",195
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1875",214
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1966",160
"Stylosanthes erecta","1907",235
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1961",216
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1964",231
"Stylosanthes erecta","1957",218
"Stylosanthes erecta","1907",228
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1961",232
"Stylosanthes erecta","1902",183
"Stylosanthes erecta","1902",183
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1968",209
"Stylosanthes erecta","1965",168
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1952",209
"Stylosanthes erecta","1964",171
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1996",239
"Stylosanthes erecta","1999",220
"Stylosanthes erecta","1998",234
"Stylosanthes erecta","1998",157
"Stylosanthes erecta","1961",208
"Stylosanthes erecta","1998",230
"Stylosanthes erecta","1999",205
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","2000",231
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1972",201
"Stylosanthes erecta","1994",188
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2016",160
"Stylosanthes erecta","2016",160
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2016",161
"Stylosanthes erecta","2016",160
"Stylosanthes erecta","2015",157
"Stylosanthes erecta","2016",161
"Stylosanthes erecta","2015",157
"Stylosanthes erecta","2016",160
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2020",221
"Stylosanthes erecta","2012",183
"Stylosanthes erecta","2013",199
"Stylosanthes erecta","1997",241
"Stylosanthes erecta","1999",231
"Stylosanthes erecta","2020",221
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1966",160
"Stylosanthes erecta","1999",220
"Stylosanthes erecta","1999",156
"Stylosanthes erecta","1966",160
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1999",189
"Stylosanthes erecta","1957",210
"Stylosanthes erecta","1951",203
"Stylosanthes erecta","2012",242
"Stylosanthes erecta","2000",231
"Stylosanthes erecta","2000",231
"Stylosanthes erecta","1999",205
"Stylosanthes erecta","1841",213
"Stylosanthes erecta","2000",231
"Stylosanthes erecta","1902",182
"Stylosanthes erecta","2016",161
"Stylosanthes erecta","2016",160
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1979",206
"Stylosanthes erecta","2000",187
"Stylosanthes erecta","1999",189
"Stylosanthes erecta","1997",231
"Stylosanthes erecta","1999",156
"Stylosanthes erecta","1994",188
"Stylosanthes erecta","1994",188
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1961",208
"Stylosanthes erecta","1972",201
"Stylosanthes erecta","1966",160
"Stylosanthes erecta","1951",203
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1915",194
"Stylosanthes erecta","1915",194
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","1919",214
"Stylosanthes erecta","1919",214
"Stylosanthes erecta","1919",196
"Stylosanthes erecta","1919",196
"Stylosanthes erecta","1919",196
"Stylosanthes erecta","1920",207
"Stylosanthes erecta","1974",182
"Stylosanthes erecta","1955",152
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta",NA,NA
"Stylosanthes erecta","2003",233
"Stylosanthes erecta","2000",231
"Stylosanthes erecta","1999",205
"Stylosanthes erecta","1999",200
"Stylosanthes erecta","1998",234
"Stylosanthes erecta","1998",230
"Stylosanthes erecta","1998",157
"Stylosanthes erecta","1947",188
"Stylosanthes erecta","2015",157
