species,Year,JulianDay
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,NA,NA
Terminalia laxiflora,2014,60
Terminalia laxiflora,2011,75
Terminalia laxiflora,2009,12
Terminalia laxiflora,2009,12
Terminalia laxiflora,2007,91
Terminalia laxiflora,2002,17
Terminalia laxiflora,2002,17
Terminalia laxiflora,2000,117
Terminalia laxiflora,2000,98
Terminalia laxiflora,2000,94
Terminalia laxiflora,2000,94
Terminalia laxiflora,2000,117
Terminalia laxiflora,2000,98
Terminalia laxiflora,2000,98
Terminalia laxiflora,2000,94
Terminalia laxiflora,2000,117
Terminalia laxiflora,1999,64
Terminalia laxiflora,1999,54
Terminalia laxiflora,1999,54
Terminalia laxiflora,1999,64
Terminalia laxiflora,1999,64
Terminalia laxiflora,1999,104
Terminalia laxiflora,1999,37
Terminalia laxiflora,1999,64
Terminalia laxiflora,1999,37
Terminalia laxiflora,1999,104
Terminalia laxiflora,1999,54
Terminalia laxiflora,1999,54
Terminalia laxiflora,1999,37
Terminalia laxiflora,1999,104
Terminalia laxiflora,1999,64
Terminalia laxiflora,1998,76
Terminalia laxiflora,1998,40
Terminalia laxiflora,1996,91
Terminalia laxiflora,1996,77
Terminalia laxiflora,1996,114
Terminalia laxiflora,1996,91
Terminalia laxiflora,1996,91
Terminalia laxiflora,1993,46
Terminalia laxiflora,1992,60
Terminalia laxiflora,1991,53
Terminalia laxiflora,1990,75
Terminalia laxiflora,1989,114
Terminalia laxiflora,1989,114
Terminalia laxiflora,1987,84
Terminalia laxiflora,1985,80
Terminalia laxiflora,1985,80
Terminalia laxiflora,1983,23
Terminalia laxiflora,1982,112
Terminalia laxiflora,1982,1
Terminalia laxiflora,1982,1
Terminalia laxiflora,1981,1
Terminalia laxiflora,1981,94
Terminalia laxiflora,1981,94
Terminalia laxiflora,1981,94
Terminalia laxiflora,1981,94
Terminalia laxiflora,1981,94
Terminalia laxiflora,1981,100
Terminalia laxiflora,1981,90
Terminalia laxiflora,1981,90
Terminalia laxiflora,1980,94
Terminalia laxiflora,1980,94
Terminalia laxiflora,1979,111
Terminalia laxiflora,1979,38
Terminalia laxiflora,1979,111
Terminalia laxiflora,1978,40
Terminalia laxiflora,1978,111
Terminalia laxiflora,1978,36
Terminalia laxiflora,1978,110
Terminalia laxiflora,1978,40
Terminalia laxiflora,1977,82
Terminalia laxiflora,1977,94
Terminalia laxiflora,1976,61
Terminalia laxiflora,1976,35
Terminalia laxiflora,1976,21
Terminalia laxiflora,1976,21
Terminalia laxiflora,1976,115
Terminalia laxiflora,1976,115
Terminalia laxiflora,1976,21
Terminalia laxiflora,1974,61
Terminalia laxiflora,1974,63
Terminalia laxiflora,1974,60
Terminalia laxiflora,1974,59
Terminalia laxiflora,1974,63
Terminalia laxiflora,1974,60
Terminalia laxiflora,1974,63
Terminalia laxiflora,1974,62
Terminalia laxiflora,1974,60
Terminalia laxiflora,1974,59
Terminalia laxiflora,1974,63
Terminalia laxiflora,1974,61
Terminalia laxiflora,1974,63
Terminalia laxiflora,1974,61
Terminalia laxiflora,1974,62
Terminalia laxiflora,1974,60
Terminalia laxiflora,1974,61
Terminalia laxiflora,1974,61
Terminalia laxiflora,1974,60
Terminalia laxiflora,1973,64
Terminalia laxiflora,1973,106
Terminalia laxiflora,1973,106
Terminalia laxiflora,1973,106
Terminalia laxiflora,1973,101
Terminalia laxiflora,1973,64
Terminalia laxiflora,1972,111
Terminalia laxiflora,1972,119
Terminalia laxiflora,1972,58
Terminalia laxiflora,1972,111
Terminalia laxiflora,1972,119
Terminalia laxiflora,1972,111
Terminalia laxiflora,1972,119
Terminalia laxiflora,1972,111
Terminalia laxiflora,1971,69
Terminalia laxiflora,1971,49
Terminalia laxiflora,1971,71
Terminalia laxiflora,1970,49
Terminalia laxiflora,1970,49
Terminalia laxiflora,1969,60
Terminalia laxiflora,1969,60
Terminalia laxiflora,1969,72
Terminalia laxiflora,1969,71
Terminalia laxiflora,1968,49
Terminalia laxiflora,1968,49
Terminalia laxiflora,1968,49
Terminalia laxiflora,1968,49
Terminalia laxiflora,1968,49
Terminalia laxiflora,1968,49
Terminalia laxiflora,1967,51
