species,Year,JulianDay
Tetrorchidium didymostemon,1910,115
Tetrorchidium didymostemon,1913,91
Tetrorchidium didymostemon,1914,91
Tetrorchidium didymostemon,1929,110
Tetrorchidium didymostemon,1930,91
Tetrorchidium didymostemon,1935,91
Tetrorchidium didymostemon,1936,97
Tetrorchidium didymostemon,1938,91
Tetrorchidium didymostemon,1939,117
Tetrorchidium didymostemon,1941,118
Tetrorchidium didymostemon,1943,110
Tetrorchidium didymostemon,1946,102
Tetrorchidium didymostemon,1946,93
Tetrorchidium didymostemon,1949,113
Tetrorchidium didymostemon,1950,91
Tetrorchidium didymostemon,1952,118
Tetrorchidium didymostemon,1952,111
Tetrorchidium didymostemon,1952,118
Tetrorchidium didymostemon,1952,113
Tetrorchidium didymostemon,1955,105
Tetrorchidium didymostemon,1959,106
Tetrorchidium didymostemon,1959,106
Tetrorchidium didymostemon,1959,108
Tetrorchidium didymostemon,1959,106
Tetrorchidium didymostemon,1959,108
Tetrorchidium didymostemon,1959,97
Tetrorchidium didymostemon,1960,98
Tetrorchidium didymostemon,1961,119
Tetrorchidium didymostemon,1962,107
Tetrorchidium didymostemon,1965,94
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,104
Tetrorchidium didymostemon,1972,104
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,93
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1974,120
Tetrorchidium didymostemon,1975,108
Tetrorchidium didymostemon,1975,104
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,96
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,97
Tetrorchidium didymostemon,1977,105
Tetrorchidium didymostemon,1977,96
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,115
Tetrorchidium didymostemon,1988,110
Tetrorchidium didymostemon,1989,112
Tetrorchidium didymostemon,1989,112
Tetrorchidium didymostemon,1992,100
Tetrorchidium didymostemon,1992,107
Tetrorchidium didymostemon,1992,97
Tetrorchidium didymostemon,1992,115
Tetrorchidium didymostemon,1992,115
Tetrorchidium didymostemon,1993,108
Tetrorchidium didymostemon,1994,105
Tetrorchidium didymostemon,1997,93
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2008,104
Tetrorchidium didymostemon,2008,103
Tetrorchidium didymostemon,2009,110
Tetrorchidium didymostemon,2009,111
Tetrorchidium didymostemon,2009,110
Tetrorchidium didymostemon,2011,102
Tetrorchidium didymostemon,2011,102
Tetrorchidium didymostemon,2011,120
Tetrorchidium didymostemon,2022,101
Tetrorchidium didymostemon,2022,101
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
Tetrorchidium didymostemon,NA,NA
