gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912297171	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000346910	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	GQ	Bioko		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1860-01-01T00:00	1	1	1860	2900559	2900559	PRESERVED_SPECIMEN	K	Herbarium	K000346910	s.n.	Hutchinson; Dalziel		CC_BY_4_0		Mann	Type		2025-04-15T15:20:11.455Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912109242	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000050929	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.083333	9.1			500.0				1983-12-29T00:00	29	12	1983	2900559	2900559	PRESERVED_SPECIMEN	K	Herbarium	K000050929	2861			CC_BY_4_0		Thomas, D.W.			2025-04-15T15:22:43.868Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912109205	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000050930	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.083333	9.1			500.0				1983-12-29T00:00	29	12	1983	2900559	2900559	PRESERVED_SPECIMEN	K	Herbarium	K000050930	2861			CC_BY_4_0		Thomas, D.W.			2025-04-15T15:19:39.667Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912109199	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000050932	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	CM	Forested hillsides in the Bakossi Mountains, west of Bangem.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.083333	9.7			8.0				1986-01-11T00:00	11	1	1986	2900559	2900559	PRESERVED_SPECIMEN	K	Herbarium	K000050932	5312	Cheek, M.		CC_BY_4_0		Thomas, D.W.			2025-04-15T15:22:59.563Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912095111	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000026230	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.85	9.65			650.0				1996-01-15T00:00	15	1	1996	2900559	2900559	PRESERVED_SPECIMEN	K	Herbarium	K000026230	1570	Cheek, M.		CC_BY_4_0		Etuge, M.			2025-04-15T15:19:35.758Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912050594	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/5043.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	NG	Benin Distr.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1958-11-10T00:00	10	11	1958	2900559	2900559	PRESERVED_SPECIMEN	K	Spirit	5043.000	40407			CC_BY_4_0		Onochie, C.F.A.			2025-04-15T15:22:43.172Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
912032080	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/3346.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens	Hiern	NG	Benin		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1949-11-20T00:00	20	11	1949	2900559	2900559	PRESERVED_SPECIMEN	K	Spirit	3346.000	25571			CC_BY_4_0		Keay, R.W.J.			2025-04-15T15:19:22.110Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
912029531	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/31104.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia myrtifolia S.Moore	Tricalysia myrtifolia	S.Moore	ZM	S. of Matonchi Farm		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1938-01-04T00:00	4	1	1938	2900569	2900559	PRESERVED_SPECIMEN	K	Spirit	31104.000	3946			CC_BY_4_0		Milne-Redhead, E.			2025-04-15T15:22:43.230Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
912007310	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/12219.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia myrtifolia S.Moore	Tricalysia myrtifolia	S.Moore	ZM	Ndola		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1952-01-02T00:00	2	1	1952	2900569	2900559	PRESERVED_SPECIMEN	K	Spirit	12219.000	1859			CC_BY_4_0		White, F.			2025-04-15T15:19:32.632Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
813404485	231c5bcf-1b56-4905-a398-6d0e18f6de1a	urn:lsid:iict.pt:LISC:LISC068945	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Tricalysia	Tricalysia pallens		SPECIES	Tricalysia pallens Hiern	Tricalysia pallens Hiern	Hiern	MZ	Serra de Milange	Zambezia	PRESENT		9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862	-16.08132	35.809166							1942-11-12T00:00	12	11	1942	2900559	2900559	PRESERVED_SPECIMEN	IICT	LISC	LISC068945	1417			CC_BY_NC_4_0		Mendonça, F.A.			2025-02-06T17:43:37.321Z		COORDINATE_ROUNDED;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
