species,Year,JulianDay
Tricalysia pallens,1860,1
Tricalysia pallens,1895,1
Tricalysia pallens,1903,308
Tricalysia pallens,1903,350
Tricalysia pallens,1903,350
Tricalysia pallens,1905,321
Tricalysia pallens,1905,330
Tricalysia pallens,1908,9
Tricalysia pallens,1908,326
Tricalysia pallens,1909,353
Tricalysia pallens,1910,349
Tricalysia pallens,1910,349
Tricalysia pallens,1913,16
Tricalysia pallens,1913,305
Tricalysia pallens,1913,335
Tricalysia pallens,1914,4
Tricalysia pallens,1914,5
Tricalysia pallens,1914,5
Tricalysia pallens,1914,14
Tricalysia pallens,1914,356
Tricalysia pallens,1914,356
Tricalysia pallens,1914,356
Tricalysia pallens,1914,357
Tricalysia pallens,1915,6
Tricalysia pallens,1915,6
Tricalysia pallens,1915,11
Tricalysia pallens,1915,11
Tricalysia pallens,1915,27
Tricalysia pallens,1915,30
Tricalysia pallens,1915,30
Tricalysia pallens,1916,29
Tricalysia pallens,1916,308
Tricalysia pallens,1916,308
Tricalysia pallens,1916,308
Tricalysia pallens,1916,308
Tricalysia pallens,1916,320
Tricalysia pallens,1916,320
Tricalysia pallens,1916,320
Tricalysia pallens,1916,320
Tricalysia pallens,1916,320
Tricalysia pallens,1916,320
Tricalysia pallens,1916,334
Tricalysia pallens,1916,334
Tricalysia pallens,1916,347
Tricalysia pallens,1916,362
Tricalysia pallens,1916,362
Tricalysia pallens,1917,23
Tricalysia pallens,1917,23
Tricalysia pallens,1917,306
Tricalysia pallens,1921,326
Tricalysia pallens,1922,342
Tricalysia pallens,1922,363
Tricalysia pallens,1922,363
Tricalysia pallens,1925,320
Tricalysia pallens,1925,320
Tricalysia pallens,1925,321
Tricalysia pallens,1925,321
Tricalysia pallens,1927,326
Tricalysia pallens,1927,326
Tricalysia pallens,1928,336
Tricalysia pallens,1930,335
Tricalysia pallens,1933,335
Tricalysia pallens,1935,352
Tricalysia pallens,1935,352
Tricalysia pallens,1935,352
Tricalysia pallens,1936,306
Tricalysia pallens,1936,335
Tricalysia pallens,1936,335
Tricalysia pallens,1936,335
Tricalysia pallens,1937,335
Tricalysia pallens,1937,335
Tricalysia pallens,1937,335
Tricalysia pallens,1937,352
Tricalysia pallens,1938,4
Tricalysia pallens,1938,4
Tricalysia pallens,1938,329
Tricalysia pallens,1938,329
Tricalysia pallens,1938,329
Tricalysia pallens,1941,1
Tricalysia pallens,1941,308
Tricalysia pallens,1942,316
Tricalysia pallens,1943,3
Tricalysia pallens,1943,309
Tricalysia pallens,1947,20
Tricalysia pallens,1947,20
Tricalysia pallens,1947,317
Tricalysia pallens,1947,317
Tricalysia pallens,1947,317
Tricalysia pallens,1947,325
Tricalysia pallens,1947,351
Tricalysia pallens,1947,357
Tricalysia pallens,1947,357
Tricalysia pallens,1948,3
Tricalysia pallens,1948,13
Tricalysia pallens,1948,13
Tricalysia pallens,1948,13
Tricalysia pallens,1948,13
Tricalysia pallens,1948,13
Tricalysia pallens,1948,310
Tricalysia pallens,1948,310
Tricalysia pallens,1948,310
Tricalysia pallens,1948,313
Tricalysia pallens,1949,1
Tricalysia pallens,1949,3
Tricalysia pallens,1949,14
Tricalysia pallens,1949,14
Tricalysia pallens,1949,324
Tricalysia pallens,1949,324
Tricalysia pallens,1949,336
Tricalysia pallens,1949,336
Tricalysia pallens,1949,354
Tricalysia pallens,1949,354
