"species","Year","JulianDay"
"Triclisia subcordata","1858",1
"Triclisia subcordata","1858",1
"Triclisia subcordata","1900",1
"Triclisia subcordata","1859",1
"Triclisia subcordata","1999",49
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1999",33
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1999",50
"Triclisia subcordata","1978",52
"Triclisia subcordata","1978",52
"Triclisia subcordata","1999",49
"Triclisia subcordata","1999",33
"Triclisia subcordata","1978",52
"Triclisia subcordata","1978",52
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1991",28
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1956",35
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1956",35
"Triclisia subcordata",NA,NA
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1956",35
"Triclisia subcordata","1956",35
"Triclisia subcordata",NA,NA
"Triclisia subcordata","1988",24
"Triclisia subcordata","1994",39
"Triclisia subcordata","1972",1
"Triclisia subcordata","1988",24
"Triclisia subcordata","1999",33
"Triclisia subcordata","1991",28
"Triclisia subcordata","1999",49
