gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912344208	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000412100	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriella nigerica (Robyns) Verdc.	Vangueriella nigerica	(Robyns) Verdc.	GH	Afram Plains		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1900-03-15T00:00	15	3	1900	2895050	2895050	PRESERVED_SPECIMEN	K	Herbarium	K000412100	710	Verdcourt, B.		CC_BY_4_0		Johnson	Type		2025-04-03T22:42:46.278Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912050671	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/5048.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriopsis nigerica Robyns	Vangueriopsis nigerica	Robyns	NG	Ibadan		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1950-04-15T00:00	15	4	1950	2895051	2895050	PRESERVED_SPECIMEN	K	Spirit	5048.000	1442			CC_BY_4_0		Meikle, R.D.			2025-04-03T22:41:54.157Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
912032124	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/3351.000	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriopsis nigerica Robyns	Vangueriopsis nigerica	Robyns	NG	Ibadan Prov.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1958-04-01T00:00	1	4	1958	2895051	2895050	PRESERVED_SPECIMEN	K	Spirit	3351.000	36920			CC_BY_4_0		Binuyo; Binuyo			2025-04-03T22:41:57.766Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4876299759	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000024945226	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriella nigerica (Robyns) Verdc.	Vangueriella nigerica (Robyns) Verdc.		ZM	Road towards Kasisi Mission, c. 4.5 km from junction with T4 road Dambo, area along river and bordering miombo woodland		PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395	-15.289527	28.677694							2004-04-04	4	4	2004	2895050	2895050	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000024945226	861			CC_BY_4_0	Meise Botanic Garden	Dessein S.			2025-02-06T22:42:33.938Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
4066546184	b2df52a4-6143-46d5-8727-f808d8e25feb	137875-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriopsis nigerica Robyns	Vangueriopsis nigerica Robyns		TG	Près de Melamboua, savane en bordure de l'Anié.		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb									1987-03		3	1987	2895051	2895050	PRESERVED_SPECIMEN	TOGO		TOGO08003		Brunel J.-F.		CC_BY_4_0		Brunel J.-F.			2025-02-06T22:15:45.070Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4066542402	b2df52a4-6143-46d5-8727-f808d8e25feb	4817035-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriella nigerica (Robyns) Verdc.	Vangueriella nigerica (Robyns) Verdc.		BJ	Toui		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	8.71667	2.7							1998-06-09	9	6	1998	2895050	2895050	PRESERVED_SPECIMEN	HNB				Adjakidjè V.		CC_BY_4_0		Adjakidjè V.			2025-02-06T22:15:52.331Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066542112	b2df52a4-6143-46d5-8727-f808d8e25feb	137882-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriopsis nigerica Robyns	Vangueriopsis nigerica Robyns		TG	Akposso		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb									1989-04		4	1989	2895051	2895050	PRESERVED_SPECIMEN	TOGO		TOGO08010		Akpagana		CC_BY_4_0		Akpagana			2025-02-06T22:15:45.139Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4066542110	b2df52a4-6143-46d5-8727-f808d8e25feb	137871-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriopsis nigerica Robyns	Vangueriopsis nigerica Robyns		TG	Kouniohou-Klobè		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb									1984-06		6	1984	2895051	2895050	PRESERVED_SPECIMEN	TOGO		TOGO07999		Brunel J.-F.		CC_BY_4_0		Brunel J.-F.			2025-02-06T22:15:45.119Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4066531801	b2df52a4-6143-46d5-8727-f808d8e25feb	4896588-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriella nigerica (Robyns) Verdc.	Vangueriella nigerica (Robyns) Verdc.		BJ	Tchakalakou, Toukountouna		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	10.53333	1.31667							1999-04-12	12	4	1999	2895050	2895050	PRESERVED_SPECIMEN	HNB		WAG0036696		Dessein S.		CC_BY_4_0		Akoègninou A.			2025-02-06T22:15:52.565Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066528819	b2df52a4-6143-46d5-8727-f808d8e25feb	4896518-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Vangueriella	Vangueriella nigerica		SPECIES	Vangueriella nigerica (Robyns) Verdc.	Vangueriella nigerica (Robyns) Verdc.		BJ	Kika		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	9.26667	2.78333							2000-06-03	3	6	2000	2895050	2895050	PRESERVED_SPECIMEN	HNB		WAG0036727		Dessein S.		CC_BY_4_0		Adjakidjè V.			2025-02-06T22:15:52.563Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
