"species","Year","JulianDay"
"Vangueriella nigerica","1900",74
"Vangueriella nigerica","1950",105
"Vangueriella nigerica","1958",91
"Vangueriella nigerica","2004",95
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica","1998",160
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica","1999",102
"Vangueriella nigerica","2000",155
"Vangueriella nigerica","1999",98
"Vangueriella nigerica","1966",97
"Vangueriella nigerica","1958",140
"Vangueriella nigerica","1984",103
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica","1987",94
"Vangueriella nigerica","1999",123
"Vangueriella nigerica","1972",98
"Vangueriella nigerica","2000",111
"Vangueriella nigerica","1998",163
"Vangueriella nigerica","2000",133
"Vangueriella nigerica","1999",100
"Vangueriella nigerica","1998",134
"Vangueriella nigerica","1998",160
"Vangueriella nigerica","1999",102
"Vangueriella nigerica","1968",76
"Vangueriella nigerica","1968",113
"Vangueriella nigerica","1996",136
"Vangueriella nigerica","1998",163
"Vangueriella nigerica","1962",162
"Vangueriella nigerica","1968",76
"Vangueriella nigerica","1998",134
"Vangueriella nigerica","1968",74
"Vangueriella nigerica","1999",123
"Vangueriella nigerica","1973",134
"Vangueriella nigerica","1998",163
"Vangueriella nigerica","1968",109
"Vangueriella nigerica","1999",100
"Vangueriella nigerica","1978",131
"Vangueriella nigerica","1996",114
"Vangueriella nigerica","1996",136
"Vangueriella nigerica","1962",162
"Vangueriella nigerica","1978",150
"Vangueriella nigerica","1996",136
"Vangueriella nigerica","1999",98
"Vangueriella nigerica","1968",76
"Vangueriella nigerica","1968",109
"Vangueriella nigerica","1996",143
"Vangueriella nigerica","2000",111
"Vangueriella nigerica","1968",113
"Vangueriella nigerica","1958",91
"Vangueriella nigerica","2000",155
"Vangueriella nigerica","2000",133
"Vangueriella nigerica","1958",155
"Vangueriella nigerica","1996",141
"Vangueriella nigerica","1968",115
"Vangueriella nigerica","1958",91
"Vangueriella nigerica","1973",143
"Vangueriella nigerica","1968",115
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica","1953",102
"Vangueriella nigerica","1953",81
"Vangueriella nigerica","1959",107
"Vangueriella nigerica","1964",100
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica",NA,NA
"Vangueriella nigerica","1987",115
"Vangueriella nigerica","1995",115
"Vangueriella nigerica","1996",114
"Vangueriella nigerica","1996",136
"Vangueriella nigerica","1999",98
"Vangueriella nigerica","1999",100
"Vangueriella nigerica","1966",97
"Vangueriella nigerica","1972",98
"Vangueriella nigerica","1958",140
"Vangueriella nigerica","1998",120
"Vangueriella nigerica","1999",98
"Vangueriella nigerica","1998",163
"Vangueriella nigerica","2000",133
"Vangueriella nigerica","1999",123
"Vangueriella nigerica","1996",141
"Vangueriella nigerica","1996",143
"Vangueriella nigerica","1959",86
"Vangueriella nigerica","1996",136
"Vangueriella nigerica","1996",114
"Vangueriella nigerica","1998",160
"Vangueriella nigerica","1950",105
"Vangueriella nigerica","1968",76
"Vangueriella nigerica","1968",109
"Vangueriella nigerica","1982",166
"Vangueriella nigerica","1968",82
"Vangueriella nigerica","1968",115
"Vangueriella nigerica","1968",113
