gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912188836	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000207263	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	Estrada Real, parte mais baixa		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.533333	-41.95							2000-01-01T00:00	1	1	2000	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000207263	1616	Lewis, G.P.		CC_BY_4_0		Giulietti, A.M.; Harley, R.M.			2025-04-03T22:42:24.130Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141259	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092374	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	Trackway from rodovia BR-235 to Curral Novo on route to Fundação Ruralista in SE Piauí.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-9.016667	-41.966667			350.0				1982-01-15T00:00	15	1	1982	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092374	1077	Lewis, G.P.		CC_BY_4_0		Lewis, G.P.; Pearson, H.P.N.			2025-04-03T22:42:15.428Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141258	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092367	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	20km of Camaleão, on the Itiúba-Cansanção road.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-10.666667	-39.55							1974-02-21T00:00	21	2	1974	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092367	16470	Rudd, V.E.		CC_BY_4_0		Harley, R.M.; Renvoize, S.A.; Ersckine, C.M.; Brighton, C.A.; Pinheiro, R.S.			2025-04-03T22:42:15.462Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141257	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092368	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	40km leste da cidade na BA-046.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-12.75	-40.183333							1984-04-22T00:00	22	4	1984	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092368	3164	Lewis, G.P.		CC_BY_4_0		Noblick, L.R.; Pinto, A.; Carvalho, A.			2025-04-03T22:42:15.306Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141245	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092375	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	35km S of Livramento do Brumado on road to Brumado.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.9	-41.716667							1991-04-01T00:00	1	4	1991	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092375	1930	Lewis, G.P.		CC_BY_4_0		Lewis, G.P.; Andrade, S.M.M.			2025-04-03T22:42:16.788Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141239	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092372	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	9km along estrada de terra from Livramento do Brumado to Rio de Contas.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.616667	-41.816667							1991-03-27T00:00	27	3	1991	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092372	1904	Lewis, G.P.		CC_BY_4_0		Lewis, G.P.; Andrade, S.M.M.			2025-04-03T22:42:15.246Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141225	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092371	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	10km S of Livramento do Brumado on road to Brumado.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.716667	-41.833333							1991-03-25T00:00	25	3	1991	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092371	1872	Lewis, G.P.		CC_BY_4_0		Lewis, G.P.; Andrade, S.M.M.			2025-04-03T22:42:15.431Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141218	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092369	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	On road to Abaíra ca. 8km to N of the town of Rio de Contas.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.55	-41.783333			1000.0				1974-01-18T00:00	18	1	1974	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092369	15245	Rudd, V.E.		CC_BY_4_0		Harley, R.M.; Renvoize, S.A.; Ersckine, C.M.; Brighton, C.A.; Pinheiro, R.S.			2025-04-03T22:42:15.698Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141216	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092362	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	Fazenda Lagoa do Porco.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1973-04-09T00:00	9	4	1973	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092362	13109	Lewis, G.P.		CC_BY_4_0		Lima, D.P.	Type		2025-04-03T22:42:15.431Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912141215	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000092373	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ctenodon	Ctenodon martii		SPECIES	Aeschynomene martii Benth.	Aeschynomene martii	Benth.	BR	Trackway from rodovia BR-235 to Curral Novo on route to Fundação Ruralista in SE Piauí.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-9.016667	-41.966667			350.0				1982-01-15T00:00	15	1	1982	2949313	10937318	PRESERVED_SPECIMEN	K	Herbarium	K000092373	1077	Lewis, G.P.		CC_BY_4_0		Lewis, G.P.; Pearson, H.P.N.			2025-04-03T22:42:15.545Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
