"species","Year","JulianDay"
"Ctenodon martii","2000",1
"Ctenodon martii","1982",15
"Ctenodon martii","1974",52
"Ctenodon martii","1984",113
"Ctenodon martii","1991",91
"Ctenodon martii","1991",86
"Ctenodon martii","1991",84
"Ctenodon martii","1974",18
"Ctenodon martii","1973",99
"Ctenodon martii","1982",15
"Ctenodon martii","1906",1
"Ctenodon martii","1994",72
"Ctenodon martii","2004",63
"Ctenodon martii","2018",88
"Ctenodon martii","2018",51
"Ctenodon martii","2018",44
"Ctenodon martii","2018",46
"Ctenodon martii","2011",65
"Ctenodon martii","2001",117
"Ctenodon martii","2018",51
"Ctenodon martii","2018",88
"Ctenodon martii","2005",30
"Ctenodon martii","1994",72
"Ctenodon martii","2004",35
"Ctenodon martii","1996",77
"Ctenodon martii","2005",30
"Ctenodon martii","1997",37
"Ctenodon martii","1997",57
"Ctenodon martii","1984",80
"Ctenodon martii","2018",23
"Ctenodon martii","1971",115
"Ctenodon martii","2008",61
"Ctenodon martii","2005",85
"Ctenodon martii","1984",82
"Ctenodon martii","1972",18
"Ctenodon martii","1974",52
"Ctenodon martii","2017",100
"Ctenodon martii","1991",86
"Ctenodon martii","1991",91
"Ctenodon martii","1994",20
"Ctenodon martii","1994",72
"Ctenodon martii","1984",82
"Ctenodon martii","1984",80
"Ctenodon martii","1984",89
"Ctenodon martii","2017",64
"Ctenodon martii","2000",1
"Ctenodon martii","2006",67
"Ctenodon martii","1997",57
"Ctenodon martii","2004",53
"Ctenodon martii","1974",52
"Ctenodon martii","1982",15
"Ctenodon martii","1991",91
"Ctenodon martii","1997",67
"Ctenodon martii","1997",37
"Ctenodon martii","1994",72
"Ctenodon martii","2000",86
"Ctenodon martii","1994",20
"Ctenodon martii","1996",77
"Ctenodon martii","1968",19
"Ctenodon martii","1994",68
"Ctenodon martii","1991",84
"Ctenodon martii","1994",20
"Ctenodon martii","1972",18
"Ctenodon martii","1991",86
"Ctenodon martii","1994",72
"Ctenodon martii","1972",18
"Ctenodon martii","1974",52
"Ctenodon martii","1984",89
"Ctenodon martii","1984",80
"Ctenodon martii","1984",80
"Ctenodon martii","2000",33
"Ctenodon martii","2004",94
"Ctenodon martii","2005",85
"Ctenodon martii","2005",30
"Ctenodon martii","1994",72
"Ctenodon martii","1994",41
"Ctenodon martii","2004",35
"Ctenodon martii","1991",91
"Ctenodon martii","1974",52
"Ctenodon martii","1991",84
"Ctenodon martii","1984",82
"Ctenodon martii","1974",52
"Ctenodon martii","1994",72
"Ctenodon martii","2004",35
"Ctenodon martii","1994",41
"Ctenodon martii","2019",106
"Ctenodon martii","2019",106
"Ctenodon martii","2006",67
"Ctenodon martii","2018",88
"Ctenodon martii","2018",88
"Ctenodon martii","2018",51
"Ctenodon martii","2018",51
"Ctenodon martii","2018",44
"Ctenodon martii","2018",46
"Ctenodon martii","2017",100
"Ctenodon martii","2000",86
"Ctenodon martii","1997",37
"Ctenodon martii","1994",20
"Ctenodon martii","1996",77
"Ctenodon martii","1994",68
"Ctenodon martii","1997",67
"Ctenodon martii","1994",72
"Ctenodon martii","1991",86
"Ctenodon martii","1982",15
"Ctenodon martii","1968",19
"Ctenodon martii","1994",72
"Ctenodon martii","1991",84
"Ctenodon martii","1974",52
"Ctenodon martii","1972",18
"Ctenodon martii","1994",20
"Ctenodon martii","1991",91
"Ctenodon martii","2017",104
"Ctenodon martii","2017",64
"Ctenodon martii","1974",52
"Ctenodon martii","2017",21
"Ctenodon martii","1991",84
"Ctenodon martii","1982",15
"Ctenodon martii","1974",52
"Ctenodon martii","1978",96
"Ctenodon martii","1984",80
"Ctenodon martii","1971",115
