gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912359404	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000427477	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi	W.R.Anderson & B.Gates	BR	Serra do Curral Feio 3 km. N.W. of Lagoinha (5.5 km. S.W. of Delfino) on the side road to Minas do Mimoso.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-10.45	-41.266667			640.0				1974-03-05T00:00	5	3	1974	3984448	3984448	PRESERVED_SPECIMEN	K	Herbarium	K000427477	16750			CC_BY_4_0		Harley, R.M.; Renvoize, S.A.; Erskine, C.M.; Brighton, C.A.; Pinheiro, R.	Isotype		2025-04-03T22:45:15.909Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LATITUDE;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912359392	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000427476	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi	W.R.Anderson & B.Gates	BR	Serra do Curral Feio 3 km. N.W. of Lagoinha (5.5 km. S.W. of Delfino) on the side road to Minas do Mimoso.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-10.45	-41.266667			640.0				1974-03-05T00:00	5	3	1974	3984448	3984448	PRESERVED_SPECIMEN	K	Herbarium	K000427476	16750			CC_BY_4_0		Harley, R.M.; Renvoize, S.A.; Erskine, C.M.; Brighton, C.A.; Pinheiro, R.	Type		2025-04-03T22:42:46.402Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LATITUDE;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5003488512	907f9a33-e480-476e-a9f3-0b1f2831abe4	urn:catalog:HACAM:4675	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Serra das Umburanas. Savana Estépica; Planossolo Háplico Eutrófico; Caatinga.	Pernambuco	PRESENT		6eaf86d8-0d50-492e-9f04-f5b46320d47e	-8.4025	-37.200278			721.0				2019-05-30	30	5	2019	3984448	3984448	PRESERVED_SPECIMEN	HACAM	HACAM	HACAM00004675	322	Fontana, A.P.		CC_BY_4_0	HERBÁRIO MANUEL DE ARRUDA CÂMARA	Santos, J.M.; Souza, P.R.A. de			2025-04-01T12:06:25.252Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE
4999858015	67f33aea-2c4b-475b-b243-91ca1b9dd29a	6474301	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Piemonte da Diamantina, 3 Km NW of Lagoinha (5,5 Km of Delfino) on the side road to Minas do Mimoso. Cut over woodland, and by cultivation near river	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-10.333333	-41.333333			320.0	320.0			1974-05-05	5	5	1974	3984448	3984448	PRESERVED_SPECIMEN	ALCB	ALCB	ALCB00000102	16750	Anderson, WR; Gotes		CC_BY_4_0	ALCB	Harley, RM	Isotype		2025-04-01T12:06:20.682Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4999662062	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6613836	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Serra do Piriquito	Pernambuco	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-8.623333	-37.621667			857.0	0.0			2019-05-30	30	5	2019	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00238187	599	D.P.Souza		CC_BY_4_0	HUEFS	Souza, D.P.			2025-04-01T12:17:47.948Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4999654436	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6613967	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Serra das Umburanas	Pernambuco	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-8.619167	-37.616944			721.0	0.0			2019-05-30	30	5	2019	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00238327	322	A.P.Fontana		CC_BY_4_0	HUEFS	Santos, J.M.			2025-04-01T12:17:47.955Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4955409611	330d773a-abe3-4234-b423-129dc4d00963	https://specieslink.net/guid/229/39218	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi	W.R.Anderson & B.Gates	BR	Morro do Agenor, Mata da base do Inselberf. Coord.: lat.:12º43'S; Lon.:39º42'W; Alt.: 280m.	Bahia	PRESENT		303e2432-448c-41ec-be2b-020a25c7adc4									1996-03-31	31	3	1996	3984448	3984448	PRESERVED_SPECIMEN	UFJF	CESJ	39218	1544			CC_BY_4_0	Herbário Leopoldo Krieger	E. Melo		native	2025-03-20T22:47:59.335Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4955333481	cbf8c968-37d6-45be-bf5c-e22914a384dc	https://specieslink.net/guid/8/098760	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi		BR		Bahia	PRESENT		a88bec5c-1cbf-47a2-8c3e-6081804d80a5									2006-04-08	8	4	2006	3984448	3984448	PRESERVED_SPECIMEN	ESALQ	ESA	098760	4343	Carvalho, P.D.	2006-01-06T00:00:00	CC_BY_4_0	Herbário da Escola Superior de Agricultura Luiz de Queiroz	Melo, E.		native	2025-03-13T22:31:41.773Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
4955275133	cbf8c968-37d6-45be-bf5c-e22914a384dc	https://specieslink.net/guid/8/081359	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi	W.Anderson & B.Gates	BR		Bahia	PRESENT		a88bec5c-1cbf-47a2-8c3e-6081804d80a5									2001-03-02	2	3	2001	3984448	3984448	PRESERVED_SPECIMEN	ESALQ	ESA	081359	132			CC_BY_4_0	Herbário da Escola Superior de Agricultura Luiz de Queiroz	Ribeiro Filho, A.A. et al.		native	2025-03-13T22:31:41.714Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
4955234466	cbf8c968-37d6-45be-bf5c-e22914a384dc	https://specieslink.net/guid/8/098736	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi		BR		Bahia	PRESENT		a88bec5c-1cbf-47a2-8c3e-6081804d80a5									2006-04		4	2006	3984448	3984448	PRESERVED_SPECIMEN	ESALQ	ESA	098736	298	Carvalho, P.D.	2006-01-07T00:00:00	CC_BY_4_0	Herbário da Escola Superior de Agricultura Luiz de Queiroz	Carvalho, P.D.		native	2025-03-13T22:31:41.774Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
4950913852	f45c5ee0-e5ec-42e3-a80a-07318144efa4	https://specieslink.net/guid/148/77363	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi	W.R. Anderson & B. Gates	BR	Dois Irmãos	Pernambuco	PRESENT		202d5f34-ff58-4ad7-964f-c947ce18078e									2005-05		5	2005	3984448	3984448	PRESERVED_SPECIMEN	IPA	IPA	77363	s.n.	Cano, O.	2005-05-01T00:00:00	CC_BY_4_0	Herbário - IPA Dárdano de Andrade Lima	Renata Janaína		native	2025-04-03T18:58:01.660Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4900624023	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6393307	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	3 km N.W. of Lagoinha (5.5 km S.W. of Delfino), on the side road to Minas do Mimoso.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-10.266667	-41.266667			640.0	0.0			1974-03-05	5	3	1974	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00031498	16750	R.M.Harley	1974-01-01T00:00:00	CC_BY_4_0	HUEFS	Harley, R.M.	Isotype		2025-04-01T12:17:42.745Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4900590502	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6379233	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Morro do Agenor	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-12.7	-39.7			280.0	0.0			1996-03-31	31	3	1996	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00022656	1544	A.Amorim		CC_BY_4_0	HUEFS	Melo, E.			2025-04-01T12:17:40.503Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4900586537	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6379055	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Morro das Tocas.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-12.7	-39.7			330.0	30.0			1996-03-30	30	3	1996	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00022629	1518	A.Amorim		CC_BY_4_0	HUEFS	Melo, E.			2025-04-01T12:17:40.850Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4900570812	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6387992	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Serra do Monre Santo. Adutora da Compesa. Residência do Sr. João Bosco-SP1.	Pernambuco	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-8.224722	-39.226111			644.0	0.0			2014-04-09	9	4	2014	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00248717	7968	A.P.Fontana		CC_BY_4_0	HUEFS	Fontana, A.P.			2025-04-01T12:17:42.264Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4900557294	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6404252	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Fazenda Xingó, perto de Xingozinho, 3 Km da divisa com a Bahia.	Sergipe	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-9.03	-38.0175							2001-04-25	25	4	2001	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00052986	54284	R.M.Harley		CC_BY_4_0	HUEFS	Harley, R.M.			2025-04-01T12:17:43.602Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4900553510	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6382465	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Barnebya	Barnebya harleyi		SPECIES	Barnebya harleyi W.R.Anderson & B.Gates	Barnebya harleyi W.R.Anderson & B.Gates	W.R.Anderson & B.Gates	BR	Road Palmeiras - Guine	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-12.960833	-41.95			763.0	0.0			2017-03-11	11	3	2017	3984448	3984448	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00235422	2129	P.W.Moonlight		CC_BY_4_0	HUEFS	Pennington, R.T.			2025-04-01T12:17:41.192Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
