"species","Year","JulianDay"
"Bougainvillea modesta","1897",244
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1994",222
"Bougainvillea modesta","1921",219
"Bougainvillea modesta","1991",216
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","1986",253
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","2005",272
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","2004",246
"Bougainvillea modesta","1976",240
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","2005",272
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1987",247
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","1986",253
"Bougainvillea modesta","1976",240
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","2005",272
"Bougainvillea modesta","2004",246
"Bougainvillea modesta","1986",257
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","2009",269
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1987",247
"Bougainvillea modesta","1986",253
"Bougainvillea modesta","1999",262
"Bougainvillea modesta","1976",240
"Bougainvillea modesta",NA,NA
"Bougainvillea modesta","1947",245
"Bougainvillea modesta","1990",248
"Bougainvillea modesta","1976",240
"Bougainvillea modesta",NA,NA
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","1990",248
"Bougainvillea modesta","2006",260
"Bougainvillea modesta","2005",272
"Bougainvillea modesta","1894",236
"Bougainvillea modesta","2004",246
"Bougainvillea modesta","1987",247
"Bougainvillea modesta","1986",257
"Bougainvillea modesta","1986",253
"Bougainvillea modesta","1999",262
"Bougainvillea modesta","1998",233
"Bougainvillea modesta","1995",253
"Bougainvillea modesta","2009",269
"Bougainvillea modesta","2010",239
