"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,
"912462867	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000572698	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata	Griseb.	AR	Merlo		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1944-01-28T00:00	28	1	1944	7327271	7327271	PRESERVED_SPECIMEN	K	Herbarium	K000572698	13946			CC_BY_4_0		Burkart"," A			2025-01-23T23:10:23.444Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,
"912462847	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000572697	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata	Griseb.	AR	Capital"," San Bernardo		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					1400.0				1946-12-04T00:00	4	12	1946	7327271	7327271	PRESERVED_SPECIMEN	K	Herbarium	K000572697	1149			CC_BY_4_0		Sparre"," B.			2025-01-23T23:10:19.011Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,
"912462677	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000572690	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata	grisebachiana	VARIETY	Bougainvillea stipitata var. grisebachiana Heimerl	Bougainvillea stipitata var. grisebachiana	Heimerl	AR	Fuerta de Andalgala; Prov de Catamarca.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1877-01-01T00:00	1	1	1877	5553550	7327271	PRESERVED_SPECIMEN	K	Herbarium	K000572690	29	Heimerl		CC_BY_4_0		Schickendantz"," F.			2025-01-23T23:08:24.461Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,
"912462646	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000572705	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata	Griseb.	BO	Cochabamba		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1891-01-01T00:00	1	1	1891	7327271	7327271	PRESERVED_SPECIMEN	K	Herbarium	K000572705	1123			CC_BY_4_0		Bang"," M.			2025-01-23T23:10:19.011Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,
"912462538	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000572701	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata	Griseb.	AR	Prov. CÃ³rdoba		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1876-01-29T00:00	29	1	1876	7327271	7327271	PRESERVED_SPECIMEN	K	Herbarium	K000572701	357			CC_BY_4_0		Hieronymus			2025-01-23T23:08:23.569Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,,
"864884530	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100248495	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata Griseb.		AR	Argentina: Prov. de Catamarca; Fuerte de AndalgalÃ¡. 12.1874"," Leg.: F. Schickendantz 30. ex herb. / ded. : Herbarium Hieronymus.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862									1874-12		12	1874	7327271	7327271	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0248495	30			CC0_1_0		Schickendantz","F.	TYPE		2025-01-21T08:45:48.653Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY",,,,,,
"667622264	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p04999842	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata Griseb.	Griseb.	AR		CÃ³rdoba	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	-31.45174	-64.15794							1974-12-01	1	12	1974	7327271	7327271	PRESERVED_SPECIMEN	MNHN	P	P04999842				CC_BY_4_0		Tirel"," C.			2025-01-29T13:11:20.676Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES",,,,,,,
"574822741	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00268783	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata Griseb.		CV	Bolivia:Santa Cruz:Valle Grande:On road from Pucara to bridge over Rio Grande"," c. 14 km S of Pucara	Santa Cruz	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	-18.690833	-64.26			2000.0	0.0			1999-03-31	31	3	1999	7327271	7327271	PRESERVED_SPECIMEN	RBGE	E	E00268783	697			CC0	Royal Botanic Garden Edinburgh	Pendry", Colin A. & Pennington," Richard Toby			2025-01-22T01:52:43.170Z	InteractiveResource;StillImage	COUNTRY_COORDINATE_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES",,,,,
"5029332701	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B101271541	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata Griseb.		BO	Depto. Potosi", Prov. Cornelio Saavedra, quebrada con cactus, columnares," pasando Retiro.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862					2600.0				1993-03-30	30	3	1993	7327271	7327271	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 1271541	293	S. Torrico 1993		CC0_1_0		Torrico",G., Beck,S.G. & Peca,"C.			2025-01-21T08:46:27.318Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY"
"4955390409	cbf8c968-37d6-45be-bf5c-e22914a384dc	https://specieslink.net/guid/8/056434	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea stipitata		SPECIES	Bougainvillea stipitata Griseb.	Bougainvillea stipitata	Griseb.	AR	Ruta 68"," prÃ³ximo Ã  divisa com o Depto. La ViÃ±a. Chaco Ãºmido	Salta	PRESENT		a88bec5c-1cbf-47a2-8c3e-6081804d80a5					1300.0	0.0			2007-01-25	25	1	2007	7327271	7327271	PRESERVED_SPECIMEN	ESALQ	ESA	056434	7776	Paula-Souza"," J.	2007-01-30T00:00:00	CC_BY_4_0	HerbÃ¡rio da Escola Superior de Agricultura Luiz de Queiroz	Paula-Souza", J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres," E.I.			2025-01-19T16:44:00.667Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,
