gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912635729	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000841424	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BR	Close to the limestone workings of the Pedreira de Xavier.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-19.016667	-57.65							1987-11-22T00:00	22	11	1987	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000841424	6076	Ulibarri, E.A.		CC_BY_4_0		Ratter, J.A.; Pott, A.			2025-04-03T22:43:16.032Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561954	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724292	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	AR	Camino al dique Itiyuro, desde la ruta 34		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1994-11-24T00:00	24	11	1994	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724292	46339	Vanni, R.		CC_BY_4_0		Krapovickas, A.; Cristóbal, C.L.			2025-04-03T22:43:09.936Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561932	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724291	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	AR	Tartagal		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1945-10-15T00:00	15	10	1945	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724291	2807	Lewis, G.P.		CC_BY_4_0		Di Lella, E.; García, R.			2025-04-03T22:43:09.879Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561831	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724123	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	2 km SW of Buenta Vista on road to El Cairo.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.466667	-63.683333			360.0				1990-12-08T00:00	8	12	1990	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724123	40266	Lewis, G.P.		CC_BY_4_0		Nee, M.			2025-04-03T22:45:22.122Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561825	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724122	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	3 km NW of centre of Cotoca, at bridge over Arroyo Calleja, now with no running water, only stagnant pools.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.733333	-63.008333			375.0				1989-12-21T00:00	21	12	1989	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724122	38223	Lewis, G.P.		CC_BY_4_0		Nee, M.			2025-04-03T22:45:23.928Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561800	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724109	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	12 km E of centre of Santa Cruz on road to Cotoca.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.766667	-63.066667			375.0				1988-12-05T00:00	5	12	1988	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724109	37023	Lewis, G.P.		CC_BY_4_0		Nee, M.			2025-04-03T22:43:09.794Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561797	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724114	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	12 km SE of Comunidad Don Lorenzo, Estancia Caracore, 0.5 km W of the Rio Grande (= Rio Guapai).		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.85	-62.783333			300.0				1990-11-17T00:00	17	11	1990	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724114	39998	Lewis, G.P.		CC_BY_4_0		Nee, M.; Coimbra S., G.			2025-04-03T22:45:22.122Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561794	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724124	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	1km E of San Javier.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-16.275	-62.5			525.0				1990-11-30T00:00	30	11	1990	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724124	40095	Lewis, G.P.		CC_BY_4_0		Nee, M.; Coimbra S., G.			2025-04-03T22:43:09.855Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561788	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724111	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	Canton Cotoca. Jardin Botanico de Santa Cruz.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					375.0				1988-12-15T00:00	15	12	1988	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724111	202	Lewis, G.P.		CC_BY_4_0		Roca, Y.			2025-04-03T22:45:22.598Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912561786	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000724132	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cenostigma	Cenostigma pluviosum		SPECIES	Caesalpinia pluviosa DC.	Caesalpinia pluviosa	DC.	BO	2 km W of Agua Calientes, Los Hervores.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-18.45	-59.533333			225.0				1989-11-23T00:00	23	11	1989	2958602	9416767	PRESERVED_SPECIMEN	K	Herbarium	K000724132	37858	Lewis, G.P.		CC_BY_4_0		Nee, M.			2025-04-03T22:45:22.123Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
