"species","Year","JulianDay"
"Cenostigma pluviosum","1987",326
"Cenostigma pluviosum","1994",328
"Cenostigma pluviosum","1945",288
"Cenostigma pluviosum","1990",342
"Cenostigma pluviosum","1989",355
"Cenostigma pluviosum","1988",340
"Cenostigma pluviosum","1990",321
"Cenostigma pluviosum","1990",334
"Cenostigma pluviosum","1988",350
"Cenostigma pluviosum","1989",327
"Cenostigma pluviosum","1990",321
"Cenostigma pluviosum","1988",322
"Cenostigma pluviosum","1990",328
"Cenostigma pluviosum","2000",313
"Cenostigma pluviosum","1924",326
"Cenostigma pluviosum","1987",335
"Cenostigma pluviosum","1997",24
"Cenostigma pluviosum","1994",323
"Cenostigma pluviosum","1976",317
"Cenostigma pluviosum","1990",334
"Cenostigma pluviosum","1991",351
"Cenostigma pluviosum","1994",345
"Cenostigma pluviosum","1995",30
"Cenostigma pluviosum","1998",13
"Cenostigma pluviosum","1991",348
"Cenostigma pluviosum","1994",283
"Cenostigma pluviosum","2007",293
"Cenostigma pluviosum","1994",353
"Cenostigma pluviosum","1994",343
"Cenostigma pluviosum","1999",310
"Cenostigma pluviosum","2007",284
"Cenostigma pluviosum","1994",348
"Cenostigma pluviosum","2002",362
"Cenostigma pluviosum","1993",13
"Cenostigma pluviosum","1995",18
"Cenostigma pluviosum","2002",362
"Cenostigma pluviosum","1994",353
"Cenostigma pluviosum","2003",324
"Cenostigma pluviosum","2003",324
"Cenostigma pluviosum","1994",21
"Cenostigma pluviosum","2009",333
"Cenostigma pluviosum","1994",284
"Cenostigma pluviosum","2002",319
"Cenostigma pluviosum","2001",25
"Cenostigma pluviosum","1902",354
"Cenostigma pluviosum","1967",22
"Cenostigma pluviosum","1940",1
"Cenostigma pluviosum","1964",328
"Cenostigma pluviosum","1992",318
"Cenostigma pluviosum","1992",318
"Cenostigma pluviosum","1992",319
"Cenostigma pluviosum","1908",1
"Cenostigma pluviosum","1987",326
"Cenostigma pluviosum","1908",1
"Cenostigma pluviosum","1837",1
"Cenostigma pluviosum","1985",282
"Cenostigma pluviosum","1990",328
"Cenostigma pluviosum","1999",22
"Cenostigma pluviosum","2024",309
"Cenostigma pluviosum","2012",17
"Cenostigma pluviosum","2008",276
"Cenostigma pluviosum","2008",318
"Cenostigma pluviosum","2009",281
"Cenostigma pluviosum","1982",8
"Cenostigma pluviosum","2007",288
"Cenostigma pluviosum","2007",350
"Cenostigma pluviosum","2001",329
"Cenostigma pluviosum","2003",360
"Cenostigma pluviosum","1982",8
"Cenostigma pluviosum","2008",306
"Cenostigma pluviosum","2004",18
"Cenostigma pluviosum","1999",334
"Cenostigma pluviosum","1999",342
"Cenostigma pluviosum","1999",336
"Cenostigma pluviosum","1995",30
"Cenostigma pluviosum","2003",360
"Cenostigma pluviosum","2001",315
"Cenostigma pluviosum","1999",305
"Cenostigma pluviosum","1994",348
"Cenostigma pluviosum","1998",25
"Cenostigma pluviosum","2010",333
"Cenostigma pluviosum","2010",332
"Cenostigma pluviosum","2021",11
"Cenostigma pluviosum","1987",326
"Cenostigma pluviosum","2002",334
"Cenostigma pluviosum","1996",323
"Cenostigma pluviosum","2000",314
"Cenostigma pluviosum","1998",297
"Cenostigma pluviosum","2002",334
"Cenostigma pluviosum","2008",299
"Cenostigma pluviosum",NA,NA
"Cenostigma pluviosum","1924",326
"Cenostigma pluviosum","1940",1
"Cenostigma pluviosum","1990",328
"Cenostigma pluviosum","2007",337
"Cenostigma pluviosum","2005",343
"Cenostigma pluviosum","1981",329
"Cenostigma pluviosum","2018",353
"Cenostigma pluviosum","2009",283
"Cenostigma pluviosum","2012",17
"Cenostigma pluviosum","2011",365
"Cenostigma pluviosum","2008",299
"Cenostigma pluviosum","2005",19
"Cenostigma pluviosum","1998",297
"Cenostigma pluviosum","2002",334
"Cenostigma pluviosum","1902",354
"Cenostigma pluviosum","2015",21
"Cenostigma pluviosum","2009",281
"Cenostigma pluviosum","1994",341
"Cenostigma pluviosum","2009",328
"Cenostigma pluviosum","2011",6
"Cenostigma pluviosum","2011",6
"Cenostigma pluviosum","2000",314
"Cenostigma pluviosum","1996",323
"Cenostigma pluviosum","1977",315
"Cenostigma pluviosum","1995",30
"Cenostigma pluviosum","2007",288
"Cenostigma pluviosum","2007",350
"Cenostigma pluviosum","2003",360
"Cenostigma pluviosum","1985",327
"Cenostigma pluviosum","1976",317
"Cenostigma pluviosum","1994",345
"Cenostigma pluviosum","2001",320
"Cenostigma pluviosum","2001",329
"Cenostigma pluviosum","2001",315
"Cenostigma pluviosum","1999",342
"Cenostigma pluviosum","1996",347
"Cenostigma pluviosum","1998",25
"Cenostigma pluviosum","1982",8
"Cenostigma pluviosum","1999",305
"Cenostigma pluviosum","1999",336
"Cenostigma pluviosum","1999",334
"Cenostigma pluviosum","1994",348
"Cenostigma pluviosum","1998",25
"Cenostigma pluviosum","2004",18
"Cenostigma pluviosum","2008",306
"Cenostigma pluviosum","1924",332
"Cenostigma pluviosum","1992",318
"Cenostigma pluviosum","1994",284
"Cenostigma pluviosum","1940",306
"Cenostigma pluviosum","1902",354
"Cenostigma pluviosum","1992",346
"Cenostigma pluviosum",NA,NA
"Cenostigma pluviosum","1959",4
"Cenostigma pluviosum","1940",306
"Cenostigma pluviosum","2002",334
"Cenostigma pluviosum","1992",318
"Cenostigma pluviosum","2001",16
"Cenostigma pluviosum","1999",277
"Cenostigma pluviosum","1992",318
