"species","Year","JulianDay"
"Ceiba erianthos","1861",186
"Ceiba erianthos","1893",132
"Ceiba erianthos","1869",129
"Ceiba erianthos","1832",153
"Ceiba erianthos","1832",153
"Ceiba erianthos","1993",135
"Ceiba erianthos","2015",131
"Ceiba erianthos","1992",189
"Ceiba erianthos","1993",135
"Ceiba erianthos","1995",171
"Ceiba erianthos","2005",173
"Ceiba erianthos","2024",202
"Ceiba erianthos","2019",131
"Ceiba erianthos","2021",167
"Ceiba erianthos","2021",202
"Ceiba erianthos","2022",165
"Ceiba erianthos","2005",173
"Ceiba erianthos","2022",233
"Ceiba erianthos","2023",152
"Ceiba erianthos","2023",121
"Ceiba erianthos","2022",233
"Ceiba erianthos","1996",236
"Ceiba erianthos","1994",169
"Ceiba erianthos","2000",166
"Ceiba erianthos","2000",136
"Ceiba erianthos","1990",159
"Ceiba erianthos","1989",208
"Ceiba erianthos","1989",208
"Ceiba erianthos","1984",133
"Ceiba erianthos","2022",162
"Ceiba erianthos","2005",173
"Ceiba erianthos","2012",140
"Ceiba erianthos","2007",193
"Ceiba erianthos","2016",166
"Ceiba erianthos","1992",220
"Ceiba erianthos","1997",222
"Ceiba erianthos","2017",169
"Ceiba erianthos","2000",166
"Ceiba erianthos","1996",244
"Ceiba erianthos","1996",181
"Ceiba erianthos","2010",232
"Ceiba erianthos","2010",233
"Ceiba erianthos","2011",140
"Ceiba erianthos","2018",198
"Ceiba erianthos","2018",198
"Ceiba erianthos","1991",210
"Ceiba erianthos","1984",126
"Ceiba erianthos","2022",162
"Ceiba erianthos","2017",214
"Ceiba erianthos","2022",233
"Ceiba erianthos","2022",134
"Ceiba erianthos","2007",193
"Ceiba erianthos","2022",145
"Ceiba erianthos","1993",135
"Ceiba erianthos","1997",222
"Ceiba erianthos","2002",166
"Ceiba erianthos","2011",149
"Ceiba erianthos","2011",140
"Ceiba erianthos","2012",182
"Ceiba erianthos","2011",197
"Ceiba erianthos","2011",169
"Ceiba erianthos","2011",140
"Ceiba erianthos","2000",136
"Ceiba erianthos","2000",166
"Ceiba erianthos","2017",207
"Ceiba erianthos","2000",136
"Ceiba erianthos","2005",171
"Ceiba erianthos","2015",131
"Ceiba erianthos","2011",140
"Ceiba erianthos","2011",140
"Ceiba erianthos","2009",157
"Ceiba erianthos","2012",209
"Ceiba erianthos","2011",197
"Ceiba erianthos","2011",140
"Ceiba erianthos","2007",188
"Ceiba erianthos","2003",177
"Ceiba erianthos","2017",207
"Ceiba erianthos","2017",185
"Ceiba erianthos","2012",140
"Ceiba erianthos","2011",167
"Ceiba erianthos","2006",138
"Ceiba erianthos","2017",185
"Ceiba erianthos","2011",135
"Ceiba erianthos","1996",181
"Ceiba erianthos","2011",167
"Ceiba erianthos","2011",168
"Ceiba erianthos","2011",167
"Ceiba erianthos","1996",244
"Ceiba erianthos","1996",181
"Ceiba erianthos",NA,NA
"Ceiba erianthos","1992",220
"Ceiba erianthos","2007",193
"Ceiba erianthos","2010",169
"Ceiba erianthos","2015",152
"Ceiba erianthos","2007",172
"Ceiba erianthos","2015",131
"Ceiba erianthos","1992",189
"Ceiba erianthos","1993",135
"Ceiba erianthos","1986",220
"Ceiba erianthos","2007",150
"Ceiba erianthos","1968",182
"Ceiba erianthos","2003",177
"Ceiba erianthos","1968",182
"Ceiba erianthos","1982",194
"Ceiba erianthos","1971",189
"Ceiba erianthos","1995",190
"Ceiba erianthos","1968",191
"Ceiba erianthos","1968",191
"Ceiba erianthos","1968",182
"Ceiba erianthos","1988",208
"Ceiba erianthos","1861",186
"Ceiba erianthos","1893",132
"Ceiba erianthos","1869",129
"Ceiba erianthos","1832",153
"Ceiba erianthos","1984",180
"Ceiba erianthos","2014",194
"Ceiba erianthos","2003",169
"Ceiba erianthos","2013",167
"Ceiba erianthos","2016",142
"Ceiba erianthos","2015",169
"Ceiba erianthos","2016",208
"Ceiba erianthos","2003",177
"Ceiba erianthos","1961",147
"Ceiba erianthos","1966",220
"Ceiba erianthos","1988",126
"Ceiba erianthos","2008",198
"Ceiba erianthos","2006",138
"Ceiba erianthos","2006",180
"Ceiba erianthos","1988",145
"Ceiba erianthos","1999",132
"Ceiba erianthos","2007",163
"Ceiba erianthos","2007",149
"Ceiba erianthos","2003",177
"Ceiba erianthos",NA,NA
"Ceiba erianthos","1990",218
"Ceiba erianthos","1989",208
"Ceiba erianthos","1989",208
"Ceiba erianthos","2000",136
"Ceiba erianthos","1968",191
"Ceiba erianthos","1960",159
"Ceiba erianthos","2007",188
"Ceiba erianthos","1988",126
"Ceiba erianthos","2016",159
"Ceiba erianthos","1986",134
"Ceiba erianthos","2017",214
"Ceiba erianthos","1990",159
"Ceiba erianthos","2000",166
"Ceiba erianthos","1993",135
"Ceiba erianthos","1990",137
"Ceiba erianthos","2019",237
"Ceiba erianthos","2015",210
"Ceiba erianthos","2015",210
"Ceiba erianthos","2019",198
"Ceiba erianthos","2007",188
"Ceiba erianthos","1999",140
"Ceiba erianthos","1986",220
"Ceiba erianthos","2003",177
"Ceiba erianthos","2018",198
"Ceiba erianthos","1972",189
"Ceiba erianthos","1968",191
"Ceiba erianthos","2012",125
"Ceiba erianthos","1968",182
"Ceiba erianthos","1968",191
"Ceiba erianthos",NA,NA
"Ceiba erianthos","1974",123
