"species","Year","JulianDay"
"Ceiba jasminodora","2004",159
"Ceiba jasminodora","2004",159
"Ceiba jasminodora","2004",159
"Ceiba jasminodora","2010",172
"Ceiba jasminodora","1990",168
"Ceiba jasminodora","1990",165
"Ceiba jasminodora","2000",170
"Ceiba jasminodora","1990",165
"Ceiba jasminodora","2019",169
"Ceiba jasminodora","2017",157
"Ceiba jasminodora","1990",168
"Ceiba jasminodora","1985",155
"Ceiba jasminodora","2002",171
"Ceiba jasminodora","2016",166
"Ceiba jasminodora","2015",174
"Ceiba jasminodora",NA,NA
"Ceiba jasminodora","1967",154
"Ceiba jasminodora","2000",170
"Ceiba jasminodora","1990",168
"Ceiba jasminodora","1990",165
"Ceiba jasminodora","2003",177
"Ceiba jasminodora","2002",171
"Ceiba jasminodora","2010",172
"Ceiba jasminodora","1985",155
"Ceiba jasminodora","2008",171
"Ceiba jasminodora","2008",179
"Ceiba jasminodora","2008",173
