"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,
"4174641959	80b401aa-f762-11e1-a439-00145eb45e9a	a630f2f4b2b4aee305bccad500de414e	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii	Britten & Baker f."," 1896	MX	Pomuch	Campeche	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	20.141667	-90.175	80.0		0.0	0.0	0.0	0.0	1985-07-26	26	7	1985	8151353	8151353	PRESERVED_SPECIMEN	CCBA-FMVZ-UADY	UADY	4381		J.C. Trejo		CC_BY_4_0	ComisiÃ³n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	C. Chan			2024-04-11T19:51:24.342Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE",,,
"4168555787	dedb8f2b-4641-44f2-bafb-057f9fe70ce0	9c7de54028cddc6b734e7b603acf0a58	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii	Britten & Baker f."," 1896	MX	ChampotÃ³n", Campeche - km 7," entre ConhuÃ¡s y carretera Calakmul	Campeche	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	18.528333	-89.874444			108.5	108.5	0.0	0.0	1995-07-02	2	7	1995	8151353	8151353	PRESERVED_SPECIMEN	CCBA-FMVZ-UADY	UADY	5692		CGB		CC_BY_4_0	ComisiÃ³n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	CGB			2024-04-15T07:10:00.069Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE",
"4168555751	dedb8f2b-4641-44f2-bafb-057f9fe70ce0	3510796a188a7bc80828658b123dafa7	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii	Britten & Baker f."," 1896	MX	HecelchakÃ¡n"," Campeche - Pomuch camino a Isla de Jaina	Campeche	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	20.205556	-90.294444			3.0	3.0	0.0	0.0	1985-07-26	26	7	1985	8151353	8151353	PRESERVED_SPECIMEN	ECOSUR	CIQR	16006		JCT		CC_BY_4_0	ComisiÃ³n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	CCV			2024-04-15T07:09:57.647Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION",,
"4168555476	dedb8f2b-4641-44f2-bafb-057f9fe70ce0	a32e6e8f6ebc3c6f177e4a6fa3f6545e	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii	Britten & Baker f."," 1896	MX	HecelchakÃ¡n"," Campeche - Pomuch camino a Isla de Jaina	Campeche	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	20.205556	-90.294444			7.5	7.5	0.0	0.0	1985-07-26	26	7	1985	8151353	8151353	PRESERVED_SPECIMEN	CCBA-FMVZ-UADY	UADY	5695		JCT		CC_BY_4_0	ComisiÃ³n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	CCV			2024-04-15T07:09:59.980Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE",,
"4168554565	dedb8f2b-4641-44f2-bafb-057f9fe70ce0	a80e11f699b3e56670a6e6c96bb742cf	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii	Britten & Baker f."," 1896	MX	CalkinÃ­", Campeche - Hacienda Santa Cruz," sobre el camino CalkinÃ­-Punta Arenas.	Campeche	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	20.4025	-90.037778			6.5	6.5	0.0	0.0	1987-07-26	26	7	1987	8151353	8151353	PRESERVED_SPECIMEN	ECOSUR	CIQR	13807		EC		CC_BY_4_0	ComisiÃ³n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	EC; HC			2024-04-15T07:09:56.342Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION",
"4032133201	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102459227	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii Britten & Baker f.	Britten & Baker f.	MX	""1 km al N de la hacinda ChunkanÃ¡n"," en las inmediaciones del cenote ChasinikchÃ© (""""Hormiga del Ã¡rbol rojo"""").""	YucatÃ¡n	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	20.717222	-89.296667			14.0				2005-09-20	20	9	2005	8151353	8151353	PRESERVED_SPECIMEN	MO	Tropicos	102459227	0021			CC_BY_4_0	Missouri Botanical Garden	Ricardo Balam NarvÃ¡ez;GermÃ¡n Carnevali;Diego F. Angulo			2025-01-25T19:30:25.407Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,
"4032088011	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102078569	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii Britten & Baker f.	Britten & Baker f.	MX	A 12 km al E de Conhuas"," sobre la carretera Chetumal-Francisco EscÃ¡rcega. Veg: Acahual de selva mediana.	Campeche	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862									1984-08-01	1	8	1984	8151353	8151353	PRESERVED_SPECIMEN	MO	Tropicos	102078569	6995	W.S. Alverson (F)	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Edgar Fco. Cabrera C.;H. de Cabrera			2025-01-25T19:28:10.688Z		TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,
"4032065661	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102056166	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii Britten & Baker f.	Britten & Baker f.	MX	1 km al N de Hacienda Santa Cruz"," sobre el camino CalkinÃ­-Punta Arenas. VegetaciÃ³n secundaria.	Campeche	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862									1987-07-26	26	7	1987	8151353	8151353	PRESERVED_SPECIMEN	MO	Tropicos	102056166	13951	W.S. Alverson (F)	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Edgar Fco. Cabrera C.;H. de Cabrera			2025-01-25T19:30:23.365Z		TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,
"4031960109	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102078614	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii Britten & Baker f.	Britten & Baker f.	MX	A 7 km al SO de Valladolid"," sobre el camino a Dzitnup.	YucatÃ¡n	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	20.65	-88.24			24.0				1985-06-29	29	6	1985	8151353	8151353	PRESERVED_SPECIMEN	MO	Tropicos	102078614	8758	W.S. Alverson (F)	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Edgar Fco. Cabrera C.;H. de Cabrera			2025-01-25T19:28:10.337Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,
"4031737953	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102078446	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba schottii		SPECIES	Ceiba schottii Britten & Baker fil.	Ceiba schottii Britten & Baker f.	Britten & Baker f.	MX	A 22 km al este de Carrillo Puerto", rumbo a VigÃ­a Chico," selva mediana	Quintana Roo	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	19.67	-87.87							1982-09-20	20	9	1982	8151353	8151353	PRESERVED_SPECIMEN	MO	Tropicos	102078446	3581	W.S. Alverson (F)	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Edgar Fco. Cabrera C.;H. de Cabrera			2025-01-25T19:28:10.391Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,
