"species","Year","JulianDay"
"Ceiba schottii","1985",207
"Ceiba schottii","1995",183
"Ceiba schottii","1985",207
"Ceiba schottii","1985",207
"Ceiba schottii","1987",207
"Ceiba schottii","2005",263
"Ceiba schottii","1984",214
"Ceiba schottii","1987",207
"Ceiba schottii","1985",180
"Ceiba schottii","1982",263
"Ceiba schottii","1980",229
"Ceiba schottii","1980",244
"Ceiba schottii","1987",262
"Ceiba schottii","1980",255
"Ceiba schottii","1983",213
"Ceiba schottii","1982",193
"Ceiba schottii","2003",213
"Ceiba schottii","1997",237
"Ceiba schottii","1981",243
"Ceiba schottii","1985",177
"Ceiba schottii","1997",248
"Ceiba schottii","1997",194
"Ceiba schottii","1994",165
"Ceiba schottii","1987",207
"Ceiba schottii","1982",263
"Ceiba schottii","1985",180
"Ceiba schottii","1972",217
"Ceiba schottii",NA,NA
"Ceiba schottii","2005",263
"Ceiba schottii","2003",257
"Ceiba schottii","2001",248
"Ceiba schottii","2002",233
"Ceiba schottii","1998",194
"Ceiba schottii","1998",233
"Ceiba schottii","1985",207
"Ceiba schottii","1995",245
"Ceiba schottii","1992",194
"Ceiba schottii","1983",267
"Ceiba schottii","1983",241
"Ceiba schottii","1984",214
"Ceiba schottii","1986",232
"Ceiba schottii","1983",223
"Ceiba schottii","1982",263
"Ceiba schottii","1980",255
"Ceiba schottii",NA,NA
"Ceiba schottii","1934",222
"Ceiba schottii","2005",263
"Ceiba schottii","2001",228
"Ceiba schottii","1995",183
"Ceiba schottii","1997",204
"Ceiba schottii","1983",229
"Ceiba schottii","1983",209
"Ceiba schottii","1972",217
"Ceiba schottii","2003",213
"Ceiba schottii","1997",194
"Ceiba schottii","1997",236
"Ceiba schottii","1996",190
"Ceiba schottii","1994",165
"Ceiba schottii","1992",194
"Ceiba schottii","1984",214
"Ceiba schottii","2001",228
"Ceiba schottii","1988",179
"Ceiba schottii","2001",248
"Ceiba schottii","2003",262
"Ceiba schottii","1995",245
"Ceiba schottii","1995",271
"Ceiba schottii","1997",194
"Ceiba schottii","1995",183
"Ceiba schottii","2003",257
"Ceiba schottii","1983",223
"Ceiba schottii","1988",224
"Ceiba schottii","1996",190
"Ceiba schottii","1981",211
"Ceiba schottii","1981",242
"Ceiba schottii","1994",169
"Ceiba schottii","1996",265
"Ceiba schottii","1983",250
"Ceiba schottii","2001",255
"Ceiba schottii","1981",243
"Ceiba schottii","1983",228
"Ceiba schottii","1995",245
"Ceiba schottii","1981",257
"Ceiba schottii","1985",180
"Ceiba schottii","1997",237
"Ceiba schottii","1986",232
"Ceiba schottii","1986",198
"Ceiba schottii","1989",266
"Ceiba schottii","1981",268
"Ceiba schottii","1995",183
"Ceiba schottii","1985",207
"Ceiba schottii","1981",201
"Ceiba schottii","1992",194
"Ceiba schottii","1983",267
"Ceiba schottii","2002",233
"Ceiba schottii","1985",177
"Ceiba schottii","1982",228
"Ceiba schottii","1985",177
"Ceiba schottii","1985",177
"Ceiba schottii","1982",189
"Ceiba schottii","2005",263
"Ceiba schottii","1982",189
"Ceiba schottii","1980",183
"Ceiba schottii","1988",179
"Ceiba schottii","1997",204
"Ceiba schottii","1994",165
"Ceiba schottii","1983",241
"Ceiba schottii","1997",194
"Ceiba schottii","2003",262
"Ceiba schottii","1983",229
"Ceiba schottii","1986",216
"Ceiba schottii","1982",241
"Ceiba schottii","1983",209
"Ceiba schottii","1997",248
"Ceiba schottii","1994",177
"Ceiba schottii",NA,NA
"Ceiba schottii","1996",265
"Ceiba schottii",NA,NA
"Ceiba schottii","2005",263
"Ceiba schottii","1998",233
"Ceiba schottii","1989",266
"Ceiba schottii","2003",213
"Ceiba schottii","2002",233
"Ceiba schottii","1985",180
"Ceiba schottii","1984",214
"Ceiba schottii","1982",263
"Ceiba schottii","1980",244
"Ceiba schottii","1980",255
"Ceiba schottii","1997",237
"Ceiba schottii","1980",229
"Ceiba schottii","1995",245
"Ceiba schottii","1972",217
"Ceiba schottii","1987",207
"Ceiba schottii","1987",262
"Ceiba schottii","1986",198
"Ceiba schottii",NA,NA
"Ceiba schottii",NA,NA
"Ceiba schottii",NA,NA
"Ceiba schottii",NA,NA
