"species","Year","JulianDay"
"Ceiba trischistandra","1995",207
"Ceiba trischistandra","1987",188
"Ceiba trischistandra","1987",159
"Ceiba trischistandra","1982",157
"Ceiba trischistandra","1997",153
"Ceiba trischistandra","1955",163
"Ceiba trischistandra","1968",134
"Ceiba trischistandra","1985",124
"Ceiba trischistandra","2006",205
"Ceiba trischistandra","1999",128
"Ceiba trischistandra","2006",205
"Ceiba trischistandra","1991",127
"Ceiba trischistandra","1997",153
"Ceiba trischistandra","1982",155
"Ceiba trischistandra","1990",123
"Ceiba trischistandra","1957",133
"Ceiba trischistandra","1957",146
"Ceiba trischistandra","2006",205
"Ceiba trischistandra","1989",198
"Ceiba trischistandra","1989",195
"Ceiba trischistandra","1989",198
"Ceiba trischistandra","1955",157
"Ceiba trischistandra","1991",127
"Ceiba trischistandra","1955",163
"Ceiba trischistandra","1968",134
"Ceiba trischistandra","1976",182
"Ceiba trischistandra","1982",159
"Ceiba trischistandra","1977",211
"Ceiba trischistandra","2006",205
"Ceiba trischistandra","1995",207
"Ceiba trischistandra","1987",161
"Ceiba trischistandra","1982",155
"Ceiba trischistandra","1990",123
"Ceiba trischistandra","1987",189
"Ceiba trischistandra","1987",188
"Ceiba trischistandra","1987",159
"Ceiba trischistandra","1987",161
"Ceiba trischistandra","1976",182
"Ceiba trischistandra","1999",128
"Ceiba trischistandra","1997",153
"Ceiba trischistandra","1976",182
"Ceiba trischistandra","1991",127
"Ceiba trischistandra","1955",157
"Ceiba trischistandra","1955",163
"Ceiba trischistandra","1955",163
