gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4977586783	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K004842932	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum	M.A.Lawson	GH	[Addiko Rin Yamalaga]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1927-04-01T00:00	1	4	1927	3698825	3698825	PRESERVED_SPECIMEN	K	Herbarium	K004842932	931			CC_BY_4_0		Kitson, A.			2025-03-27T23:36:42.901Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4977583663	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K004842929	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum	M.A.Lawson	TG	Zone I; Mango. Ufer des Oti-Flusses		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1978-02-10T00:00	10	2	1978	3698825	3698825	PRESERVED_SPECIMEN	K	Herbarium	K004842929	3097			CC_BY_4_0		Ern, H.			2025-03-27T23:36:28.694Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4977577818	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K004842928	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum	M.A.Lawson	TG	Zone I; Mango. Ufer des Oti-Flusses.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1978-02-10T00:00	10	2	1978	3698825	3698825	PRESERVED_SPECIMEN	K	Herbarium	K004842928	3097			CC_BY_4_0		Ern, H.			2025-03-27T23:36:23.798Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4977569181	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K004842934	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum	M.A.Lawson	GH	Saboba; Bank of R. Oti, abundant, forming thicket.; [N. Tentories, Dagomba Dist.]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1958-03-20T00:00	20	3	1958	3698825	3698825	PRESERVED_SPECIMEN	K	Herbarium	K004842934	A3122			CC_BY_4_0		Hepper, F.N.; Morton, J.K.			2025-03-27T23:36:41.930Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4066537192	b2df52a4-6143-46d5-8727-f808d8e25feb	130487-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum Laws.		TG	Berges de l'Oti		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	10.333333	0.583333							1990-03		3	1990	3698825	3698825	PRESERVED_SPECIMEN	TOGO		TOGO00486		Akpagana		CC_BY_4_0		Akpagana			2025-02-06T22:15:44.697Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4066531367	b2df52a4-6143-46d5-8727-f808d8e25feb	4771177-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum Laws.		BJ	Porga Reserve		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	11.048056	0.968889							1970-03-08	8	3	1970	3698825	3698825	PRESERVED_SPECIMEN	HNB				Jongkind C.C.H.		CC_BY_4_0		Aké Assi L.			2025-02-06T22:15:51.933Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066466520	b2df52a4-6143-46d5-8727-f808d8e25feb	4895203-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum Laws.		BJ	Pendjari		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	11.45	1.46667							2000-04-25	25	4	2000	3698825	3698825	PRESERVED_SPECIMEN	HNB		WAG0036483		Jongkind C.C.H.		CC_BY_4_0		Houngnon P.			2025-02-06T22:15:52.481Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066463084	b2df52a4-6143-46d5-8727-f808d8e25feb	4923873-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum Laws.		BJ	Parc National de la Pendjari		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	10.06667	1.25							1999-03-07	7	3	1999	3698825	3698825	PRESERVED_SPECIMEN	HNB		WAG0088883		Jongkind C.C.H.		CC_BY_4_0		Sinsin			2025-02-06T22:15:52.820Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066455724	b2df52a4-6143-46d5-8727-f808d8e25feb	4886627-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum Laws.		BJ	Porga.		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb	11.03333	0.96667							1974-01-02	2	1	1974	3698825	3698825	PRESERVED_SPECIMEN	HNB				Jongkind C.C.H.		CC_BY_4_0		Aké Assi L.			2025-02-06T22:15:52.415Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
4066435323	b2df52a4-6143-46d5-8727-f808d8e25feb	4643398-BID-AF-2020-040-REG	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum acutum		SPECIES	Combretum acutum M.A.Lawson	Combretum acutum M.A.Lawson		BJ	Reserve de Porga		PRESENT		d2583793-e5c1-41ae-83bd-86300d34e2cb									1970-03-08	8	3	1970	3698825	3698825	PRESERVED_SPECIMEN	UCJ		UCJ002894		Aké Assi L.		CC_BY_4_0		Aké Assi L.			2025-02-06T22:15:51.413Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
