"species","Year","JulianDay"
"Combretum acutum","1927",91
"Combretum acutum","1978",41
"Combretum acutum","1978",41
"Combretum acutum","1958",79
"Combretum acutum",NA,NA
"Combretum acutum","1970",67
"Combretum acutum","2000",116
"Combretum acutum","1999",66
"Combretum acutum","1974",2
"Combretum acutum","1970",67
"Combretum acutum","1995",67
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","2010",105
"Combretum acutum","1999",66
"Combretum acutum","2000",116
"Combretum acutum","1995",67
"Combretum acutum","1977",110
"Combretum acutum","2005",78
"Combretum acutum","2005",27
"Combretum acutum","1964",102
"Combretum acutum","1964",103
"Combretum acutum","1987",60
"Combretum acutum","1995",67
"Combretum acutum","1999",66
"Combretum acutum","2000",116
"Combretum acutum",NA,NA
"Combretum acutum","1953",93
"Combretum acutum","1953",93
"Combretum acutum","2005",78
"Combretum acutum","1995",67
"Combretum acutum","1953",93
"Combretum acutum","1964",103
"Combretum acutum","1964",102
"Combretum acutum","1966",16
"Combretum acutum","1996",21
"Combretum acutum","1995",67
"Combretum acutum","1966",23
"Combretum acutum","2005",27
"Combretum acutum","1995",67
"Combretum acutum","1977",110
"Combretum acutum","1996",21
"Combretum acutum",NA,NA
"Combretum acutum","1995",67
"Combretum acutum","1970",67
"Combretum acutum","1999",34
"Combretum acutum","1999",34
"Combretum acutum","1974",2
"Combretum acutum","1970",67
"Combretum acutum","1970",67
"Combretum acutum","2001",21
"Combretum acutum","2001",9
"Combretum acutum","2001",62
"Combretum acutum","2001",62
"Combretum acutum","2001",50
"Combretum acutum","2001",45
"Combretum acutum","2001",42
"Combretum acutum","2001",37
"Combretum acutum","2001",37
"Combretum acutum","2001",32
"Combretum acutum","2001",32
"Combretum acutum","2001",32
"Combretum acutum","1986",101
"Combretum acutum","2005",38
