gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912575017	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000746170	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Bali-Ngema Forest Reserve, path from Mantum to Kedeng.  Profile plot.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	5.819445	10.083333			1400.0				2001-10-05T00:00	5	10	2001	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000746170	10742	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:43:10.860Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912468980	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000580365	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Dom, in Noni subdivision (Bui Division), NW Province. Forest around Kinjinjang Rock.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	6.353611	10.597777			1600.0				2006-09-25T00:00	25	9	2006	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000580365	13435	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:43:01.071Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912291457	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000339012	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Motorable track SE from Ndanan 1		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.625833	11.580278			700.0				2002-10-11T00:00	11	10	2002	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000339012	11004	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:45:15.372Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912181626	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000199851	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Motorable track SE from Ndanan 1		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.625833	11.580278			700.0				2002-10-11T00:00	11	10	2002	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000199851	11004	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:45:12.135Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912181615	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000199854	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Ndanan 1, to Ndanan 2 , route near N.P. boundary		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.628889	11.575			700.0				2002-10-14T00:00	14	10	2002	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000199854	11075	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:42:22.454Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912181597	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000199855	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	CM	Ndanan 1, to Ndanan 2 , route near N.P. boundary		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.628889	11.575			700.0				2002-10-14T00:00	14	10	2002	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000199855	11074	Wilkin, P.		CC_BY_4_0		Cheek, M.			2025-04-03T22:42:23.107Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912145909	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000099315	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea tenuiflora Schltdl.	Dioscorea tenuiflora	Schltdl.	CU	Sierra Nipe, near Woodfred, Oriente, Pinelands		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					575.0	75.0			1909-12-05T00:00	5	12	1909	2755502	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000099315	3016			CC_BY_4_0		Shafer, J.A.	Type		2025-04-03T22:42:15.781Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912145889	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000099316	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea tenuiflora Schltdl.	Dioscorea tenuiflora	Schltdl.	CU	Sierra Nipe, near Woodfred, Oriente, Pinelands		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					575.0	75.0			1909-12-11T00:00	11	12	1909	2755502	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000099316	3149			CC_BY_4_0		Shafer, J.A.	Type		2025-04-03T22:42:16.423Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912144828	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000098173	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	IN			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1904-12-01T00:00	1	12	1904	2755489	2755489	PRESERVED_SPECIMEN	K	Herbarium	K000098173	23829	P.T.N.		CC_BY_4_0		s.coll.	OriginalMaterial		2025-04-03T22:42:16.415Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912012825	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/17194.000	Plantae	Tracheophyta	Liliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea bulbifera		SPECIES	Dioscorea bulbifera L.	Dioscorea bulbifera	L.	UG	1/2 mile from Kakumiro, on Mubenda Road		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1957-10-01T00:00	1	10	1957	2755489	2755489	PRESERVED_SPECIMEN	K	Spirit	17194.000	11			CC_BY_4_0		Peal, J.			2025-04-03T22:41:57.782Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
