"species","Year","JulianDay"
"Dioscorea bulbifera","2001",278
"Dioscorea bulbifera","2006",268
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1909",339
"Dioscorea bulbifera","1909",345
"Dioscorea bulbifera","1904",336
"Dioscorea bulbifera","1957",274
"Dioscorea bulbifera","1957",270
"Dioscorea bulbifera","1933",266
"Dioscorea bulbifera","1934",300
"Dioscorea bulbifera","1936",257
"Dioscorea bulbifera","1960",266
"Dioscorea bulbifera","1933",253
"Dioscorea bulbifera","1922",314
"Dioscorea bulbifera","1970",266
"Dioscorea bulbifera","1970",266
"Dioscorea bulbifera","1970",266
"Dioscorea bulbifera","1978",255
"Dioscorea bulbifera","1978",257
"Dioscorea bulbifera","1978",257
"Dioscorea bulbifera","1978",257
"Dioscorea bulbifera","1983",344
"Dioscorea bulbifera","1987",273
"Dioscorea bulbifera","1999",259
"Dioscorea bulbifera","1987",273
"Dioscorea bulbifera","1987",273
"Dioscorea bulbifera","2003",253
"Dioscorea bulbifera","2003",253
"Dioscorea bulbifera","2003",253
"Dioscorea bulbifera","2002",283
"Dioscorea bulbifera","1987",271
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","2004",249
"Dioscorea bulbifera","2005",244
"Dioscorea bulbifera","2001",269
"Dioscorea bulbifera","2009",245
"Dioscorea bulbifera","1984",284
"Dioscorea bulbifera","1968",254
"Dioscorea bulbifera","1989",260
"Dioscorea bulbifera","1989",260
"Dioscorea bulbifera","1989",260
"Dioscorea bulbifera","1997",256
"Dioscorea bulbifera","1990",265
"Dioscorea bulbifera","1974",362
"Dioscorea bulbifera","1970",323
"Dioscorea bulbifera","1938",249
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","1973",290
"Dioscorea bulbifera","1963",290
"Dioscorea bulbifera","1994",296
"Dioscorea bulbifera","1995",283
"Dioscorea bulbifera","1983",260
"Dioscorea bulbifera","1997",246
"Dioscorea bulbifera","1996",246
"Dioscorea bulbifera","1963",290
"Dioscorea bulbifera","1995",260
"Dioscorea bulbifera","1997",244
"Dioscorea bulbifera","1998",299
"Dioscorea bulbifera","1999",252
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","1960",284
"Dioscorea bulbifera","1980",272
"Dioscorea bulbifera","1997",244
"Dioscorea bulbifera","1992",318
"Dioscorea bulbifera","1961",288
"Dioscorea bulbifera","1952",287
"Dioscorea bulbifera","1961",288
"Dioscorea bulbifera","1961",288
"Dioscorea bulbifera","1961",288
"Dioscorea bulbifera","2005",299
"Dioscorea bulbifera","2017",258
"Dioscorea bulbifera","1964",276
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","1973",286
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1974",245
"Dioscorea bulbifera","1973",286
"Dioscorea bulbifera","1973",286
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1974",245
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","1999",319
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",284
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","2002",287
"Dioscorea bulbifera","1963",269
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1963",313
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1974",245
"Dioscorea bulbifera","1963",286
"Dioscorea bulbifera","1974",245
"Dioscorea bulbifera","1996",320
"Dioscorea bulbifera","1986",261
"Dioscorea bulbifera","1986",261
"Dioscorea bulbifera","1996",320
"Dioscorea bulbifera","2019",276
"Dioscorea bulbifera","2019",276
"Dioscorea bulbifera","2019",276
"Dioscorea bulbifera","2019",276
"Dioscorea bulbifera","1997",290
"Dioscorea bulbifera","1987",306
"Dioscorea bulbifera","1987",306
"Dioscorea bulbifera","2014",296
"Dioscorea bulbifera","1982",344
"Dioscorea bulbifera","1991",309
"Dioscorea bulbifera","1994",349
"Dioscorea bulbifera","1984",264
"Dioscorea bulbifera","2001",335
"Dioscorea bulbifera","2023",303
"Dioscorea bulbifera","2023",303
"Dioscorea bulbifera","2023",303
"Dioscorea bulbifera","2014",349
"Dioscorea bulbifera","1995",296
"Dioscorea bulbifera","1995",325
"Dioscorea bulbifera","1971",294
"Dioscorea bulbifera","1935",272
"Dioscorea bulbifera","1932",304
"Dioscorea bulbifera","1950",357
"Dioscorea bulbifera","1932",284
"Dioscorea bulbifera","1969",260
"Dioscorea bulbifera","2015",263
"Dioscorea bulbifera","2015",291
"Dioscorea bulbifera","1993",310
"Dioscorea bulbifera","1993",301
"Dioscorea bulbifera","1996",278
"Dioscorea bulbifera","1993",275
"Dioscorea bulbifera","1993",273
"Dioscorea bulbifera","1914",364
"Dioscorea bulbifera","1981",276
"Dioscorea bulbifera","1957",254
"Dioscorea bulbifera","1924",245
"Dioscorea bulbifera","1957",285
"Dioscorea bulbifera","1959",299
"Dioscorea bulbifera","1926",276
"Dioscorea bulbifera","1984",260
"Dioscorea bulbifera","1983",252
"Dioscorea bulbifera","2013",246
"Dioscorea bulbifera","2017",285
"Dioscorea bulbifera","1977",269
"Dioscorea bulbifera","1997",274
"Dioscorea bulbifera","1938",266
"Dioscorea bulbifera","1915",259
"Dioscorea bulbifera","2006",247
"Dioscorea bulbifera","1976",291
"Dioscorea bulbifera","1909",245
"Dioscorea bulbifera","1920",270
"Dioscorea bulbifera","1937",283
"Dioscorea bulbifera","2000",279
"Dioscorea bulbifera","1974",269
"Dioscorea bulbifera","1974",269
"Dioscorea bulbifera","2004",266
"Dioscorea bulbifera","2004",266
"Dioscorea bulbifera","1938",275
"Dioscorea bulbifera","2001",284
"Dioscorea bulbifera","1982",303
"Dioscorea bulbifera","2002",282
"Dioscorea bulbifera","1996",313
"Dioscorea bulbifera","1994",296
"Dioscorea bulbifera","1952",287
"Dioscorea bulbifera","2002",319
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","1944",276
"Dioscorea bulbifera","2007",291
"Dioscorea bulbifera","1973",252
"Dioscorea bulbifera","1968",307
"Dioscorea bulbifera","1989",277
"Dioscorea bulbifera","2023",276
"Dioscorea bulbifera","2023",276
"Dioscorea bulbifera","2023",276
"Dioscorea bulbifera","1961",248
"Dioscorea bulbifera","1970",267
"Dioscorea bulbifera","1983",252
"Dioscorea bulbifera","1933",245
"Dioscorea bulbifera","1969",277
"Dioscorea bulbifera","1969",277
"Dioscorea bulbifera","1990",321
"Dioscorea bulbifera","1934",312
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","1931",293
"Dioscorea bulbifera","1958",294
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera","1922",316
"Dioscorea bulbifera","1992",303
"Dioscorea bulbifera","1955",295
"Dioscorea bulbifera",NA,NA
"Dioscorea bulbifera",NA,NA
