gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
895164496	834a4794-f762-11e1-a439-00145eb45e9a	B3169DBF-FBC4-4BD5-BC78-24E879A1DA97	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.	L.	ES	J. Bot. Valencia C-5,10	València	PRESENT		8209258a-80e8-4094-aba2-a3febe5ed45b									1982-06-15	15	6	1982	3032980	3032980	PRESERVED_SPECIMEN	VAL	VAL	1385-1				CC_BY_NC_4_0		A. Aguilella			2025-02-06T20:40:51.834Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
889679803	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Chungcheongbuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1961-07-27	27	7	1961	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBFA200006201089		Kim Yeongbeom	2000-06-20T00:00:00	CC_BY_4_0		Baek Seungeon			2025-04-04T12:17:54.180Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679800	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Jeollanam-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1994-05-21	21	5	1994	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301232				CC_BY_4_0		Kim Cheolhwan			2025-04-04T12:17:52.665Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679798	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Jeollanam-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1994-05-21	21	5	1994	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301233				CC_BY_4_0		Kim Cheolhwan			2025-04-04T12:17:46.792Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679795	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Jeollabuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1995-06-28	28	6	1995	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301238				CC_BY_4_0		Kim Cheolhwan, Seon Byeongyun			2025-04-04T12:17:46.792Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679778	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.					PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1991-06-05	5	6	1991	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200103081078		Seon Byeongyun	2001-03-08T00:00:00	CC_BY_4_0		Seon Byeongyun, Kim Taejin, Kim Cheolhwan			2025-04-04T12:17:46.767Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679771	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Chungcheongbuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1961-07-27	27	7	1961	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBFA200006201080		Kim Yeongbeom	2000-06-20T00:00:00	CC_BY_4_0		Baek Seungeon			2025-04-04T12:17:47.595Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679770	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.					PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1991-06-05	5	6	1991	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200103081077		Seon Byeongyun	2001-03-08T00:00:00	CC_BY_4_0		Seon Byeongyun, Kim Taejin, Kim Cheolhwan			2025-04-04T12:17:46.869Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679769	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Chungcheongnam-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1992-06-15	15	6	1992	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBFA200006201082		Kim Yeongbeom	2000-06-20T00:00:00	CC_BY_4_0		Park Eunsun			2025-04-04T12:17:47.655Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679768	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Gyeongsangbuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1991-06-05	5	6	1991	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200409182091		Seon Byeongyun	2004-09-18T00:00:00	CC_BY_4_0		Seon Byeongyun,Kim Taejin,Kim Cheolhwan			2025-04-04T12:17:47.367Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679766	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Chungcheongbuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1959-05-07	7	5	1959	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBFA200006201086		Kim Yeongbeom	2000-06-20T00:00:00	CC_BY_4_0		Baek Seungeon			2025-04-04T12:17:53.075Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679761	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Chungcheongbuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1961-07-27	27	7	1961	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBFA200006201079		Kim Yeongbeom	2000-06-20T00:00:00	CC_BY_4_0		Baek Seungeon			2025-04-04T12:17:47.784Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679759	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Jeollabuk-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1995-06-28	28	6	1995	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301236				CC_BY_4_0		Kim Cheolhwan, Seon Byeongyun			2025-04-04T12:17:46.698Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679757	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Gangwon-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1995-07-06	6	7	1995	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301239				CC_BY_4_0		Seon Byeongyun			2025-04-04T12:17:46.678Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679756	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.		KR		Jeollanam-do	PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1994-05-21	21	5	1994	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200008301235				CC_BY_4_0		Kim Cheolhwan			2025-04-04T12:17:53.892Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
889679755	961a5ce1-f843-4e75-86a6-51aa959fc12c		Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros lotus		SPECIES	Diospyros lotus L.	Diospyros lotus L.					PRESENT		ce3cfcc0-6d56-11db-a819-b8a03c50a862									1991-06-05	5	6	1991	3032980	3032980	PRESERVED_SPECIMEN	KNA	Plant	CBBA200103081109		Seon Byeongyun	2001-03-08T00:00:00	CC_BY_4_0		Seon Byeongyun, Kim Taejin, Kim Cheolhwan			2025-04-04T12:17:46.767Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
