"species","Year","JulianDay"
"Diospyros lotus","1982",166
"Diospyros lotus","1961",208
"Diospyros lotus","1994",141
"Diospyros lotus","1994",141
"Diospyros lotus","1995",179
"Diospyros lotus","1991",156
"Diospyros lotus","1961",208
"Diospyros lotus","1991",156
"Diospyros lotus","1992",167
"Diospyros lotus","1991",156
"Diospyros lotus","1959",127
"Diospyros lotus","1961",208
"Diospyros lotus","1995",179
"Diospyros lotus","1995",187
"Diospyros lotus","1994",141
"Diospyros lotus","1991",156
"Diospyros lotus","1994",141
"Diospyros lotus","1998",169
"Diospyros lotus","1998",190
"Diospyros lotus","1992",167
"Diospyros lotus","1983",195
"Diospyros lotus","1998",169
"Diospyros lotus","1993",178
"Diospyros lotus","1989",155
"Diospyros lotus","1995",179
"Diospyros lotus","2008",211
"Diospyros lotus","2005",176
"Diospyros lotus","2004",180
"Diospyros lotus","2005",185
"Diospyros lotus","1991",156
"Diospyros lotus","2008",138
"Diospyros lotus","2007",204
"Diospyros lotus","1993",178
"Diospyros lotus","1991",156
"Diospyros lotus","1998",169
"Diospyros lotus","2009",138
"Diospyros lotus","2005",156
"Diospyros lotus","1991",156
"Diospyros lotus","2005",176
"Diospyros lotus","2009",154
"Diospyros lotus","2009",204
"Diospyros lotus","2005",156
"Diospyros lotus","2005",156
"Diospyros lotus","1996",151
"Diospyros lotus","2005",156
"Diospyros lotus","1997",135
"Diospyros lotus","1998",169
"Diospyros lotus","1996",145
"Diospyros lotus","2005",185
"Diospyros lotus","1999",172
"Diospyros lotus","2005",156
"Diospyros lotus","1998",146
"Diospyros lotus","1999",149
"Diospyros lotus","1996",151
"Diospyros lotus","1998",123
"Diospyros lotus","1998",144
"Diospyros lotus","1998",123
"Diospyros lotus","1996",151
"Diospyros lotus","1996",143
"Diospyros lotus","1998",122
"Diospyros lotus","1957",211
"Diospyros lotus","1998",122
"Diospyros lotus","1963",164
"Diospyros lotus","1994",152
"Diospyros lotus","1996",133
"Diospyros lotus","1998",123
"Diospyros lotus","1998",144
"Diospyros lotus","1998",122
"Diospyros lotus","1972",165
"Diospyros lotus","1998",122
"Diospyros lotus","1996",151
"Diospyros lotus","1988",159
"Diospyros lotus","1998",122
"Diospyros lotus","1957",211
"Diospyros lotus","1988",156
"Diospyros lotus","2000",176
"Diospyros lotus","1957",212
"Diospyros lotus","1963",164
"Diospyros lotus","1957",212
"Diospyros lotus","1919",188
"Diospyros lotus","1936",159
"Diospyros lotus","1937",203
"Diospyros lotus","1936",159
"Diospyros lotus","1936",159
"Diospyros lotus","1963",196
"Diospyros lotus","1958",208
"Diospyros lotus","1936",159
"Diospyros lotus","1954",156
"Diospyros lotus","1937",203
"Diospyros lotus","1988",175
"Diospyros lotus","1961",209
"Diospyros lotus","1987",177
"Diospyros lotus","1976",171
"Diospyros lotus","1956",145
"Diospyros lotus","1998",155
"Diospyros lotus","1999",207
"Diospyros lotus","1998",155
"Diospyros lotus","2001",160
"Diospyros lotus","1999",156
"Diospyros lotus","1960",160
