"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue"				
"694377138	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p04848383	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR		Amazonas	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	MNHN	P	P04848383		Sothers		CC_BY_4_0		Ramos"	" J.F.			2025-01-15T19:49:24.173Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY"			
"574678865	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00056036	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance		BR			PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	RBGE	E	E00056036	P23251			CC0	Royal Botanic Garden Edinburgh	Ramos"	" J. F.			2025-01-22T01:53:26.951Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COUNTRY"			
"4977437202	48d88da6-2805-408d-8ebc-05e753cee362	urn:catalog:HB:65328	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR		Amazonas	PRESENT		a8c98d44-19d2-4e3b-9999-997e150a7fe0									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	UERJ	HB	HB000065328	23251	G.T. Prance"	"	1975-01-01T00:00:00	CC_BY_4_0	HB - Herbarium Bradeanum	J.F. Ramos			2025-01-01T14:04:27.652Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE"			
"4975160789	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K001242072	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis	Prance	BR	Brazilian Amazonia; Coari"	 Road to airport	 Km. 6	" Farm of Sr. Nascimento.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1975-02-10T00:00	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	K	Herbarium	K001242072	P23251			CC_BY_4_0		Ramos"	" J.F.			2025-01-23T23:08:40.866Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
"4153031481	2ab496e3-18cb-4cc0-9dca-9402d29b4e5b	urn:uuid:beab223e-4b28-4828-be69-1a550651b930	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis	(Prance) Prance	BR			PRESENT		37f13176-4dd6-46bf-9493-09d3513529da									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	FSU	FSU	000067864	P23251			CC_BY_4_0	Robert K. Godfrey Herbarium at Florida State University	J. F. Ramos			2024-01-24T16:59:05.774Z		CONTINENT_DERIVED_FROM_COUNTRY"				
"4072875290	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000028551447	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance		BR	State of Amazonas; Coari"	 Road to airport	" Km. 6 Farm of Sr. Nascimento		PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000028551447	P23251			CC_BY_4_0	Meise Botanic Garden	Ramos J.F.			2024-12-08T15:52:41.083Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COUNTRY"		
"4010401349	17efa320-7312-4b55-bf0a-a4cfc4613169	https://specieslink.net/guid/1/151796	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis	Prance	BR	road to airport"	" Km 6	Amazonas	PRESENT		2437c128-bf8c-4f53-b668-da95fb2e40b7									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	IPA/SP	SP	151796	23251	Mamede"	" MCH	2022-12-01T00:00:00	CC_BY_4_0	HerbÃ¡rio do Estado Maria Eneyda P. Kaufmann Fidalgo - ColeÃ§Ã£o de Plantas Vasculares	Ramos"	" JF		native	2025-01-20T12:37:19.450Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE"	
"2998464752	ebed4456-76d2-408c-8467-fd66be066521	3502188	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari"	 Road to airport	" km 6. farm of Sr. Nascimento.	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	K	K	K001242072	P/23251			CC_BY_4_0	K	J.F. Ramos			2025-01-01T12:18:13.948Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"		
"2998455980	803eb96c-4779-41e3-a511-fd124732774f	5513412	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Amazonas	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	MG	MG	MG050301	`23251	Prance"	" G.T.	1975-01-01T00:00:00	CC_BY_4_0	MG	Ramos"	" J.F.			2025-01-01T15:31:37.915Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"		
"2997499836	3cb7fc60-aa95-4556-b987-b7f6f593b9a1	3940841	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Road to airport"	 km 6	" Farm of Sr. Nascimento	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	US	US	US01857510	P23251		2016-01-01T00:00:00	CC_BY_4_0	US	Ramos"	 J. F.  (Ramos	" JosÃ© Ferreira)			2025-01-01T12:15:47.389Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;AMBIGUOUS_INSTITUTION"
