gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912642846	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851109	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula		SPECIES	Mimosa acutistipula (Mart.) Benth.	Mimosa acutistipula	(Mart.) Benth.	BR	Serra Azul.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-11.336111	-42.141389			600.0				1996-03-17T00:00	17	3	1996	2969280	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851109	2491	Lewis, G.P.		CC_BY_4_0		Woodgyer, E.; Stannard, B.; Conceição, A.A.; Giulietti, A.M; Atkinson, R.			2025-04-03T22:43:16.143Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642839	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851111	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula		SPECIES	Mimosa acutistipula (Mart.) Benth.	Mimosa acutistipula	(Mart.) Benth.	BR	Saída de Remanso para Pilão Arcado.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-9.738056	-42.396944							2000-02-28T00:00	28	2	2000	2969280	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851111	243	Lewis, G.P.		CC_BY_4_0		Nascimento, A.; Guedes, M.L.; Fonseca, M.R.; Cavalcanti, G.; Jesus, N.G.			2025-04-03T22:43:17.247Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642819	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851115	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula	acutistipula	VARIETY	Mimosa acutistipula var. acutistipula	Mimosa acutistipula var. acutistipula		BR	Serra dos Carajás. N-4, mina piloto para exploração de ferro. Local onde foi realizado inventário em 05/83.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					725.0	25.0			1984-03-15T00:00	15	3	1984	8080599	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851115	1822			CC_BY_4_0		Silva, A.S.L.; Rosa, N.A.; Bahia, R.P.; Santos, M.R.			2025-04-03T22:43:16.349Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642816	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851105	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula		SPECIES	Mimosa acutistipula (Mart.) Benth.	Mimosa acutistipula	(Mart.) Benth.	BR	Estação Biológica da UnB.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1981-04-27T00:00	27	4	1981	2969280	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851105	6871	Silva, J.S.		CC_BY_4_0		Heringer, E.P.; Filgueiras, T.S.; Mendonça, R.C.; Pereira, B.A.S.			2025-04-03T22:43:16.487Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642814	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851103	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula		SPECIES	Mimosa acutistipula (Mart.) Benth.	Mimosa acutistipula	(Mart.) Benth.	BR	Ilha de Balsas. Region between the Balsas&Parnaíba rivers. Ca. 35Km south of Loreto. On flat narrow ridge top just west of Chapada do Gigante a few Km SW of main house of Fazenda Morros.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-7.383333	-45.083333							1970-02-09T00:00	9	2	1970	2969280	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851103	10508	Barneby, R.C.		CC_BY_4_0		Eiten, G.; Eiten, L.T.			2025-04-03T22:45:25.551Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642802	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851119	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula	ferrea	VARIETY	Mimosa acutistipula var. ferrea Barneby	Mimosa acutistipula var. ferrea	Barneby	BR	Rodovia de Grajaú, rodovia a 6km da cidade de Grajaú.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1983-04-21T00:00	21	4	1983	3794817	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851119	1174	Barneby, R.C.		CC_BY_4_0		Silva, M.F.F.; Silva, J.B.F.; Oliveira, J.; Rosário, C.S.; Santos, M.R.			2025-04-03T22:43:16.178Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642789	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851120	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula	ferrea	VARIETY	Mimosa acutistipula var. ferrea Barneby	Mimosa acutistipula var. ferrea	Barneby	BR	'Ilha de Balsas' region, between the Rios Balsas and Parnaíba, about 20Km south of Loreto. Along trail to Loreto, north of main house of Fazenda Trabalhosa.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-7.216667	-45.116667			300.0				1962-04-08T00:00	8	4	1962	3794817	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851120	4184	Barneby, R.C.		CC_BY_4_0		Eiten, G.; Eiten, L.T.			2025-04-03T22:43:17.248Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912642762	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000851106	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula		SPECIES	Mimosa acutistipula (Mart.) Benth.	Mimosa acutistipula	(Mart.) Benth.	BR	Estação Biológica da UnB.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1981-04-27T00:00	27	4	1981	2969280	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000851106	6871	Barneby, R.C.		CC_BY_4_0		Heringer, E.P.; Filgueiras, T.S.; Mendonça, R.C.; Pereira, B.A.S.			2025-04-03T22:43:16.349Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912140026	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000091127	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula	acutistipula	VARIETY	Mimosa acutistipula var. acutistipula	Mimosa acutistipula var. acutistipula		BR	Km 30.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-7.216667	-42.2			280.0				1993-03-15T00:00	15	3	1993	8080599	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000091127	301	Lewis, G.P.		CC_BY_4_0		Filho, F.G.A.; Carvalho, J.H.; Nascimento, M.S.B.			2025-04-03T22:42:15.923Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912139998	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000091145	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Mimosa	Mimosa acutistipula	acutistipula	VARIETY	Mimosa acutistipula var. acutistipula	Mimosa acutistipula var. acutistipula		BR	Km 30.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-7.216667	-42.2			280.0				1993-03-15T00:00	15	3	1993	8080599	2969280	PRESERVED_SPECIMEN	K	Herbarium	K000091145	301	Lewis, G.P.; Nascimento, M.S.B.		CC_BY_4_0		Filho, F.G.A.; Carvalho, J.H.; Nascimento, M.S.B.			2025-04-03T22:42:15.924Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
