"species","Year","JulianDay"
"Mimosa acutistipula","1996",77
"Mimosa acutistipula","2000",59
"Mimosa acutistipula","1984",75
"Mimosa acutistipula","1981",117
"Mimosa acutistipula","1970",40
"Mimosa acutistipula","1983",111
"Mimosa acutistipula","1962",98
"Mimosa acutistipula","1981",117
"Mimosa acutistipula","1993",74
"Mimosa acutistipula","1993",74
"Mimosa acutistipula","1838",1
"Mimosa acutistipula","1992",95
"Mimosa acutistipula","1971",64
"Mimosa acutistipula","1977",54
"Mimosa acutistipula","1971",64
"Mimosa acutistipula","1838",1
"Mimosa acutistipula","1982",21
"Mimosa acutistipula","1980",105
"Mimosa acutistipula","1839",91
"Mimosa acutistipula","1980",105
"Mimosa acutistipula","1838",1
"Mimosa acutistipula","1977",58
"Mimosa acutistipula","1979",71
"Mimosa acutistipula","1994",76
"Mimosa acutistipula","1839",91
"Mimosa acutistipula","1982",17
"Mimosa acutistipula","2024",85
"Mimosa acutistipula","1998",73
"Mimosa acutistipula","1989",59
"Mimosa acutistipula","2024",85
"Mimosa acutistipula","2019",115
"Mimosa acutistipula","2018",56
"Mimosa acutistipula","2012",61
"Mimosa acutistipula","2006",56
"Mimosa acutistipula","2013",24
"Mimosa acutistipula","2009",23
"Mimosa acutistipula","2005",68
"Mimosa acutistipula","2000",58
"Mimosa acutistipula","1981",104
"Mimosa acutistipula","1987",119
"Mimosa acutistipula","2005",104
"Mimosa acutistipula","1979",96
"Mimosa acutistipula","1970",74
"Mimosa acutistipula","2024",102
"Mimosa acutistipula","2018",56
"Mimosa acutistipula","2018",109
"Mimosa acutistipula","2018",92
"Mimosa acutistipula","2019",115
"Mimosa acutistipula","2019",51
"Mimosa acutistipula","1987",53
"Mimosa acutistipula","2003",69
"Mimosa acutistipula","2006",77
"Mimosa acutistipula","2003",69
"Mimosa acutistipula","2024",102
"Mimosa acutistipula","2003",69
"Mimosa acutistipula","2015",120
"Mimosa acutistipula","2015",119
"Mimosa acutistipula","2023",108
"Mimosa acutistipula","2023",93
"Mimosa acutistipula","2023",95
"Mimosa acutistipula","2023",94
"Mimosa acutistipula","2023",101
"Mimosa acutistipula","2023",100
"Mimosa acutistipula","2023",74
