gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5077819301	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005244744	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Villarsia aurantiaca Ridl. ex R.M.King & Gamble	Villarsia aurantiaca	Ridl. ex King & Gamble	TH	[Ban Sai Kao]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					50.0				1928-04-05T00:00	5	4	1928	5592335	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005244744	15060			CC_BY_4_0		Kerr, A.F.G.			2025-04-03T22:44:27.645Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5077819251	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005244746	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Villarsia aurantiaca Ridl. ex R.M.King & Gamble	Villarsia aurantiaca	Ridl. ex King & Gamble	TH	[Lam La, Puket]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1929-03-09T00:00	9	3	1929	5592335	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005244746	17397			CC_BY_4_0		Kerr, A.F.G.			2025-04-03T22:46:00.865Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5077816289	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005244745	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Villarsia aurantiaca Ridl. ex R.M.King & Gamble	Villarsia aurantiaca	Ridl. ex King & Gamble	TH	[Ban Sai Kao]		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					50.0				1928-04-05T00:00	5	4	1928	5592335	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005244745	15060			CC_BY_4_0		Kerr, A.F.G. (Dr.)			2025-04-03T22:44:28.391Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5058396746	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515235	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	LK	Kalutara district: Nagoda.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1978-05-05T00:00	5	5	1978	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515235	5261			CC_BY_4_0		Cramer, L.H.			2025-04-03T22:44:24.588Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004283676	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515441	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Queensland; Cook District; 2.5 km from Dixie Station on the track to the Laura to Musgrave road.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					160.0				1989-06-04T00:00	4	6	1989	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515441	8137			CC_BY_4_0		Clarkson, J.R.; Neldner, V.J.			2025-04-03T22:44:29.484Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004282611	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515442	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Hastie Swamp, Atherton		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.3	145.466667			740.0				1976-05-28T00:00	28	5	1976	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515442	1162			CC_BY_4_0		Dockrill, A.W.			2025-04-03T22:44:24.588Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004268561	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515443	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Queensland; Cook District; 3.8 km east of Aurukun-Beagle North Camp road on cleared lane 6.8 km south of Cowplace Creek.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.25	141.883334			10.0				1982-06-01T00:00	1	6	1982	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515443	4467			CC_BY_4_0		Clarkson, J.R.			2025-04-03T22:44:29.768Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004258040	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515444	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Queensland; Cook District; ca 200 m east of the Watson River ca 27 km upstream from Aurukun.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.283333	141.85							1982-05-28T00:00	28	5	1982	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515444	4382			CC_BY_4_0		Clarkson, J.R.			2025-04-03T22:44:29.690Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004246981	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515445	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	near Nourlangie Safari Camp, c. 90 miles NNE of Pine Creek Township.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1965-03-24T00:00	24	3	1965	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515445	309			CC_BY_4_0		Lazarides; Adams			2025-04-03T22:44:30.110Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004245468	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515439	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Region/District: Cook; Hasties Swamp, ca. 3 km direct line due south of Atherton.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-17.3	145.466667							1976-05-28T00:00	28	5	1976	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515439	1975			CC_BY_4_0		Aston, H.			2025-04-03T22:46:03.128Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5004228913	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005515440	Plantae	Tracheophyta	Magnoliopsida	Asterales	Menyanthaceae	Nymphoides	Nymphoides aurantiaca		SPECIES	Nymphoides aurantiaca (Dalzell) Kuntze	Nymphoides aurantiaca	(Dalzell) Kuntze	AU	Region/District: North Kennedy; About 1 km west of Greenwood Hill. About 5 km direct line W.N.W. of Cardwell.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-18.266667	145.983334							1976-05-30T00:00	30	5	1976	5592256	5592256	PRESERVED_SPECIMEN	K	Herbarium	K005515440	1979[C]			CC_BY_4_0		Aston, H.			2025-04-03T22:44:28.791Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
