"species","Year","JulianDay"
"Nymphoides aurantiaca","1928",96
"Nymphoides aurantiaca","1929",68
"Nymphoides aurantiaca","1928",96
"Nymphoides aurantiaca","1978",125
"Nymphoides aurantiaca","1989",155
"Nymphoides aurantiaca","1976",149
"Nymphoides aurantiaca","1982",152
"Nymphoides aurantiaca","1982",148
"Nymphoides aurantiaca","1965",83
"Nymphoides aurantiaca","1976",149
"Nymphoides aurantiaca","1976",151
"Nymphoides aurantiaca","2004",141
"Nymphoides aurantiaca","2008",149
"Nymphoides aurantiaca","2008",165
"Nymphoides aurantiaca","2008",158
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","2008",158
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","2008",158
"Nymphoides aurantiaca","2008",151
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","1893",60
"Nymphoides aurantiaca","1893",60
"Nymphoides aurantiaca","2008",165
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","2008",141
"Nymphoides aurantiaca","1975",121
"Nymphoides aurantiaca","1980",132
"Nymphoides aurantiaca","1972",148
"Nymphoides aurantiaca","2005",148
"Nymphoides aurantiaca","1994",132
"Nymphoides aurantiaca","1974",141
"Nymphoides aurantiaca","1976",151
"Nymphoides aurantiaca","2017",151
"Nymphoides aurantiaca","2011",136
"Nymphoides aurantiaca","1994",136
"Nymphoides aurantiaca","1974",152
"Nymphoides aurantiaca","1974",143
"Nymphoides aurantiaca","1974",149
"Nymphoides aurantiaca","1980",89
"Nymphoides aurantiaca","1987",132
"Nymphoides aurantiaca","1980",101
"Nymphoides aurantiaca","1979",136
"Nymphoides aurantiaca","1988",159
"Nymphoides aurantiaca","1976",164
"Nymphoides aurantiaca","2012",178
"Nymphoides aurantiaca","1994",85
"Nymphoides aurantiaca","1979",135
"Nymphoides aurantiaca","1974",158
"Nymphoides aurantiaca","1967",125
"Nymphoides aurantiaca","1976",149
"Nymphoides aurantiaca","1979",139
"Nymphoides aurantiaca","1988",163
"Nymphoides aurantiaca","2004",70
"Nymphoides aurantiaca","2010",109
"Nymphoides aurantiaca","2002",80
"Nymphoides aurantiaca","1982",111
"Nymphoides aurantiaca","1984",165
"Nymphoides aurantiaca","2010",107
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","1972",178
"Nymphoides aurantiaca","1980",145
"Nymphoides aurantiaca","1977",177
"Nymphoides aurantiaca","1972",70
"Nymphoides aurantiaca","1965",83
"Nymphoides aurantiaca","1965",83
"Nymphoides aurantiaca","1973",149
"Nymphoides aurantiaca","1976",142
"Nymphoides aurantiaca","1976",149
"Nymphoides aurantiaca","1989",155
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","1976",148
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","1962",96
"Nymphoides aurantiaca","1974",143
"Nymphoides aurantiaca","1987",147
"Nymphoides aurantiaca","2008",165
"Nymphoides aurantiaca","2008",158
"Nymphoides aurantiaca","1976",149
"Nymphoides aurantiaca","1982",154
"Nymphoides aurantiaca","1976",164
"Nymphoides aurantiaca","2008",149
"Nymphoides aurantiaca","1977",177
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2002",80
"Nymphoides aurantiaca","1974",149
"Nymphoides aurantiaca","1996",71
"Nymphoides aurantiaca","1974",152
"Nymphoides aurantiaca","1975",138
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","1965",83
"Nymphoides aurantiaca","1970",135
"Nymphoides aurantiaca","1987",132
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","1977",177
"Nymphoides aurantiaca","2008",150
"Nymphoides aurantiaca","1980",138
"Nymphoides aurantiaca","1976",151
"Nymphoides aurantiaca","2008",155
"Nymphoides aurantiaca","1976",141
"Nymphoides aurantiaca","2008",151
"Nymphoides aurantiaca","1996",71
"Nymphoides aurantiaca","2008",153
"Nymphoides aurantiaca","1980",138
"Nymphoides aurantiaca","1970",135
"Nymphoides aurantiaca","1990",109
