"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,,,,
"912629306	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000834128	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Rio Curicuriary affl. Rio Negro.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1936-02-20T00:00	20	2	1936	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000834128	35098			CC_BY_4_0		Ducke"," A.			2025-01-23T23:08:33.922Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,,,,
"912454048	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000555149	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	environs de Rio Janeiro et d'Ouro Preto		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1883-01-01T00:00	1	1	1883	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000555149	14617	Lewis"," G.P.		CC_BY_4_0		Glaziou"," A.F.M.			2025-01-23T23:08:22.878Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,,,
"912115191	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000057211	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Vila do Barra.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1840-01-01T00:00	1	1	1840	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000057211	3150			CC_BY_4_0		Blanchet", J.S., (Moricand," M.E.)	TYPE		2025-01-23T23:09:54.620Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,,
"912115146	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000057209	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Estrada IaÃ§Ãº-Itaberaba"," 8km de IaÃ§Ãº.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-12.7	-40.2			260.0				1981-12-17T00:00	17	12	1981	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000057209	846	Lewis"," G.P.		CC_BY_4_0		Lewis", G.P.; Carvalho, A.M.; Hage," J.L.			2025-01-23T23:07:44.944Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,
"912115141	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000057210	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Vila do Barra.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1840-01-01T00:00	1	1	1840	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000057210	3150			CC_BY_4_0		Blanchet"," J.S.	TYPE		2025-01-23T23:07:44.988Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,,,,,,
"912115138	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000057207	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	4km W of CansaÃ§Ã£o"," on the ItiÃºba road.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-10.666667	-39.533333			280.0				1974-02-20T00:00	20	2	1974	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000057207	16400	Lewis"," G.P.		CC_BY_4_0		Harley", R.M.; Renvoize, S.A.; Erskine, C.M.; Brighton, C.A.; Pinheiro," R.S.			2025-01-23T23:07:45.104Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,
"912115118	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000057208	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	6km fromo FiladÃ©lfia on the BA-385 to ItiÃºba.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-10.75	-40.066667			400.0				1974-02-18T00:00	18	2	1974	2952724	2952724	PRESERVED_SPECIMEN	K	Herbarium	K000057208	16146	Lewis"," G.P.		CC_BY_4_0		Harley", R.M.; Renvoize, S.A.; Erskine, C.M.; Brighton, C.A.; Pinheiro," R.S.			2025-01-23T23:07:44.935Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",,,,,
"667634265	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00835785	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne glaziovii (Taub.) Dwyer	Peltogyne glaziovii (Taub.) Dwyer	(Taub.) Dwyer	BR			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e									1883-01-10	10	1	1883	2952725	2952724	PRESERVED_SPECIMEN	MNHN	P	P00835785		Dwyer		CC_BY_4_0		Glaziou"," A.	SYNTYPE		2025-01-29T13:10:11.114Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY",,,,,,,,,,
"5003487182	907f9a33-e480-476e-a9f3-0b1f2831abe4	urn:catalog:HACAM:2703	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora Benth.	Benth.	BR	Reserva EcolÃ³gica Olho dÂ´Ãgua das OnÃ§as.	ParaÃ­ba	PRESENT		6eaf86d8-0d50-492e-9f04-f5b46320d47e	-6.450556	-36.305833							2023-01-18	18	1	2023	2952724	2952724	PRESERVED_SPECIMEN	HACAM	HACAM	HACAM00002703	29	Rocha"," B.F.		CC_BY_4_0	HERBÃRIO MANUEL DE ARRUDA CÃ‚MARA	Luz", G.A.; Rocha, B.F.; Melo, J.I.M. de; GonÃ§alves, M.G.M.; Queiroz, M.J.; Correia, T.E.D.; Santos, D.S.; TrovÃ£o, D.M.B.M.; Almeida,  B.L.G.; Oliveira," F.B.S.			2025-01-15T10:53:11.967Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE"
"4999808588	880f942a-d574-46e7-b781-2a101a922d2e	6682437	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora Benth.	Benth.	BR	Estrada para Tacaratu.	Pernambuco	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-9.063889	-38.220833			362.0	0.0			2009-01-15	15	1	2009	2952724	2952724	PRESERVED_SPECIMEN	HVASF	HVASF	HVASF00012923	1806	L.P. Queiroz	2011-05-31T00:00:00	CC_BY_4_0	HVASF	J.G. Carvalho-Sobrinho			2025-01-01T15:31:43.089Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,,,,,,
