"species","Year","JulianDay"
"Peltogyne pauciflora","1936",51
"Peltogyne pauciflora","1883",1
"Peltogyne pauciflora","1840",1
"Peltogyne pauciflora","1981",351
"Peltogyne pauciflora","1840",1
"Peltogyne pauciflora","1974",51
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","1883",10
"Peltogyne pauciflora","2023",18
"Peltogyne pauciflora","2009",15
"Peltogyne pauciflora","2013",22
"Peltogyne pauciflora","1996",311
"Peltogyne pauciflora","2005",55
"Peltogyne pauciflora","2018",51
"Peltogyne pauciflora","2005",38
"Peltogyne pauciflora","2005",36
"Peltogyne pauciflora","2005",37
"Peltogyne pauciflora","1996",311
"Peltogyne pauciflora","2016",41
"Peltogyne pauciflora","1996",311
"Peltogyne pauciflora","2024",46
"Peltogyne pauciflora","2024",22
"Peltogyne pauciflora","1996",10
"Peltogyne pauciflora","2004",331
"Peltogyne pauciflora","2005",38
"Peltogyne pauciflora","1964",329
"Peltogyne pauciflora","2010",326
"Peltogyne pauciflora","1997",26
"Peltogyne pauciflora","2004",340
"Peltogyne pauciflora","1995",351
"Peltogyne pauciflora","2004",340
"Peltogyne pauciflora","2004",365
"Peltogyne pauciflora","2004",40
"Peltogyne pauciflora","1993",11
"Peltogyne pauciflora","1996",311
"Peltogyne pauciflora","1995",330
"Peltogyne pauciflora","2003",47
"Peltogyne pauciflora","1984",48
"Peltogyne pauciflora","2006",4
"Peltogyne pauciflora","2005",55
"Peltogyne pauciflora","2006",315
"Peltogyne pauciflora",NA,NA
"Peltogyne pauciflora","1974",51
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","1883",10
"Peltogyne pauciflora","1996",311
"Peltogyne pauciflora","2004",340
"Peltogyne pauciflora","2003",47
"Peltogyne pauciflora","1996",349
"Peltogyne pauciflora","2003",333
"Peltogyne pauciflora","1997",55
"Peltogyne pauciflora","1997",55
"Peltogyne pauciflora","1995",330
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","1981",351
"Peltogyne pauciflora",NA,NA
"Peltogyne pauciflora","2004",23
"Peltogyne pauciflora","2017",25
"Peltogyne pauciflora","2002",53
"Peltogyne pauciflora","2004",340
"Peltogyne pauciflora","2016",335
"Peltogyne pauciflora","1995",330
"Peltogyne pauciflora","2002",51
"Peltogyne pauciflora","1997",26
"Peltogyne pauciflora","2005",18
"Peltogyne pauciflora","2004",330
"Peltogyne pauciflora","2006",4
"Peltogyne pauciflora","2004",11
"Peltogyne pauciflora","1996",349
"Peltogyne pauciflora","1984",48
"Peltogyne pauciflora","2010",326
"Peltogyne pauciflora","2006",5
"Peltogyne pauciflora","2005",343
"Peltogyne pauciflora","2003",333
"Peltogyne pauciflora","2004",365
"Peltogyne pauciflora","1997",55
"Peltogyne pauciflora","2003",47
"Peltogyne pauciflora","1997",55
"Peltogyne pauciflora","2004",340
"Peltogyne pauciflora","2004",40
"Peltogyne pauciflora","1995",351
"Peltogyne pauciflora","2011",22
"Peltogyne pauciflora","1984",359
"Peltogyne pauciflora","2009",15
"Peltogyne pauciflora","2008",361
"Peltogyne pauciflora","2011",27
"Peltogyne pauciflora","1993",11
"Peltogyne pauciflora","2005",19
"Peltogyne pauciflora","2005",343
"Peltogyne pauciflora","2005",38
"Peltogyne pauciflora","2005",19
"Peltogyne pauciflora","1964",329
"Peltogyne pauciflora","2006",4
"Peltogyne pauciflora","1964",329
"Peltogyne pauciflora","2004",331
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora",NA,NA
"Peltogyne pauciflora","2000",60
"Peltogyne pauciflora","1995",330
"Peltogyne pauciflora","1883",10
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","1974",51
"Peltogyne pauciflora","1883",10
"Peltogyne pauciflora","2004",331
"Peltogyne pauciflora",NA,NA
"Peltogyne pauciflora","2006",315
"Peltogyne pauciflora","1993",11
"Peltogyne pauciflora","2006",18
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","1989",50
"Peltogyne pauciflora","2020",44
"Peltogyne pauciflora","2004",330
"Peltogyne pauciflora","1995",320
"Peltogyne pauciflora","1974",51
"Peltogyne pauciflora","1974",49
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","2009",315
"Peltogyne pauciflora","2009",315
