"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,
"4900611032	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6370723	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Rodovia IlhÃ©us-ItacarÃ© (BA 001)", na altura do km 20, estrada Ã  esquerda. Acesso ao retiro. Ramal vicinal ca. 5,5 Km Ã  direita," para a Lagoa Encantada.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-14.119444	-39.117222			170.0	0.0			2005-02-19	19	2	2005	2952702	2952702	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00199736	2720	R.B.Pinto		CC_BY_4_0	HUEFS	Fiaschi"," P.			2025-01-01T12:15:37.947Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"4900539429	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6344304	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Rodovia IlhÃ©us-ItacarÃ© (BA 001)", na altura do Km 20, estrada Ã  esquerda. Acesso ao Retiro. Ramal vicinal ca. 5,5 Km Ã  direita," para a Lagoa Encantada.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-14.119444	-39.117222			170.0	0.0			2005-02-19	19	2	2005	2952702	2952702	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00101221	2720	R.B.Pinto		CC_BY_4_0	HUEFS	Fiaschi"," P.			2025-01-01T12:15:36.027Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"4455784272	06f0d5c6-aeab-4205-ac9d-9b2d801a43a8	5538822	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Mata de Dois IrmÃ£os. Folha CartogrÃ¡fica SC-25-V-A Coordenada Calculada.	Pernambuco	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-8.053889	-34.881111			4.0				1961-11-23	23	11	1961	2952702	2952702	PRESERVED_SPECIMEN	IBGE	IBGE	IBGE00069237	871	Smith"," LB		CC_BY_4_0	IBGE	Tavares"," S			2025-01-01T12:45:04.847Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,
"2998210043	6cb1a437-f8a6-4bdc-a534-87cf2b710427	5409754	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Serra do OrobÃ³. Trilha para o pÃ¡tio das orquÃ­deas.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a					521.0				2004-12-19	19	12	2004	2952702	2952702	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS091269	9951	L.P.de Queiroz		CC_BY_4_0	HUEFS	Queiroz"," L.P.de			2025-01-01T12:15:35.938Z		COORDINATE_OUT_OF_RANGE;CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,,
"2998101674	6cb1a437-f8a6-4bdc-a534-87cf2b710427	3917426	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Serra do OrobÃ³. Trilha para o PÃ¡tio das OrquÃ­deas.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a					230.0				2006-01-17	17	1	2006	2952702	2952702	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS105092	12013	L.P.de Queiroz & D.Cardoso		CC_BY_4_0	HUEFS	Queiroz"," L.P.de			2025-01-01T12:15:30.858Z		COORDINATE_OUT_OF_RANGE;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,,
"2996378631	143fd714-b939-4cf7-a078-acdde353a914	4369914	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis Ducke	Ducke	BR	Rodovia IlhÃ©us-ItacarÃ© (BA 001)", na altura do km 20, estrada a esquerda. Acesso ao Retiro. Ramal vicinal ca 5,5km a direita," para a Lagoa Encantada. Floresta OmbrÃ³fila antropizada	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-14.586111	-39.117222			170.0	0.0			2005-02-19	19	2	2005	2952702	2952702	PRESERVED_SPECIMEN	MBML	MBML	MBML043485	2720	Administrador		CC_BY_4_0	MBML	P. Fiaschi;A.B. Rodrigues",J.L. PaixÃ£o," J.G. Jardim			2025-01-01T15:29:30.587Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,
"2452757607	b3769e61-c3d0-4046-81cf-bf4d6b23b444	https://specieslink.net/guid/150/871	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis	Ducke	BR	Mata de Dois IrmÃ£os	Pernambuco	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7									1961-11-23	23	11	1961	2952702	2952702	PRESERVED_SPECIMEN	UFRPE	HST	871	871	R.B.Pinto	2017-10-01T00:00:00	CC_BY_4_0	HerbÃ¡rio SÃ©rgio Tavares	S.Tavares		native	2025-01-12T15:48:11.556Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,,,,,,,
"2452751912	b3769e61-c3d0-4046-81cf-bf4d6b23b444	https://specieslink.net/guid/150/2575	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis	Ducke	BR		Alagoas	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7									1968-01-02	2	1	1968	2952702	2952702	PRESERVED_SPECIMEN	UFRPE	HST	2575	21874	R.B.Pinto	2017-10-01T00:00:00	CC_BY_4_0	HerbÃ¡rio SÃ©rgio Tavares	M.T.Monteiro		native	2025-01-12T15:48:09.481Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,,,,,,,
"2452751793	b3769e61-c3d0-4046-81cf-bf4d6b23b444	https://specieslink.net/guid/150/3608	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis	Ducke	BR	Mata do Beque	Alagoas	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7									1967-12-27	27	12	1967	2952702	2952702	PRESERVED_SPECIMEN	UFRPE	HST	3608	21864	S.Tavares	1971-09-28T00:00:00	CC_BY_4_0	HerbÃ¡rio SÃ©rgio Tavares	M.T.Monteiro		native	2025-01-12T15:48:10.976Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,,,,,,,
"2452748958	b3769e61-c3d0-4046-81cf-bf4d6b23b444	https://specieslink.net/guid/150/2987	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne recifensis		SPECIES	Peltogyne recifensis Ducke	Peltogyne recifensis	Ducke	BR	FÃ¡brica SebastiÃ£o Ferreira	Alagoas	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7									1968-11-04	4	11	1968	2952702	2952702	PRESERVED_SPECIMEN	UFRPE	HST	2987	22837	R.B.Pinto	2017-10-01T00:00:00	CC_BY_4_0	HerbÃ¡rio SÃ©rgio Tavares	M.T.Monteiro		native	2025-01-12T15:48:07.701Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,,,,,,,
