"species","Year","JulianDay"
"Porcelia ponderosa","1916",304
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1991",272
"Porcelia ponderosa","1994",264
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2003",269
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2009",273
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2003",269
"Porcelia ponderosa","2009",273
"Porcelia ponderosa","2007",303
"Porcelia ponderosa","2003",269
"Porcelia ponderosa","2009",273
"Porcelia ponderosa","2007",303
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2001",304
"Porcelia ponderosa","1994",264
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1991",272
"Porcelia ponderosa","2001",299
"Porcelia ponderosa","2001",303
"Porcelia ponderosa","1992",277
"Porcelia ponderosa","1984",297
"Porcelia ponderosa","2001",304
"Porcelia ponderosa","1985",278
"Porcelia ponderosa","1985",278
"Porcelia ponderosa","1992",277
"Porcelia ponderosa","1999",244
"Porcelia ponderosa","2007",303
"Porcelia ponderosa","2009",273
"Porcelia ponderosa","1988",275
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1984",297
"Porcelia ponderosa","2001",303
"Porcelia ponderosa","1986",254
"Porcelia ponderosa","1982",290
"Porcelia ponderosa","2001",299
"Porcelia ponderosa","2000",262
"Porcelia ponderosa","1994",264
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1991",272
"Porcelia ponderosa","1902",254
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1993",294
"Porcelia ponderosa","1902",254
"Porcelia ponderosa","2001",303
"Porcelia ponderosa","1902",254
"Porcelia ponderosa","2001",299
"Porcelia ponderosa","1994",264
"Porcelia ponderosa","1990",303
"Porcelia ponderosa","1986",301
"Porcelia ponderosa","1986",254
"Porcelia ponderosa","1982",255
"Porcelia ponderosa","2007",303
"Porcelia ponderosa","1994",264
"Porcelia ponderosa",NA,NA
"Porcelia ponderosa","2004",289
"Porcelia ponderosa","2003",269
"Porcelia ponderosa","1902",254
"Porcelia ponderosa","2009",273
"Porcelia ponderosa","1979",281
"Porcelia ponderosa","1982",290
"Porcelia ponderosa","1979",244
"Porcelia ponderosa","1902",254
"Porcelia ponderosa","1993",294
