gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5003488919	907f9a33-e480-476e-a9f3-0b1f2831abe4	urn:catalog:HACAM:1972	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR		Paraíba	PRESENT		6eaf86d8-0d50-492e-9f04-f5b46320d47e									2015-11-16	16	11	2015	8099458	8099458	PRESERVED_SPECIMEN	HACAM	HACAM	HACAM00001972		Figueiredo, S.S.		CC_BY_4_0	HERBÁRIO MANUEL DE ARRUDA CÂMARA	Figueiredo, S.S.			2025-04-01T12:06:25.406Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
4999656451	6cb1a437-f8a6-4bdc-a534-87cf2b710427	6618025	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	Povoado Boa Visto do Zezé, 3km da sede, plot #3 Projeto Nordeste.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-10.243611	-39.246944			312.0	0.0			2020-11-18	18	11	2020	8099458	8099458	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS00257278	84			CC_BY_4_0	HUEFS	Rocha, R.R.			2025-04-01T12:17:48.682Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3343084307	2e684fd6-09e2-4661-910a-0a188b610c04	https://specieslink.net/guid/204/257278	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium	Carv.-Sobr. & L.P.Queiroz	BR	Povoado Boa Visto do Zezé, 3km da sede, plot #3 Projeto Nordeste.	Bahia	PRESENT		60545be9-4f28-4245-b4b4-07635c8dfa54	-10.743611	-39.246944			312.0	0.0			2020-11-18	18	11	2020	8099458	8099458	PRESERVED_SPECIMEN	UEFS	HUEFS	257278	84			CC_BY_4_0	Herbario da Universidade Estadual de Feira de Santana	Rocha, R.R.		native	2025-04-05T15:21:27.248Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
2998105671	6cb1a437-f8a6-4bdc-a534-87cf2b710427	3917209	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	ca. 31,5 km NW de Tucano, Fazenda Juazeiro Novo.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a					285.0	15.0			2005-11-12	12	11	2005	8099458	8099458	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS103006	752	J.G.de Carvalho-Sobrinho		CC_BY_4_0	HUEFS	Carvalho-Sobrinho, J.G.de	Type		2025-04-01T12:17:26.037Z		COORDINATE_OUT_OF_RANGE;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2998105372	6cb1a437-f8a6-4bdc-a534-87cf2b710427	3060769	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR		Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1991-11-24	24	11	1991	8099458	8099458	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS013565	6	J.G.de Carvalho-Sobrinho		CC_BY_4_0	HUEFS	Crepaldi, I.C.	Type		2025-04-01T12:17:24.669Z		CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2998103673	6cb1a437-f8a6-4bdc-a534-87cf2b710427	3917210	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	subida para Serra das Candeias.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a					440.0				2005-11-13	13	11	2005	8099458	8099458	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS103007	753	J.G.de Carvalho-Sobrinho		CC_BY_4_0	HUEFS	Carvalho-Sobrinho, J.G.de	Type		2025-04-01T12:17:26.433Z		COORDINATE_OUT_OF_RANGE;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2998099662	6cb1a437-f8a6-4bdc-a534-87cf2b710427	3917208	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	ca. 20 NW km, indo para o povoado de Bizamum.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a					230.0				2005-11-12	12	11	2005	8099458	8099458	PRESERVED_SPECIMEN	HUEFS	HUEFS	HUEFS103005	751	J.G.de Carvalho-Sobrinho		CC_BY_4_0	HUEFS	Carvalho-Sobrinho, J.G.de	Holotype		2025-04-01T12:17:23.521Z		COORDINATE_OUT_OF_RANGE;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2997931596	a185d0c4-1a12-45c1-a729-2a7b058b528d	2457115	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	Quijinque: ca. 31.5 km. NW de Tucano, Fazenda Juazeiro Novo	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-10.930833	-39.063611							2007-11-12	12	11	2007	8099458	8099458	PRESERVED_SPECIMEN	NY	NY	NY01085452	752	J. G. de Carvalho-Sobrinho		CC_BY_4_0	NY	J. G. de Carvalho-Sobrinho	Type		2025-02-06T21:53:28.324Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2997359549	a185d0c4-1a12-45c1-a729-2a7b058b528d	2320190	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	ca. 20 km. NW , indo para o povado de Bizamum	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-10.891389	-38.977778							2007-11-12	12	11	2007	8099458	8099458	PRESERVED_SPECIMEN	NY	NY	NY01085451	751			CC_BY_4_0	NY	J. G. de Carvalho-Sobrinho	Isotype		2025-02-06T21:53:24.249Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2995799894	ba06a193-82fc-425b-a7e5-f3df809fe378	2903766	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pseudobombax	Pseudobombax parvifolium		SPECIES	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz	Carv.-Sobr. & L.P.Queiroz	BR	Unid. de Conser. Monumento Natural Grota do Angico	Sergipe	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-9.66	-37.789167							2009-11-28	28	11	2009	8099458	8099458	PRESERVED_SPECIMEN	ASE	ASE	ASE0023115	133	Carvalho-Sobrinho, JG	2015-10-27T00:00:00	CC_BY_4_0	ASE	Silva, ACC			2025-04-01T12:02:34.846Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
