"species","Year","JulianDay"
"Pseudobombax parvifolium","2015",320
"Pseudobombax parvifolium","2020",323
"Pseudobombax parvifolium","2020",323
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","1991",328
"Pseudobombax parvifolium","2005",317
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","2007",316
"Pseudobombax parvifolium","2007",316
"Pseudobombax parvifolium","2009",332
"Pseudobombax parvifolium","2009",332
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","2007",316
"Pseudobombax parvifolium","2007",316
"Pseudobombax parvifolium","2001",325
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","2005",317
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","2005",316
"Pseudobombax parvifolium","1991",328
"Pseudobombax parvifolium","1991",328
