gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912375627	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000447669	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata	Zappi	EC	Tena Canton, Jatun Sacha Biol. station		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07T00:00	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	K	Herbarium	K000447669	8720			CC_BY_4_0		Neill			2025-04-03T22:42:47.606Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912375623	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000447676	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata	Zappi	EC	Tena Canton, Jatun Sacha Biol. station		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-1.066667	-77.6			400.0				1988-01-31T00:00	31	1	1988	3848400	3848400	PRESERVED_SPECIMEN	K	Herbarium	K000447676	5987			CC_BY_4_0		Ceron			2025-04-03T22:45:16.552Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912375586	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000447671	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata	Zappi	EC	Tena Canton, Jatun Sacha Biol. station		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-1.066667	-77.6			400.0				1989-01-23T00:00	23	1	1989	3848400	3848400	PRESERVED_SPECIMEN	K	Herbarium	K000447671	6066			CC_BY_4_0		Ceron			2025-04-03T22:42:48.247Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912085059	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000009016	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata	Zappi	PE	Mariscal Caceres, Tocache Nuevo, around Tocache		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					550.0	150.0			1979-01-01T00:00	1	1	1979	3848400	3848400	PRESERVED_SPECIMEN	K	Herbarium	K000009016	10995			CC_BY_4_0		Schunke Vigo, J.			2025-04-03T22:45:07.655Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4062194231	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569251	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest. Primary forest on low hills; Red clay Oxisol.	Napo	PRESENT	8	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	AAU	Tropicos	101569251	8720	C.M. Taylor (MO)	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill			2025-02-13T17:29:40.677Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4061963832	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569248	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest. Primary forest on low hills; Red clay Oxisol.	Napo	PRESENT	8	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	F	Tropicos	101569248	8720	C.M. Taylor (MO)	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill			2025-02-13T17:29:40.475Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4061935077	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569253	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest. Primary forest on low hills; Red clay Oxisol.	Napo	PRESENT	8	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	ECUAMZ	Tropicos	101569253	8720	C.M. Taylor (MO)	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill			2025-02-13T17:29:40.425Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4061238589	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569250	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest. Primary forest on low hills; Red clay Oxisol.	Napo	PRESENT	8	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	K	Tropicos	101569250	8720	C.M. Taylor (MO)	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill			2025-02-13T17:29:40.488Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4061230030	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569968	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Canton Tena Estación Biológica Jatun Sacha. 8 km al este de Misahuallí. Bosque muy húmedo Tropical.	Napo	PRESENT	6	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			400.0				1989-01-23	23	1	1989	3848400	3848400	PRESERVED_SPECIMEN	AAU	Tropicos	101569968	5987	!C.M. Taylor	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Carlos E. Cerón			2025-02-13T17:29:40.551Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4061202920	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:101569249	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Rudgea	Rudgea crassipetiolata		SPECIES	Rudgea crassipetiolata Zappi	Rudgea crassipetiolata Zappi	Zappi	EC	Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest. Primary forest on low hills; Red clay Oxisol.	Napo	PRESENT	8	90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.066667	-77.6			450.0				1989-01-07	7	1	1989	3848400	3848400	PRESERVED_SPECIMEN	G	Tropicos	101569249	8720	C.M. Taylor (MO)	2010-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill			2025-02-13T17:29:40.563Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
