"species","Year","JulianDay"
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1988",31
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1979",1
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1998",20
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","2002",22
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","2020",7
"Rudgea crassipetiolata","2020",8
"Rudgea crassipetiolata","1997",12
"Rudgea crassipetiolata","1997",18
"Rudgea crassipetiolata","1995",28
"Rudgea crassipetiolata",NA,NA
"Rudgea crassipetiolata","1987",17
"Rudgea crassipetiolata","1988",1
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1989",23
"Rudgea crassipetiolata","1989",7
"Rudgea crassipetiolata","1984",21
"Rudgea crassipetiolata","1997",20
"Rudgea crassipetiolata","1974",11
"Rudgea crassipetiolata","2002",22
"Rudgea crassipetiolata","1998",20
"Rudgea crassipetiolata","1984",21
