gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
575106516	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00146674	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia Mart. & Zucc.		BR			PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862									1983-11-23	23	11	1983	7327118	7327118	PRESERVED_SPECIMEN	RBGE	E	E00146674	5500			CC0	Royal Botanic Garden Edinburgh	Kirkbride, Joseph Harold			2025-04-03T23:28:52.050Z		CONTINENT_DERIVED_FROM_COUNTRY
5079190462	dd31ac22-63d4-4bb4-a987-5eece5ffadb8	https://specieslink.net/guid/232/40336	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Cachoeira do Telésforo, Distrito de	Mg	PRESENT		042a7696-696b-492b-ad3e-4076807eaeed	-18.190833	-43.922972			936.0	0.0			2024-11-26	26	11	2024	7327118	7327118	PRESERVED_SPECIMEN	UTFPR-CP	HCF	40336	11388	M.G. Caxambú	2025-02-02T00:00:00	CC_BY_4_0	Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão	M.G. Caxambú		native	2025-04-05T14:59:50.247Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
5072758690	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K001242114	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	município de Abaira: Mendonça de Daniel Abreu, a 3 km de Catolés, à beira do rio do Ribeirão.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.283333	-41.833333			970.0				1992-10-15T00:00	15	10	1992	7327118	7327118	PRESERVED_SPECIMEN	K	Herbarium	K001242114	1228			CC_BY_4_0		Ganev, W.			2025-04-03T22:43:27.773Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5072749665	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K001242113	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Catolés; município de Abaira: Caminho Catolés-Boa Vista, próximo ao pai Joaquim.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-13.3	-41.85			1150.0				1992-11-12T00:00	12	11	1992	7327118	7327118	PRESERVED_SPECIMEN	K	Herbarium	K001242113	1402			CC_BY_4_0		Ganev, W.			2025-04-03T22:43:27.999Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5066686295	fce21d43-c0c7-4d1f-b6d2-fc048f053456	https://specieslink.net/guid/369/8297	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Jardim Botânico de Brasília Trilha de saída	Distrito Federal	PRESENT		22524448-c309-474f-8f07-d576a021868c	-15.866667	-47.85			1025.0	0.0			1993-10-04	4	10	1993	7327118	7327118	PRESERVED_SPECIMEN	JBB	HEPH	8297	17	Silva, NMF da	2002-03-01T00:00:00	CC_BY_4_0	Herbário Ezechias Paulo Heringer	Boaventura, M		native	2025-04-05T20:49:26.373Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
5066665729	fce21d43-c0c7-4d1f-b6d2-fc048f053456	https://specieslink.net/guid/369/7105	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Jardim Botânico de Brasília	Distrito Federal	PRESENT		22524448-c309-474f-8f07-d576a021868c	-15.866667	-47.85			1025.0	0.0			1990-10-04	4	10	1990	7327118	7327118	PRESERVED_SPECIMEN	JBB	HEPH	7105	1568	Silva, NMF da	2002-03-01T00:00:00	CC_BY_4_0	Herbário Ezechias Paulo Heringer	Oliveira, PEAM de		native	2025-04-05T20:49:21.474Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
5053855310	cd6905cf-54d7-4628-b762-f63d269e239b	https://specieslink.net/guid/189/8869	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia		BR		Goiás	PRESENT		4205110f-3f0f-40d8-bd0f-2fa71bc827b5									1894-11-29	29	11	1894	7327118	7327118	PRESERVED_SPECIMEN	MN	R	8869	21124	Alwan, A.A. & Stace, C.A.	1981-01-01T00:00:00	CC_BY_4_0	Herbário do Museu Nacional	Glaziou, A.F.M.		native	2025-04-05T15:13:51.950Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
5000800590	da8a0dd0-85c7-4d7a-8a5a-e66b1deaebaa	https://specieslink.net/guid/159/34548	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Parque Estadual do Mirador	Maranhão	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7	-6.370833	-44.363056							1998-11-07	7	11	1998	7327118	7327118	PRESERVED_SPECIMEN	UFRPE	PEUFR	34548	341			CC_BY_4_0	Herbário Professor Vasconcelos Sobrinho	G.M. Conceição		native	2025-04-05T15:32:43.044Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
5000800587	da8a0dd0-85c7-4d7a-8a5a-e66b1deaebaa	https://specieslink.net/guid/159/34549	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Parna de Sete Cidades	Piauí	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7									1998-10-11	11	10	1998	7327118	7327118	PRESERVED_SPECIMEN	UFRPE	PEUFR	34549	379			CC_BY_4_0	Herbário Professor Vasconcelos Sobrinho	M.E. Alencar		native	2025-04-05T15:32:43.044Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
5000800303	da8a0dd0-85c7-4d7a-8a5a-e66b1deaebaa	https://specieslink.net/guid/159/35384	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	Terminalia fagifolia		SPECIES	Terminalia fagifolia Mart.	Terminalia fagifolia	Mart.	BR	Parque Estadual do Mirador	Maranhão	PRESENT		06542f02-868b-4651-aed4-1ae6b2eb4eb7	-6.370833	-44.363056							1998-11-05	5	11	1998	7327118	7327118	PRESERVED_SPECIMEN	UFRPE	PEUFR	35384	387			CC_BY_4_0	Herbário Professor Vasconcelos Sobrinho	G.M. Conceição		native	2025-04-05T15:32:40.138Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
