"species","Year","JulianDay"
"Terminalia fagifolia","1983",327
"Terminalia fagifolia","2024",331
"Terminalia fagifolia","1992",289
"Terminalia fagifolia","1992",317
"Terminalia fagifolia","1993",277
"Terminalia fagifolia","1990",277
"Terminalia fagifolia","1894",333
"Terminalia fagifolia","1998",311
"Terminalia fagifolia","1998",284
"Terminalia fagifolia","1998",309
"Terminalia fagifolia","2001",278
"Terminalia fagifolia","2013",315
"Terminalia fagifolia","1997",277
"Terminalia fagifolia","2005",326
"Terminalia fagifolia","2002",304
"Terminalia fagifolia","1995",293
"Terminalia fagifolia","1976",332
"Terminalia fagifolia","2012",318
"Terminalia fagifolia","2019",316
"Terminalia fagifolia","2007",303
"Terminalia fagifolia","2002",302
"Terminalia fagifolia","2002",304
"Terminalia fagifolia","1978",316
"Terminalia fagifolia","2008",305
"Terminalia fagifolia","1999",331
"Terminalia fagifolia","2010",329
"Terminalia fagifolia","1978",281
"Terminalia fagifolia","2001",332
"Terminalia fagifolia","2001",318
"Terminalia fagifolia","1998",309
"Terminalia fagifolia","1998",311
"Terminalia fagifolia","2022",315
"Terminalia fagifolia","1974",316
"Terminalia fagifolia","1994",287
"Terminalia fagifolia","2023",325
"Terminalia fagifolia","2014",315
"Terminalia fagifolia","2020",299
"Terminalia fagifolia","2022",315
"Terminalia fagifolia","1998",317
"Terminalia fagifolia","1987",307
"Terminalia fagifolia","2017",315
"Terminalia fagifolia","2004",306
"Terminalia fagifolia","1995",297
"Terminalia fagifolia","2016",335
"Terminalia fagifolia","2014",288
"Terminalia fagifolia","2012",301
"Terminalia fagifolia","2012",301
"Terminalia fagifolia","2005",314
"Terminalia fagifolia","2009",298
"Terminalia fagifolia","1970",298
"Terminalia fagifolia","1987",307
"Terminalia fagifolia","2007",320
"Terminalia fagifolia","2000",302
"Terminalia fagifolia","2010",326
"Terminalia fagifolia","2014",287
"Terminalia fagifolia","2009",298
"Terminalia fagifolia","2023",320
"Terminalia fagifolia","2017",296
"Terminalia fagifolia","1999",294
"Terminalia fagifolia","1988",289
"Terminalia fagifolia","1988",287
"Terminalia fagifolia","1993",322
"Terminalia fagifolia","1994",324
"Terminalia fagifolia","2001",285
"Terminalia fagifolia","2001",285
"Terminalia fagifolia","2023",320
"Terminalia fagifolia","2017",315
"Terminalia fagifolia","1998",317
"Terminalia fagifolia","2005",326
"Terminalia fagifolia","2017",291
"Terminalia fagifolia","2017",318
"Terminalia fagifolia","2017",283
"Terminalia fagifolia","1995",293
"Terminalia fagifolia","2001",289
"Terminalia fagifolia","1995",293
